district_code,district_name_w_charters,district_name_x,total_num_of_classes,average_class_size,number_of_students,african_american_pct,asian_pct,hispanic_pct,white_pct,native_american_pct,native_hawaiian_pacific_islander_pct,multi-race_non-hispanic_pct,tests_taken_x,score=1_x,score=2_x,score=3_x,score=4_x,score=5_x,pct_score_1-2_x,pct_score_3-5_x,tests_taken_y,score=1_y,score=2_y,score=3_y,score=4_y,score=5_y,pct_score_1-2_y,pct_score_3-5_y,tests_takers,tests_taken_x.1,one_test,two_tests,three_tests,four_tests,five_or_more_tests,high_school_graduates_(num),attending_coll./univ._(num),attending_coll./univ._(pct),private_two-year_(pct),private_four-year_(pct),public_two-year_(pct),public_four-year_(pct),ma_community_college_(pct),ma_state_university_(pct),univ.of_mass._(pct),tests_taken_y.1,reading_/_writing,writing,math,num_in_cohort,pct_graduated,pct_still_in_school,pct_non-grad_completers,pct_h.s._equiv.,pct_dropped_out,pct_permanently_excluded,towns,school_name,fact,population_estimates_july_1_2021_(v2021),population_estimates_base_april_1_2020_(v2021),population_percent_change_-_april_1_2020_(estimates_base)_to_july_1_2021_(v2021),population_census_april_1_2020,population_census_april_1_2010,persons_under_5_years_percent,persons_under_18_years_percent,persons_65_years_and_over_percent,female_persons_percent,white_alone_percent,black_or_african_american_alone_percent,american_indian_and_alaska_native_alone_percent,asian_alone_percent,native_hawaiian_and_other_pacific_islander_alone_percent,two_or_more_races_percent,hispanic_or_latino_percent,white_alone_not_hispanic_or_latino_percent,veterans_2015-2019,foreign_born_persons_percent_2015-2019,housing_units__july_1_2019__(v2019),owner-occupied_housing_unit_rate_2015-2019,median_value_of_owner-occupied_housing_units_2015-2019,median_selected_monthly_owner_costs_-with_a_mortgage_2015-2019,median_selected_monthly_owner_costs_-without_a_mortgage_2015-2019,median_gross_rent_2015-2019,building_permits_2020,households_2015-2019,persons_per_household_2015-2019,living_in_same_house_1_year_ago_percent_of_persons_age_1_year+_2015-2019,language_other_than_english_spoken_at_home_percent_of_persons_age_5_years+_2015-2019,households_with_a_computer_percent_2015-2019,households_with_a_broadband_internet_subscription_percent_2015-2019,high_school_graduate_or_higher_percent_of_persons_age_25_years+_2015-2019,bachelor's_degree_or_higher_percent_of_persons_age_25_years+_2015-2019,with_a_disability_under_age_65_years_percent_2015-2019,persons__without_health_insurance_under_age_65_years_percent,in_civilian_labor_force_total_percent_of_population_age_16_years+_2015-2019,in_civilian_labor_force_female_percent_of_population_age_16_years+_2015-2019,total_accommodation_and_food_services_sales_2012_($1000),total_health_care_and_social_assistance_receipts/revenue_2012_($1000),total_manufacturers_shipments_2012_($1000),total_retail_sales_2012_($1000),total_retail_sales_per_capita_2012,mean_travel_time_to_work_(minutes)_workers_age_16_years+_2015-2019,median_household_income,per_capita_income_in_past_12_months_(in_2019_dollars)_2015-2019,persons_in_poverty_percent,total_employer_establishments_2019,total_employment_2019,total_annual_payroll_2019_($1000),total_employment_percent_change_2018-2019,total_nonemployer_establishments_2018,all_firms_2012,men-owned_firms_2012,women-owned_firms_2012,minority-owned_firms_2012,nonminority-owned_firms_2012,veteran-owned_firms_2012,nonveteran-owned_firms_2012,population_per_square_mile_2010,land_area_in_square_miles_2010,fips_code
1490000.0,Lawrence,Lawrence,"6,805",17.9,"13,204",1.3,1.2,93.8,3.2,0.0,0.0,0.4,362.0,182.0,94.0,41.0,25.0,20.0,76.2,23.8,362.0,182.0,94.0,41.0,25.0,20.0,76.2,23.8,210.0,362.0,105.0,75.0,16.0,11.0,3.0,759.0,347.0,45.7,0.3,19.6,55.6,24.5,53.9,4.0,18.4,13.0,537.0,,541.0,984,72.8,12.0,5.9,0.5,8.8,0.0,Lawrence,Lawrence High School,"Lawrence city, Massachusetts",,,,89143,76377,0.078,0.263,0.104,0.511,0.528,0.057,0.003,0.017,0.0,0.031,0.806,0.148,1168,0.406,X,0.31,271100,1844,593,1145,X,25959,3.03,0.882,0.782,0.839,0.721,0.67,0.108,0.092,0.074,0.67,0.64,D,674822,813616,486394,6290.0,23.7,44613,20858,0.214,X,X,X,X,X,5343,2878,2113,3678,1453,264,4864,11028.0,6.93,"""2534550"""
1630000.0,Lynn,Lynn,"5,093",15.4,"12,825",8.2,7.5,67.9,13.0,0.3,0.0,3.1,781.0,370.0,229.0,115.0,48.0,19.0,76.7,23.3,781.0,370.0,229.0,115.0,48.0,19.0,76.7,23.3,428.0,781.0,237.0,86.0,60.0,35.0,10.0,1062.0,436.0,41.1,0.0,27.8,32.3,39.9,31.2,21.8,15.4,115.0,533.0,,521.0,"1,254",79.0,6.1,0.6,0.6,13.7,0.0,Lynn,Lynn Classical High School + Lynn English High School,"Lynn city, Massachusetts",,,,101253,90329,0.073,0.245,0.117,0.496,0.486,0.137,0.004,0.073,0.001,0.066,0.428,0.359,2747,0.367,X,0.449,323100,2109,773,1189,X,32599,2.85,0.874,0.536,0.871,0.799,0.762,0.185,0.098,0.055,0.682,0.63,D,388045,D,668238,7323.0,32.7,56181,26291,0.166,X,X,X,X,X,5352,2887,2135,2037,3134,374,4731,8409.5,10.74,"""2537490"""
1640000.0,Lynnfield,Lynnfield,861,17.6,"2,179",1.9,6.9,5.8,82.2,0.0,0.0,3.2,403.0,43.0,90.0,119.0,96.0,55.0,33.0,67.0,403.0,43.0,90.0,119.0,96.0,55.0,33.0,67.0,188.0,403.0,76.0,54.0,30.0,17.0,11.0,157.0,134.0,85.4,0.0,44.0,9.0,47.0,8.2,5.2,16.4,168.0,562.0,,565.0,159,97.5,1.3,0.0,0.0,1.3,0.0,Lynnfield,Lynnfield High School,"Lynnfield town, Essex County, Massachusetts",,,,13000,11596,0.057,0.248,0.197,0.518,0.923,0.012,0.0,0.044,0.0,0.019,0.024,0.907,489,0.078,X,0.851,670700,3242,1143,1669,X,4590,2.81,0.925,0.096,0.924,0.906,0.967,0.551,0.033,0.016,0.688,0.6,16891,26675,X,317013,26854.0,32.5,128641,63191,0.02,X,X,X,X,X,1412,953,366,97,1240,205,1111,1173.4,9.88,"""2500937560"""
6980000.0,Manchester Essex Regional,Manchester Essex Regional,671,14.8,"1,271",0.5,1.2,1.3,96.5,0.0,0.0,0.6,391.0,34.0,53.0,128.0,107.0,69.0,22.3,77.7,391.0,34.0,53.0,128.0,107.0,69.0,22.3,77.7,160.0,391.0,43.0,46.0,43.0,15.0,13.0,112.0,93.0,83.0,0.0,40.9,11.8,47.3,9.7,2.2,23.7,60.0,617.0,,626.0,111,99.1,0.9,0.0,0.0,0.0,0.0,Essex,Manchester Essex Regional High School,"Manchester-by-the-Sea town, Essex County, Massachusetts",,,,5395,5136,0.039,0.226,0.236,0.498,0.986,0.0,0.0,0.007,0.0,0.006,0.015,0.971,215,0.078,X,0.762,852400,3269,"$1,500+",1356,X,2075,2.59,0.88,0.08,0.946,0.903,0.983,0.708,0.004,0.03,0.655,0.602,D,13745,X,25969,4979.0,36.9,148854,74989,0.033,X,X,X,X,X,850,467,298,F,807,40,795,556.5,9.23,"""2500937995"""
6980000.0,Manchester Essex Regional,Manchester Essex Regional,671,14.8,"1,271",0.5,1.2,1.3,96.5,0.0,0.0,0.6,391.0,34.0,53.0,128.0,107.0,69.0,22.3,77.7,391.0,34.0,53.0,128.0,107.0,69.0,22.3,77.7,160.0,391.0,43.0,46.0,43.0,15.0,13.0,112.0,93.0,83.0,0.0,40.9,11.8,47.3,9.7,2.2,23.7,60.0,617.0,,626.0,111,99.1,0.9,0.0,0.0,0.0,0.0,Manchester,Manchester Essex Regional High School,"Manchester-by-the-Sea town, Essex County, Massachusetts",,,,5395,5136,0.039,0.226,0.236,0.498,0.986,0.0,0.0,0.007,0.0,0.006,0.015,0.971,215,0.078,X,0.762,852400,3269,"$1,500+",1356,X,2075,2.59,0.88,0.08,0.946,0.903,0.983,0.708,0.004,0.03,0.655,0.602,D,13745,X,25969,4979.0,36.9,148854,74989,0.033,X,X,X,X,X,850,467,298,F,807,40,795,556.5,9.23,"""2500937995"""
1680000.0,Marblehead,Marblehead,"1,603",16.2,"2,723",3.0,1.4,6.9,85.2,0.0,0.0,3.4,701.0,61.0,183.0,199.0,162.0,96.0,34.8,65.2,701.0,61.0,183.0,199.0,162.0,96.0,34.8,65.2,329.0,701.0,138.0,90.0,45.0,36.0,20.0,253.0,200.0,79.1,0.0,45.5,2.5,52.0,2.0,7.0,10.0,289.0,608.0,,599.0,263,95.1,3.4,0.4,0.4,0.8,0.0,Marblehead,Marblehead High School,"Marblehead town, Essex County, Massachusetts",,,,20441,19808,0.037,0.232,0.218,0.529,0.956,0.016,0.0,0.014,0.0,0.009,0.05,0.911,910,0.105,X,0.778,675400,2865,1077,1578,X,8122,2.51,0.907,0.131,0.972,0.953,0.986,0.713,0.031,0.023,0.663,0.613,19329,40689,16750,100119,4987.0,38.5,123333,69148,0.044,X,X,X,X,X,3138,1879,949,80,2923,269,2727,4515.5,4.39,"""2500938400"""
7050000.0,Masconomet,Masconomet,940,15.8,"1,692",0.7,3.7,3.1,90.0,0.1,0.2,2.4,339.0,11.0,45.0,80.0,128.0,75.0,16.5,83.5,339.0,11.0,45.0,80.0,128.0,75.0,16.5,83.5,207.0,339.0,113.0,63.0,24.0,7.0,0.0,281.0,248.0,88.3,0.0,47.2,9.3,43.5,8.9,5.2,13.7,282.0,592.0,,601.0,291,95.9,2.4,0.0,0.0,1.7,0.0,Boxford,Masconomet Regional High School,"Boxford town, Essex County, Massachusetts",,,,8203,7965,0.045,0.251,0.161,0.488,0.945,0.0,0.0,0.02,0.0,0.035,0.024,0.935,360,0.046,X,0.977,678700,3328,1218,870,X,2839,2.92,0.973,0.051,0.982,0.96,0.981,0.681,0.038,0.01,0.69,0.622,2065,14304,D,D,,40.4,184007,79705,0.002,X,X,X,X,X,870,440,370,F,854,39,823,338.1,23.56,"""2500907420"""
7050000.0,Masconomet,Masconomet,940,15.8,"1,692",0.7,3.7,3.1,90.0,0.1,0.2,2.4,339.0,11.0,45.0,80.0,128.0,75.0,16.5,83.5,339.0,11.0,45.0,80.0,128.0,75.0,16.5,83.5,207.0,339.0,113.0,63.0,24.0,7.0,0.0,281.0,248.0,88.3,0.0,47.2,9.3,43.5,8.9,5.2,13.7,282.0,592.0,,601.0,291,95.9,2.4,0.0,0.0,1.7,0.0,Middleton,Masconomet Regional High School,"Middleton town, Essex County, Massachusetts",,,,9779,8987,0.049,0.189,0.184,0.466,0.929,0.015,0.001,0.012,0.0,0.034,0.062,0.903,305,0.085,X,0.884,555600,2869,964,1720,X,2999,2.92,0.896,0.156,0.936,0.951,0.914,0.393,0.072,0.03,0.569,0.609,19682,19079,142749,175156,18901.0,33.4,125204,52896,0.028,X,X,X,X,X,935,519,356,F,860,75,823,667.9,13.46,"""2500941095"""
7050000.0,Masconomet,Masconomet,940,15.8,"1,692",0.7,3.7,3.1,90.0,0.1,0.2,2.4,339.0,11.0,45.0,80.0,128.0,75.0,16.5,83.5,339.0,11.0,45.0,80.0,128.0,75.0,16.5,83.5,207.0,339.0,113.0,63.0,24.0,7.0,0.0,281.0,248.0,88.3,0.0,47.2,9.3,43.5,8.9,5.2,13.7,282.0,592.0,,601.0,291,95.9,2.4,0.0,0.0,1.7,0.0,Topsfield,Masconomet Regional High School,"Topsfield town, Essex County, Massachusetts",,,,6569,6085,0.061,0.262,0.23,0.516,0.962,0.001,0.0,0.026,0.0,0.008,0.017,0.948,450,0.077,X,0.903,598700,3188,1330,-,X,2206,2.9,0.898,0.048,0.935,0.908,0.972,0.644,0.044,0.019,0.603,0.532,9257,21316,33619,45396,7237.0,40.2,136863,53853,0.046,X,X,X,X,X,1070,724,221,30,991,82,893,510.4,11.92,"""2500970150"""
1810000.0,Methuen,Methuen,"3,001",18.3,"6,572",3.8,3.7,46.0,42.6,0.1,0.1,3.9,576.0,122.0,188.0,167.0,80.0,19.0,53.8,46.2,576.0,122.0,188.0,167.0,80.0,19.0,53.8,46.2,354.0,576.0,205.0,95.0,41.0,8.0,5.0,453.0,272.0,60.0,0.0,29.0,32.7,38.2,29.8,9.6,19.5,144.0,551.0,,544.0,484,93.2,3.5,0.2,0.4,2.7,0.0,Methuen,Methuen High School,"Methuen Town city, Massachusetts",,,,53059,47255,0.048,0.209,0.16,0.519,0.746,0.043,0.003,0.041,0.0,0.039,0.295,0.609,2015,0.223,X,0.718,333200,2068,760,1233,X,17907,2.78,0.885,0.361,0.923,0.887,0.883,0.281,0.079,0.047,0.699,0.67,96912,334051,635169,530345,11047.0,27.8,77484,35387,0.092,X,X,X,X,X,3750,2260,1184,681,2929,333,3166,2124.0,22.25,"""2540710"""
