town_low,town_high,distance_mi,rank,category,uni_pct,school_to_school
Marblehead,Lynnfield,0.0,85,uni_pct_low,79.1,Marblehead-Lynnfield
Amesbury,Georgetown,0.0,86,uni_pct_low,67.5,Amesbury-Georgetown
Salem,Hamilton,0.0,87,uni_pct_low,50.2,Salem-Hamilton
Salem,Manchester,0.0,88,uni_pct_low,50.2,Salem-Manchester
Lawrence,Groveland,0.0,89,uni_pct_low,45.7,Lawrence-Groveland
Haverhill,Andover,0.0,90,uni_pct_low,56.9,Haverhill-Andover
Rockport,Manchester,0.0,91,uni_pct_low,66.7,Rockport-Manchester
Andover,Boxford,0.0,92,uni_pct_low,81.1,Andover-Boxford
Methuen,Georgetown,0.0,93,uni_pct_low,60.0,Methuen-Georgetown
Haverhill,Amesbury,0.0,94,uni_pct_low,56.9,Haverhill-Amesbury
Marblehead,Hamilton,0.0,95,uni_pct_low,79.1,Marblehead-Hamilton
Saugus,Danvers,0.0,96,uni_pct_low,63.0,Saugus-Danvers
Hamilton,Georgetown,0.0,97,uni_pct_low,81.5,Hamilton-Georgetown
Lawrence,Middleton,0.0,98,uni_pct_low,45.7,Lawrence-Middleton
Andover,Georgetown,0.0,99,uni_pct_low,81.1,Andover-Georgetown
Haverhill,Salisbury,0.0,100,uni_pct_low,56.9,Haverhill-Salisbury
Saugus,Beverly,0.0,101,uni_pct_low,63.0,Saugus-Beverly
Danvers,Georgetown,0.0,102,uni_pct_low,70.9,Danvers-Georgetown
Andover,Lynnfield,0.0,103,uni_pct_low,81.1,Andover-Lynnfield
Gloucester,Ipswich,0.0,104,uni_pct_low,49.2,Gloucester-Ipswich
Lynn,Boxford,0.0,105,uni_pct_low,41.1,Lynn-Boxford
Swampscott,Topsfield,0.0,106,uni_pct_low,77.5,Swampscott-Topsfield
Ipswich,Groveland,0.0,107,uni_pct_low,69.9,Ipswich-Groveland
Rowley,North Andover,0.0,108,uni_pct_low,67.2,Rowley-North Andover
Swampscott,Manchester,0.0,109,uni_pct_low,77.5,Swampscott-Manchester
Marblehead,Topsfield,0.0,110,uni_pct_low,79.1,Marblehead-Topsfield
Peabody,Manchester,0.0,111,uni_pct_low,60.9,Peabody-Manchester
Gloucester,Beverly,0.0,112,uni_pct_low,49.2,Gloucester-Beverly
Swampscott,Hamilton,0.0,113,uni_pct_low,77.5,Swampscott-Hamilton
Manchester,Boxford,0.0,114,uni_pct_low,83.0,Manchester-Boxford
Merrimac,Middleton,0.0,115,uni_pct_low,80.2,Merrimac-Middleton
Newbury,Danvers,0.0,116,uni_pct_low,67.2,Newbury-Danvers
Hamilton,Lynnfield,0.0,117,uni_pct_low,81.5,Hamilton-Lynnfield
Groveland,Andover,0.0,118,uni_pct_low,80.2,Groveland-Andover
Haverhill,Newburyport,0.0,119,uni_pct_low,56.9,Haverhill-Newburyport
Saugus,Boxford,0.0,120,uni_pct_low,63.0,Saugus-Boxford
Lynn,Hamilton,0.0,121,uni_pct_low,41.1,Lynn-Hamilton
Lynn,Manchester,0.0,122,uni_pct_low,41.1,Lynn-Manchester
Peabody,Ipswich,0.0,123,uni_pct_low,60.9,Peabody-Ipswich
North Andover,Lynnfield,0.0,124,uni_pct_low,83.0,North Andover-Lynnfield
Lawrence,Lynnfield,0.0,125,uni_pct_low,45.7,Lawrence-Lynnfield
Peabody,Andover,0.0,126,uni_pct_low,60.9,Peabody-Andover
Amesbury,Ipswich,0.0,127,uni_pct_low,67.5,Amesbury-Ipswich
Lawrence,Rowley,0.0,128,uni_pct_low,45.7,Lawrence-Rowley
Rockport,Hamilton,0.0,129,uni_pct_low,66.7,Rockport-Hamilton
Beverly,Georgetown,0.0,130,uni_pct_low,75.1,Beverly-Georgetown
Peabody,Georgetown,0.0,131,uni_pct_low,60.9,Peabody-Georgetown
Methuen,Topsfield,0.0,132,uni_pct_low,60.0,Methuen-Topsfield
Danvers,North Andover,0.0,133,uni_pct_low,70.9,Danvers-North Andover
Danvers,Andover,0.0,134,uni_pct_low,70.9,Danvers-Andover
Rockport,Ipswich,0.0,135,uni_pct_low,66.7,Rockport-Ipswich
Newbury,Beverly,0.0,136,uni_pct_low,67.2,Newbury-Beverly
Newburyport,Hamilton,0.0,137,uni_pct_low,81.5,Newburyport-Hamilton
Gloucester,Marblehead,0.0,138,uni_pct_low,49.2,Gloucester-Marblehead
Salem,Ipswich,0.0,139,uni_pct_low,50.2,Salem-Ipswich
Methuen,Newbury,0.0,140,uni_pct_low,60.0,Methuen-Newbury
Peabody,North Andover,0.0,141,uni_pct_low,60.9,Peabody-North Andover
Georgetown,Lynnfield,0.0,142,uni_pct_low,82.6,Georgetown-Lynnfield
Haverhill,Middleton,0.0,143,uni_pct_low,56.9,Haverhill-Middleton
Gloucester,Danvers,0.0,144,uni_pct_low,49.2,Gloucester-Danvers
Lawrence,Danvers,0.0,145,uni_pct_low,45.7,Lawrence-Danvers
Lawrence,Peabody,0.0,146,uni_pct_low,45.7,Lawrence-Peabody
Ipswich,North Andover,0.0,147,uni_pct_low,69.9,Ipswich-North Andover
Rowley,Andover,0.0,148,uni_pct_low,67.2,Rowley-Andover
Newbury,Manchester,0.0,149,uni_pct_low,67.2,Newbury-Manchester
Groveland,Hamilton,0.0,150,uni_pct_low,80.2,Groveland-Hamilton
Ipswich,Marblehead,0.0,151,uni_pct_low,69.9,Ipswich-Marblehead
Amesbury,North Andover,0.0,152,uni_pct_low,67.5,Amesbury-North Andover
Newburyport,Boxford,0.0,153,uni_pct_low,81.5,Newburyport-Boxford
Ipswich,Lynnfield,0.0,154,uni_pct_low,69.9,Ipswich-Lynnfield
Manchester,Lynnfield,0.0,155,uni_pct_low,83.0,Manchester-Lynnfield
Newburyport,North Andover,0.0,156,uni_pct_low,81.5,Newburyport-North Andover
Gloucester,Salem,0.0,157,uni_pct_low,49.2,Gloucester-Salem
Peabody,Newbury,0.0,158,uni_pct_low,60.9,Peabody-Newbury
Methuen,Amesbury,0.0,159,uni_pct_low,60.0,Methuen-Amesbury
Danvers,Merrimac,0.0,160,uni_pct_low,70.9,Danvers-Merrimac
Hamilton,North Andover,0.0,161,uni_pct_low,81.5,Hamilton-North Andover
Saugus,Hamilton,0.0,162,uni_pct_low,63.0,Saugus-Hamilton
Haverhill,Ipswich,0.0,163,uni_pct_low,56.9,Haverhill-Ipswich
Georgetown,Manchester,0.0,164,uni_pct_low,82.6,Georgetown-Manchester
Ipswich,Swampscott,0.0,165,uni_pct_low,69.9,Ipswich-Swampscott
Lawrence,Ipswich,0.0,166,uni_pct_low,45.7,Lawrence-Ipswich
Rockport,Beverly,0.0,167,uni_pct_low,66.7,Rockport-Beverly
Lawrence,Amesbury,0.0,168,uni_pct_low,45.7,Lawrence-Amesbury
Methuen,Lynnfield,0.0,169,uni_pct_low,60.0,Methuen-Lynnfield
Saugus,Andover,0.0,170,uni_pct_low,63.0,Saugus-Andover
Gloucester,Salisbury,0.0,171,uni_pct_low,49.2,Gloucester-Salisbury
Beverly,North Andover,0.0,172,uni_pct_low,75.1,Beverly-North Andover
Gloucester,Boxford,0.0,173,uni_pct_low,49.2,Gloucester-Boxford
Beverly,Andover,0.0,174,uni_pct_low,75.1,Beverly-Andover
Rowley,Lynnfield,0.0,175,uni_pct_low,67.2,Rowley-Lynnfield
Lynn,Ipswich,0.0,176,uni_pct_low,41.1,Lynn-Ipswich
Methuen,Newburyport,0.0,177,uni_pct_low,60.0,Methuen-Newburyport
Saugus,Manchester,0.0,178,uni_pct_low,63.0,Saugus-Manchester
Gloucester,Swampscott,0.0,179,uni_pct_low,49.2,Gloucester-Swampscott
Salem,Georgetown,0.0,180,uni_pct_low,50.2,Salem-Georgetown
Lawrence,Newburyport,0.0,181,uni_pct_low,45.7,Lawrence-Newburyport
Ipswich,Andover,0.0,182,uni_pct_low,69.9,Ipswich-Andover
Lawrence,Hamilton,0.0,183,uni_pct_low,45.7,Lawrence-Hamilton
Amesbury,Middleton,0.0,184,uni_pct_low,67.5,Amesbury-Middleton
Andover,Hamilton,0.0,185,uni_pct_low,81.1,Andover-Hamilton
Gloucester,Peabody,0.0,186,uni_pct_low,49.2,Gloucester-Peabody
Lawrence,Beverly,0.0,187,uni_pct_low,45.7,Lawrence-Beverly
Methuen,Danvers,0.0,188,uni_pct_low,60.0,Methuen-Danvers
Amesbury,Hamilton,0.0,189,uni_pct_low,67.5,Amesbury-Hamilton
Danvers,Newburyport,0.0,190,uni_pct_low,70.9,Danvers-Newburyport
Salem,Andover,0.0,191,uni_pct_low,50.2,Salem-Andover
Salem,Newbury,0.0,192,uni_pct_low,50.2,Salem-Newbury
Methuen,Peabody,0.0,193,uni_pct_low,60.0,Methuen-Peabody
Lynn,Andover,0.0,194,uni_pct_low,41.1,Lynn-Andover
Beverly,Groveland,0.0,195,uni_pct_low,75.1,Beverly-Groveland
Methuen,Ipswich,0.0,196,uni_pct_low,60.0,Methuen-Ipswich
Lynn,Gloucester,0.0,197,uni_pct_low,41.1,Lynn-Gloucester
Peabody,Groveland,0.0,198,uni_pct_low,60.9,Peabody-Groveland
Haverhill,Danvers,0.0,199,uni_pct_low,56.9,Haverhill-Danvers
Rockport,Newbury,0.0,200,uni_pct_low,66.7,Rockport-Newbury
Groveland,Lynnfield,0.0,201,uni_pct_low,80.2,Groveland-Lynnfield
Salem,North Andover,0.0,202,uni_pct_low,50.2,Salem-North Andover
Rockport,Danvers,0.0,203,uni_pct_low,66.7,Rockport-Danvers
Marblehead,Georgetown,0.0,204,uni_pct_low,79.1,Marblehead-Georgetown
Newburyport,Manchester,0.0,205,uni_pct_low,81.5,Newburyport-Manchester
Lawrence,Saugus,0.0,206,uni_pct_low,45.7,Lawrence-Saugus
Haverhill,Hamilton,0.0,207,uni_pct_low,56.9,Haverhill-Hamilton
Swampscott,Andover,0.0,208,uni_pct_low,77.5,Swampscott-Andover
Beverly,Newburyport,0.0,209,uni_pct_low,75.1,Beverly-Newburyport
Amesbury,Andover,0.0,210,uni_pct_low,67.5,Amesbury-Andover
Rockport,Marblehead,0.0,211,uni_pct_low,66.7,Rockport-Marblehead
Lynn,Georgetown,0.0,212,uni_pct_low,41.1,Lynn-Georgetown
Saugus,North Andover,0.0,213,uni_pct_low,63.0,Saugus-North Andover
Swampscott,Georgetown,0.0,214,uni_pct_low,77.5,Swampscott-Georgetown
Andover,Newburyport,0.0,215,uni_pct_low,81.1,Andover-Newburyport
Gloucester,Newburyport,0.0,216,uni_pct_low,49.2,Gloucester-Newburyport
Lawrence,Salem,0.0,217,uni_pct_low,45.7,Lawrence-Salem
Gloucester,Georgetown,0.0,218,uni_pct_low,49.2,Gloucester-Georgetown
Haverhill,Lynnfield,0.0,219,uni_pct_low,56.9,Haverhill-Lynnfield
Salisbury,Marblehead,0.0,220,uni_pct_low,67.2,Salisbury-Marblehead
Lynn,North Andover,0.0,221,uni_pct_low,41.1,Lynn-North Andover
Rockport,Newburyport,0.0,222,uni_pct_low,66.7,Rockport-Newburyport
Methuen,Hamilton,0.0,223,uni_pct_low,60.0,Methuen-Hamilton
Saugus,Ipswich,0.0,224,uni_pct_low,63.0,Saugus-Ipswich
Lynn,Lawrence,0.0,225,uni_pct_low,41.1,Lynn-Lawrence
Haverhill,Peabody,0.0,226,uni_pct_low,56.9,Haverhill-Peabody
Swampscott,North Andover,0.0,227,uni_pct_low,77.5,Swampscott-North Andover
Saugus,Georgetown,0.0,228,uni_pct_low,63.0,Saugus-Georgetown
Newbury,Swampscott,0.0,229,uni_pct_low,67.2,Newbury-Swampscott
Salem,Rockport,0.0,230,uni_pct_low,50.2,Salem-Rockport
Marblehead,Andover,0.0,231,uni_pct_low,79.1,Marblehead-Andover
Lynn,Newbury,0.0,232,uni_pct_low,41.1,Lynn-Newbury
Lawrence,Swampscott,0.0,233,uni_pct_low,45.7,Lawrence-Swampscott
Amesbury,Danvers,0.0,234,uni_pct_low,67.5,Amesbury-Danvers
Groveland,Manchester,0.0,235,uni_pct_low,80.2,Groveland-Manchester
Rockport,Boxford,0.0,236,uni_pct_low,66.7,Rockport-Boxford
Methuen,Beverly,0.0,237,uni_pct_low,60.0,Methuen-Beverly
Gloucester,Lynnfield,0.0,238,uni_pct_low,49.2,Gloucester-Lynnfield
Peabody,Newburyport,0.0,239,uni_pct_low,60.9,Peabody-Newburyport
Marblehead,North Andover,0.0,240,uni_pct_low,79.1,Marblehead-North Andover
Haverhill,Beverly,0.0,241,uni_pct_low,56.9,Haverhill-Beverly
Manchester,North Andover,0.0,242,uni_pct_low,83.0,Manchester-North Andover
Lawrence,Marblehead,0.0,243,uni_pct_low,45.7,Lawrence-Marblehead
Rockport,Georgetown,0.0,244,uni_pct_low,66.7,Rockport-Georgetown
Salem,Merrimac,0.0,245,uni_pct_low,50.2,Salem-Merrimac
Rockport,Swampscott,0.0,246,uni_pct_low,66.7,Rockport-Swampscott
Peabody,Rockport,0.0,247,uni_pct_low,60.9,Peabody-Rockport
Amesbury,Beverly,0.0,248,uni_pct_low,67.5,Amesbury-Beverly
Methuen,Saugus,0.0,249,uni_pct_low,60.0,Methuen-Saugus
Saugus,Salisbury,0.0,250,uni_pct_low,63.0,Saugus-Salisbury
Newburyport,Lynnfield,0.0,251,uni_pct_low,81.5,Newburyport-Lynnfield
Andover,Manchester,0.0,252,uni_pct_low,81.1,Andover-Manchester
Salem,Methuen,0.0,253,uni_pct_low,50.2,Salem-Methuen
Gloucester,Saugus,0.0,254,uni_pct_low,49.2,Gloucester-Saugus
Amesbury,Manchester,0.0,255,uni_pct_low,67.5,Amesbury-Manchester
Lawrence,Manchester,0.0,256,uni_pct_low,45.7,Lawrence-Manchester
Gloucester,Merrimac,0.0,257,uni_pct_low,49.2,Gloucester-Merrimac
Lynn,Rockport,0.0,258,uni_pct_low,41.1,Lynn-Rockport
Lynn,Methuen,0.0,259,uni_pct_low,41.1,Lynn-Methuen
Peabody,Amesbury,0.0,260,uni_pct_low,60.9,Peabody-Amesbury
Salem,Newburyport,0.0,261,uni_pct_low,50.2,Salem-Newburyport
Gloucester,Amesbury,0.0,262,uni_pct_low,49.2,Gloucester-Amesbury
Marblehead,Groveland,0.0,263,uni_pct_low,79.1,Marblehead-Groveland
Lynn,Merrimac,0.0,264,uni_pct_low,41.1,Lynn-Merrimac
Swampscott,Groveland,0.0,265,uni_pct_low,77.5,Swampscott-Groveland
Methuen,Swampscott,0.0,266,uni_pct_low,60.0,Methuen-Swampscott
Rockport,Amesbury,0.0,267,uni_pct_low,66.7,Rockport-Amesbury
Salem,Haverhill,0.0,268,uni_pct_low,50.2,Salem-Haverhill
Amesbury,Lynnfield,0.0,269,uni_pct_low,67.5,Amesbury-Lynnfield
Marblehead,Newburyport,0.0,270,uni_pct_low,79.1,Marblehead-Newburyport
Saugus,Groveland,0.0,271,uni_pct_low,63.0,Saugus-Groveland
Haverhill,Manchester,0.0,272,uni_pct_low,56.9,Haverhill-Manchester
Rockport,Groveland,0.0,273,uni_pct_low,66.7,Rockport-Groveland
Methuen,Marblehead,0.0,274,uni_pct_low,60.0,Methuen-Marblehead
Rockport,Lynnfield,0.0,275,uni_pct_low,66.7,Rockport-Lynnfield
Haverhill,Saugus,0.0,276,uni_pct_low,56.9,Haverhill-Saugus
Lynn,Haverhill,0.0,277,uni_pct_low,41.1,Lynn-Haverhill
Methuen,Manchester,0.0,278,uni_pct_low,60.0,Methuen-Manchester
Swampscott,Newburyport,0.0,279,uni_pct_low,77.5,Swampscott-Newburyport
Gloucester,North Andover,0.0,280,uni_pct_low,49.2,Gloucester-North Andover
Haverhill,Swampscott,0.0,281,uni_pct_low,56.9,Haverhill-Swampscott
Lynn,Newburyport,0.0,282,uni_pct_low,41.1,Lynn-Newburyport
Haverhill,Marblehead,0.0,283,uni_pct_low,56.9,Haverhill-Marblehead
Salem,Amesbury,0.0,284,uni_pct_low,50.2,Salem-Amesbury
Lawrence,Gloucester,0.0,285,uni_pct_low,45.7,Lawrence-Gloucester
Gloucester,Andover,0.0,286,uni_pct_low,49.2,Gloucester-Andover
Saugus,Rockport,0.0,287,uni_pct_low,63.0,Saugus-Rockport
Gloucester,Haverhill,0.0,288,uni_pct_low,49.2,Gloucester-Haverhill
Amesbury,Marblehead,0.0,289,uni_pct_low,67.5,Amesbury-Marblehead
Saugus,Newburyport,0.0,290,uni_pct_low,63.0,Saugus-Newburyport
Amesbury,Swampscott,0.0,291,uni_pct_low,67.5,Amesbury-Swampscott
Lynn,Amesbury,0.0,292,uni_pct_low,41.1,Lynn-Amesbury
Rockport,North Andover,0.0,293,uni_pct_low,66.7,Rockport-North Andover
Gloucester,Methuen,0.0,294,uni_pct_low,49.2,Gloucester-Methuen
Haverhill,Rockport,0.0,295,uni_pct_low,56.9,Haverhill-Rockport
Saugus,Amesbury,0.0,296,uni_pct_low,63.0,Saugus-Amesbury
Lawrence,Rockport,0.0,297,uni_pct_low,45.7,Lawrence-Rockport
Rockport,Andover,0.0,298,uni_pct_low,66.7,Rockport-Andover
Methuen,Rockport,0.0,299,uni_pct_low,60.0,Methuen-Rockport
Lynn,Swampscott,1.196055302079143,0,uni_pct_high,77.5,Lynn-Swampscott
Lawrence,North Andover,1.5855866438822594,1,uni_pct_high,83.0,Lawrence-North Andover
Salem,Swampscott,1.9363245470077504,2,uni_pct_high,77.5,Salem-Swampscott
Salem,Marblehead,2.361965084725948,3,uni_pct_high,79.1,Salem-Marblehead
Lawrence,Andover,2.4075788470636974,4,uni_pct_high,81.1,Lawrence-Andover
Lynn,Salem,2.620759071282193,5,uni_pct_high,50.2,Lynn-Salem
Swampscott,Marblehead,2.7700866048205146,6,uni_pct_high,79.1,Swampscott-Marblehead
Danvers,Beverly,2.820942616776508,7,uni_pct_high,75.1,Danvers-Beverly
Peabody,Lynnfield,3.0211280959779665,8,uni_pct_high,85.4,Peabody-Lynnfield
Lawrence,Methuen,3.190858545165007,9,uni_pct_high,60.0,Lawrence-Methuen
Peabody,Danvers,3.3831848090871595,10,uni_pct_high,70.9,Peabody-Danvers
Methuen,North Andover,3.582984079375072,11,uni_pct_high,83.0,Methuen-North Andover
Andover,North Andover,3.5890416313744566,12,uni_pct_high,83.0,Andover-North Andover
Danvers,Topsfield,3.717251074636475,13,uni_pct_high,88.3,Danvers-Topsfield
Salisbury,Georgetown,3.814898481551445,14,uni_pct_high,82.6,Salisbury-Georgetown
Amesbury,Newburyport,3.8692811155221,15,uni_pct_high,81.5,Amesbury-Newburyport
Lynn,Marblehead,3.9489579065240856,16,uni_pct_high,79.1,Lynn-Marblehead
Ipswich,Hamilton,4.140077970284551,17,uni_pct_high,81.5,Ipswich-Hamilton
Salem,Peabody,4.141631838811724,18,uni_pct_high,60.9,Salem-Peabody
Lynn,Saugus,4.160763648971105,19,uni_pct_high,63.0,Lynn-Saugus
Merrimac,Georgetown,4.28828278923016,20,uni_pct_high,82.6,Merrimac-Georgetown
Gloucester,Rockport,4.3171524484408135,21,uni_pct_high,66.7,Gloucester-Rockport
Salem,Beverly,4.327777882741018,22,uni_pct_high,75.1,Salem-Beverly
Beverly,Hamilton,4.72845942483406,23,uni_pct_high,81.5,Beverly-Hamilton
Haverhill,Groveland,4.762942120764938,24,uni_pct_high,80.2,Haverhill-Groveland
Peabody,Beverly,4.935838087070542,25,uni_pct_high,75.1,Peabody-Beverly
Lynn,Peabody,4.94029677394803,26,uni_pct_high,60.9,Lynn-Peabody
Haverhill,Methuen,4.97318960159047,27,uni_pct_high,60.0,Haverhill-Methuen
Newbury,Newburyport,5.008180269711917,28,uni_pct_high,81.5,Newbury-Newburyport
Beverly,Marblehead,5.037819794778186,29,uni_pct_high,79.1,Beverly-Marblehead
Gloucester,Manchester,5.06495176646527,30,uni_pct_high,83.0,Gloucester-Manchester
Newbury,Ipswich,5.0819856969992605,31,uni_pct_high,69.9,Newbury-Ipswich
Hamilton,Manchester,5.254430247077268,32,uni_pct_high,83.0,Hamilton-Manchester
Peabody,Swampscott,5.289150594497587,33,uni_pct_high,77.5,Peabody-Swampscott
Methuen,Andover,5.306090018823177,34,uni_pct_high,81.1,Methuen-Andover
Salem,Danvers,5.330710306255406,35,uni_pct_high,70.9,Salem-Danvers
Danvers,Hamilton,5.335146344153019,36,uni_pct_high,81.5,Danvers-Hamilton
Saugus,Swampscott,5.349151489056062,37,uni_pct_high,77.5,Saugus-Swampscott
Saugus,Lynnfield,5.433577113105851,38,uni_pct_high,85.4,Saugus-Lynnfield
Peabody,Middleton,5.5454252943224684,39,uni_pct_high,88.3,Peabody-Middleton
Newbury,Groveland,5.590551585369322,40,uni_pct_high,80.2,Newbury-Groveland
Amesbury,Groveland,5.917174839382962,41,uni_pct_high,80.2,Amesbury-Groveland
Danvers,Lynnfield,5.964400140329401,42,uni_pct_high,85.4,Danvers-Lynnfield
Beverly,Manchester,5.971410704235797,43,uni_pct_high,83.0,Beverly-Manchester
Haverhill,North Andover,6.005102278445393,44,uni_pct_high,83.0,Haverhill-North Andover
