school_to_school,distance,distance_mi,town_1,town_2,loc1,lat1,lon1,loc2,lat2,lon2,district_code_x,district_name_x,district_code_y,district_name_y,avg_class_size_x,avg_class_size_y,african_american_pct_x,asian_pct_x,hispanic_pct_x,white_pct_x,native_american_pct_x,nhpi_pct_x,mrnh_pct_x,african_american_pct_y,asian_pct_y,hispanic_pct_y,white_pct_y,native_american_pct_y,nhpi_pct_y,mrnh_pct_y,ap_pct_score_3-5_x,ap_pct_score_3-5_y,attend_uni_(pct)_x,attend_uni_(pct)_y,private_four-year_(pct)_x,private_four-year_(pct)_y,pct_graduated_x,pct_graduated_y,pct_dropped_out_x,pct_dropped_out_y,school_name_x,school_name_y,pop_census_2020_x,pop_census_2020_y,hisp_latino_pct_x,hisp_latino_pct_y,white_pop_nhl_x,white_pop_nhl_y,foreign_born_pct_x,foreign_born_pct_y,median_household_income_x,median_household_income_y,per_cap_income_12_mos_x,per_cap_income_12_mos_y,pop_sq_mo_2010_x,pop_sq_mo_2010_y
Peabody-Danvers,5.444708193,3.3831848090871595,Peabody,Danvers,25,42.544562,-70.974187,5,42.582062,-70.931438,2290000.0,Peabody,710000.0,Danvers,16.4,16.8,3.8,2.1,19.4,72.5,0.2,0.0,2.0,2.3,2.4,9.1,83.6,0.1,0.0,2.6,56.5,55.7,60.9,70.9,37.7,39.3,88.0,95.8,5.9,0.8,Peabody Veterans Memorial High School,Danvers High School,54481,28087,0.099,0.051,0.827,0.876,0.154,0.105,73217,89250,40095,44005,3161.4,1995.6
North Andover-Methuen,5.766253951,3.582984079375072,North Andover,Methuen,24,42.700563,-71.116563,19,42.733063,-71.171563,2110000.0,North Andover,1810000.0,Methuen,18.0,18.3,2.9,7.6,13.5,72.5,0.1,0.1,3.3,3.8,3.7,46.0,42.6,0.1,0.1,3.9,80.0,46.2,83.0,60.0,48.4,29.0,97.3,93.2,0.3,2.7,North Andover High School,Methuen High School,30915,53059,0.076,0.295,0.811,0.609,0.119,0.223,108070,77484,54939,35387,1077.8,2124.0
Andover-North Andover,5.776002636,3.5890416313744566,Andover,North Andover,2,42.657187,-71.155438,24,42.700563,-71.116563,90000.0,Andover,2110000.0,North Andover,12.3,18.0,2.7,19.0,7.9,66.5,0.1,0.1,3.7,2.9,7.6,13.5,72.5,0.1,0.1,3.3,74.4,80.0,81.1,83.0,52.4,48.4,95.2,97.3,0.9,0.3,Andover High School,North Andover High School,9735,30915,0.025,0.076,0.847,0.811,0.135,0.119,95600,108070,55457,54939,2376.6,1077.8
Danvers-Topsfield,5.982335735,3.717251074636475,Danvers,Topsfield,5,42.582062,-70.931438,32,42.624813,-70.975813,710000.0,Danvers,7050000.0,Masconomet,16.8,15.8,2.3,2.4,9.1,83.6,0.1,0.0,2.6,0.7,3.7,3.1,90.0,0.1,0.2,2.4,55.7,83.5,70.9,88.3,39.3,47.2,95.8,95.9,0.8,1.7,Danvers High School,Masconomet Regional High School,28087,6569,0.051,0.017,0.876,0.948,0.105,0.077,89250,136863,44005,53853,1995.6,510.4
Salisbury-Georgetown,6.139484004,3.814898481551445,Salisbury,Georgetown,29,42.744187,-70.916438,7,42.724063,-70.986438,7730000.0,Triton,1050000.0,Georgetown,16.9,14.9,1.6,2.1,3.9,90.1,0.1,0.1,2.0,0.8,1.0,2.4,93.7,0.0,0.2,2.0,69.0,87.2,67.2,82.6,30.8,41.1,89.5,95.5,3.7,2.7,Triton Regional High School,Georgetown High School,9236,8470,0.036,0.035,0.928,0.932,0.049,0.037,81304,128466,43214,53243,536.9,636.3
Amesbury-Newburyport,6.22700437,3.8692811155221,Amesbury,Newburyport,1,42.851062,-70.942437,23,42.813187,-70.886188,70000.0,Amesbury,2040000.0,Newburyport,15.1,14.0,1.9,1.2,9.7,82.6,0.2,0.1,4.3,0.9,1.9,4.3,90.3,0.0,0.0,2.6,58.7,62.0,67.5,81.5,33.3,43.4,87.9,94.6,3.0,0.5,Amesbury High School,Newburyport High School,17366,18289,0.025,0.028,0.938,0.924,0.043,0.075,82468,109839,42607,64018,1327.8,2086.2
Lynn-Marblehead,6.355231736,3.9489579065240856,Lynn,Marblehead,14,42.476687,-70.943687,17,42.492438,-70.869187,1630000.0,Lynn,1680000.0,Marblehead,15.4,16.2,8.2,7.5,67.9,13.0,0.3,0.0,3.1,3.0,1.4,6.9,85.2,0.0,0.0,3.4,23.3,65.2,41.1,79.1,27.8,45.5,79.0,95.1,13.7,0.8,Lynn Classical High School + Lynn English High School,Marblehead High School,101253,20441,0.428,0.05,0.359,0.911,0.367,0.105,56181,123333,26291,69148,8409.5,4515.5
Hamilton-Ipswich,6.662809665,4.140077970284551,Hamilton,Ipswich,33,42.628687,-70.847813,12,42.688563,-70.850938,6750000.0,Hamilton-Wenham,1440000.0,Ipswich,11.8,15.1,0.5,3.7,5.2,87.8,0.0,0.2,2.7,1.3,1.3,7.1,86.3,0.1,0.0,4.0,62.1,78.6,81.5,69.9,57.1,45.2,97.2,90.8,0.7,4.9,Hamilton-Wenham Regional High School,Ipswich High School,7561,13785,0.015,0.042,0.91,0.92,0.096,0.065,127813,93212,49347,52393,547.4,410.3
Salem-Peabody,6.665310374,4.141631838811724,Salem,Peabody,28,42.506312,-70.911563,25,42.544562,-70.974187,2580000.0,Salem,2290000.0,Peabody,13.5,16.4,6.6,2.6,43.9,42.4,0.0,0.0,4.5,3.8,2.1,19.4,72.5,0.2,0.0,2.0,56.1,56.5,50.2,60.9,27.3,37.7,73.9,88.0,10.9,5.9,Salem High School,Peabody Veterans Memorial High School,44480,54481,0.178,0.099,0.718,0.827,0.146,0.154,68808,73217,38400,40095,4992.9,3161.4
Lynn-Saugus,6.696100038,4.160763648971105,Lynn,Saugus,14,42.476687,-70.943687,30,42.460813,-71.022437,1630000.0,Lynn,2620000.0,Saugus,15.4,17.0,8.2,7.5,67.9,13.0,0.3,0.0,3.1,5.4,5.5,22.8,62.5,0.8,0.4,2.6,23.3,50.6,41.1,63.0,27.8,36.3,79.0,87.7,13.7,7.3,Lynn Classical High School + Lynn English High School,Saugus High School,101253,28619,0.428,0.086,0.359,0.833,0.367,0.132,56181,88667,26291,39790,8409.5,2467.0
Merrimac-Georgetown,6.901322202,4.28828278923016,Merrimac,Georgetown,18,42.782938,-71.013188,7,42.724063,-70.986438,7450000.0,Pentucket,1050000.0,Georgetown,16.3,14.9,0.4,1.2,6.0,89.9,0.1,0.0,2.5,0.8,1.0,2.4,93.7,0.0,0.2,2.0,63.3,87.2,80.2,82.6,40.4,41.1,94.7,95.5,3.2,2.7,Pentucket Regional High School,Georgetown High School,6723,8470,0.024,0.035,0.956,0.932,0.033,0.037,84609,128466,44616,53243,749.3,636.3
Rockport-Gloucester,6.947783415,4.3171524484408135,Rockport,Gloucester,26,42.652187,-70.609562,8,42.613438,-70.676187,2520000.0,Rockport,1070000.0,Gloucester,14.7,13.1,0.7,1.8,3.6,90.4,0.0,0.1,3.4,1.8,1.2,12.9,79.7,0.3,0.3,3.8,38.8,55.0,66.7,49.2,48.0,39.1,94.9,83.7,1.3,5.8,Rockport High School,Gloucester High School,6992,29729,0.007,0.024,0.965,0.919,0.029,0.086,85208,72574,51122,43321,994.4,1099.0
