school_to_school,distance,distance_mi,town_1,town_2,loc1,lat1,lon1,loc2,lat2,lon2,district_code_x,district_name_x,district_code_y,district_name_y,avg_class_size_x,avg_class_size_y,african_american_pct_x,asian_pct_x,hispanic_pct_x,white_pct_x,native_american_pct_x,nhpi_pct_x,mrnh_pct_x,african_american_pct_y,asian_pct_y,hispanic_pct_y,white_pct_y,native_american_pct_y,nhpi_pct_y,mrnh_pct_y,ap_pct_score_3-5_x,ap_pct_score_3-5_y,attend_uni_(pct)_x,attend_uni_(pct)_y,private_four-year_(pct)_x,private_four-year_(pct)_y,pct_graduated_x,pct_graduated_y,pct_dropped_out_x,pct_dropped_out_y,school_name_x,school_name_y,pop_census_2020_x,pop_census_2020_y,hisp_latino_pct_x,hisp_latino_pct_y,white_pop_nhl_x,white_pop_nhl_y,foreign_born_pct_x,foreign_born_pct_y,median_household_income_x,median_household_income_y,per_cap_income_12_mos_x,per_cap_income_12_mos_y,pop_sq_mo_2010_x,pop_sq_mo_2010_y
Lynn-Lynnfield,10.0885793,6.268752525050366,Lynn,Lynnfield,14,42.476687,-70.943687,15,42.539063,-71.033062,1630000.0,Lynn,1640000.0,Lynnfield,15.4,17.6,8.2,7.5,67.9,13.0,0.3,0.0,3.1,1.9,6.9,5.8,82.2,0.0,0.0,3.2,23.3,67.0,41.1,85.4,27.8,44.0,79.0,97.5,13.7,1.3,Lynn Classical High School + Lynn English High School,Lynnfield High School,101253,13000,0.428,0.024,0.359,0.907,0.367,0.078,56181,128641,26291,63191,8409.5,1173.4
Peabody-Saugus,10.11768048,6.286835159897371,Peabody,Saugus,25,42.544562,-70.974187,30,42.460813,-71.022437,2290000.0,Peabody,2620000.0,Saugus,16.4,17.0,3.8,2.1,19.4,72.5,0.2,0.0,2.0,5.4,5.5,22.8,62.5,0.8,0.4,2.6,56.5,50.6,60.9,63.0,37.7,36.3,88.0,87.7,5.9,7.3,Peabody Veterans Memorial High School,Saugus High School,54481,28619,0.099,0.086,0.827,0.833,0.154,0.132,73217,88667,40095,39790,3161.4,2467.0
Beverly-Middleton,10.22296589,6.352256480398708,Beverly,Middleton,3,42.564813,-70.881187,20,42.624813,-70.975813,300000.0,Beverly,7050000.0,Masconomet,16.4,15.8,3.5,2.5,14.9,75.0,0.1,0.0,4.0,0.7,3.7,3.1,90.0,0.1,0.2,2.4,56.5,83.5,75.1,88.3,36.9,47.2,91.0,95.9,4.8,1.7,Beverly High School,Masconomet Regional High School,42670,9779,0.051,0.062,0.885,0.903,0.08,0.085,80586,125204,45803,52896,2617.2,667.9
Marblehead-Peabody,10.37533209,6.446932447408488,Marblehead,Peabody,17,42.492438,-70.869187,25,42.544562,-70.974187,1680000.0,Marblehead,2290000.0,Peabody,16.2,16.4,3.0,1.4,6.9,85.2,0.0,0.0,3.4,3.8,2.1,19.4,72.5,0.2,0.0,2.0,65.2,56.5,79.1,60.9,45.5,37.7,95.1,88.0,0.8,5.9,Marblehead High School,Peabody Veterans Memorial High School,20441,54481,0.05,0.099,0.911,0.827,0.105,0.154,123333,73217,69148,40095,4515.5,3161.4
Saugus-Salem,10.40483713,6.465266029224285,Saugus,Salem,30,42.460813,-71.022437,28,42.506312,-70.911563,2620000.0,Saugus,2580000.0,Salem,17.0,13.5,5.4,5.5,22.8,62.5,0.8,0.4,2.6,6.6,2.6,43.9,42.4,0.0,0.0,4.5,50.6,56.1,63.0,50.2,36.3,27.3,87.7,73.9,7.3,10.9,Saugus High School,Salem High School,28619,44480,0.086,0.178,0.833,0.718,0.132,0.146,88667,68808,39790,38400,2467.0,4992.9
Hamilton-Middleton,10.48118937,6.512709111452249,Hamilton,Middleton,33,42.628687,-70.847813,20,42.624813,-70.975813,6750000.0,Hamilton-Wenham,7050000.0,Masconomet,11.8,15.8,0.5,3.7,5.2,87.8,0.0,0.2,2.7,0.7,3.7,3.1,90.0,0.1,0.2,2.4,62.1,83.5,81.5,88.3,57.1,47.2,97.2,95.9,0.7,1.7,Hamilton-Wenham Regional High School,Masconomet Regional High School,7561,9779,0.015,0.062,0.91,0.903,0.096,0.085,127813,125204,49347,52896,547.4,667.9
Lynnfield-Salem,10.60213328,6.587860172732203,Lynnfield,Salem,15,42.539063,-71.033062,28,42.506312,-70.911563,1640000.0,Lynnfield,2580000.0,Salem,17.6,13.5,1.9,6.9,5.8,82.2,0.0,0.0,3.2,6.6,2.6,43.9,42.4,0.0,0.0,4.5,67.0,56.1,85.4,50.2,44.0,27.3,97.5,73.9,1.3,10.9,Lynnfield High School,Salem High School,13000,44480,0.024,0.178,0.907,0.718,0.078,0.146,128641,68808,63191,38400,1173.4,4992.9
Lynnfield-Boxford,10.62475507,6.601916701304433,Lynnfield,Boxford,15,42.539063,-71.033062,4,42.624813,-70.975813,1640000.0,Lynnfield,7050000.0,Masconomet,17.6,15.8,1.9,6.9,5.8,82.2,0.0,0.0,3.2,0.7,3.7,3.1,90.0,0.1,0.2,2.4,67.0,83.5,85.4,88.3,44.0,47.2,97.5,95.9,1.3,1.7,Lynnfield High School,Masconomet Regional High School,13000,8203,0.024,0.024,0.907,0.935,0.078,0.046,128641,184007,63191,79705,1173.4,338.1
Newburyport-Merrimac,10.89412059,6.769292675011802,Newburyport,Merrimac,23,42.813187,-70.886188,18,42.782938,-71.013188,2040000.0,Newburyport,7450000.0,Pentucket,14.0,16.3,0.9,1.9,4.3,90.3,0.0,0.0,2.6,0.4,1.2,6.0,89.9,0.1,0.0,2.5,62.0,63.3,81.5,80.2,43.4,40.4,94.6,94.7,0.5,3.2,Newburyport High School,Pentucket Regional High School,18289,6723,0.028,0.024,0.924,0.956,0.075,0.033,109839,84609,64018,44616,2086.2,749.3
Georgetown-North Andover,10.94796536,6.802750263821978,Georgetown,North Andover,7,42.724063,-70.986438,24,42.700563,-71.116563,1050000.0,Georgetown,2110000.0,North Andover,14.9,18.0,0.8,1.0,2.4,93.7,0.0,0.2,2.0,2.9,7.6,13.5,72.5,0.1,0.1,3.3,87.2,80.0,82.6,83.0,41.1,48.4,95.5,97.3,2.7,0.3,Georgetown High School,North Andover High School,8470,30915,0.035,0.076,0.932,0.811,0.037,0.119,128466,108070,53243,54939,636.3,1077.8
Lynn-Beverly,11.05712199,6.870577048901468,Lynn,Beverly,14,42.476687,-70.943687,3,42.564813,-70.881187,1630000.0,Lynn,300000.0,Beverly,15.4,16.4,8.2,7.5,67.9,13.0,0.3,0.0,3.1,3.5,2.5,14.9,75.0,0.1,0.0,4.0,23.3,56.5,41.1,75.1,27.8,36.9,79.0,91.0,13.7,4.8,Lynn Classical High School + Lynn English High School,Beverly High School,101253,42670,0.428,0.051,0.359,0.885,0.367,0.08,56181,80586,26291,45803,8409.5,2617.2
Georgetown-Boxford,11.07022693,6.878720081064147,Georgetown,Boxford,7,42.724063,-70.986438,4,42.624813,-70.975813,1050000.0,Georgetown,7050000.0,Masconomet,14.9,15.8,0.8,1.0,2.4,93.7,0.0,0.2,2.0,0.7,3.7,3.1,90.0,0.1,0.2,2.4,87.2,83.5,82.6,88.3,41.1,47.2,95.5,95.9,2.7,1.7,Georgetown High School,Masconomet Regional High School,8470,8203,0.035,0.024,0.932,0.935,0.037,0.046,128466,184007,53243,79705,636.3,338.1
Lawrence-Haverhill,11.1196051,6.909402253317068,Lawrence,Haverhill,13,42.691187,-71.145062,11,42.787188,-71.106938,1490000.0,Lawrence,1280000.0,Haverhill,17.9,17.2,1.3,1.2,93.8,3.2,0.0,0.0,0.4,5.2,1.8,40.9,49.7,0.2,0.1,2.1,23.8,48.4,45.7,56.9,19.6,28.5,72.8,80.4,8.8,7.7,Lawrence High School,Haverhill High School,89143,67787,0.806,0.232,0.148,0.697,0.406,0.107,44613,69426,20858,33918,11028.0,1846.5
Marblehead-Danvers,11.19507944,6.956299833777334,Marblehead,Danvers,17,42.492438,-70.869187,5,42.582062,-70.931438,1680000.0,Marblehead,710000.0,Danvers,16.2,16.8,3.0,1.4,6.9,85.2,0.0,0.0,3.4,2.3,2.4,9.1,83.6,0.1,0.0,2.6,65.2,55.7,79.1,70.9,45.5,39.3,95.1,95.8,0.8,0.8,Marblehead High School,Danvers High School,20441,28087,0.05,0.051,0.911,0.876,0.105,0.105,123333,89250,69148,44005,4515.5,1995.6
Lynnfield-Swampscott,11.39026344,7.077581548126293,Lynnfield,Swampscott,15,42.539063,-71.033062,21,42.479062,-70.920438,1640000.0,Lynnfield,2910000.0,Swampscott,17.6,16.8,1.9,6.9,5.8,82.2,0.0,0.0,3.2,3.7,2.7,12.1,78.1,0.2,0.0,3.1,67.0,68.8,85.4,77.5,44.0,37.1,97.5,95.7,1.3,0.6,Lynnfield High School,Swampscott High School,13000,15111,0.024,0.025,0.907,0.917,0.078,0.129,128641,113407,63191,56405,1173.4,4560.1
Swampscott-Danvers,11.48849094,7.138617286692019,Swampscott,Danvers,21,42.479062,-70.920438,5,42.582062,-70.931438,2910000.0,Swampscott,710000.0,Danvers,16.8,16.8,3.7,2.7,12.1,78.1,0.2,0.0,3.1,2.3,2.4,9.1,83.6,0.1,0.0,2.6,68.8,55.7,77.5,70.9,37.1,39.3,95.7,95.8,0.6,0.8,Swampscott High School,Danvers High School,15111,28087,0.025,0.051,0.917,0.876,0.129,0.105,113407,89250,56405,44005,4560.1,1995.6
Georgetown-Ipswich,11.75440902,7.303851120504134,Georgetown,Ipswich,7,42.724063,-70.986438,12,42.688563,-70.850938,1050000.0,Georgetown,1440000.0,Ipswich,14.9,15.1,0.8,1.0,2.4,93.7,0.0,0.2,2.0,1.3,1.3,7.1,86.3,0.1,0.0,4.0,87.2,78.6,82.6,69.9,41.1,45.2,95.5,90.8,2.7,4.9,Georgetown High School,Ipswich High School,8470,13785,0.035,0.042,0.932,0.92,0.037,0.065,128466,93212,53243,52393,636.3,410.3
Lynn-Danvers,11.76007724,7.307373189110715,Lynn,Danvers,14,42.476687,-70.943687,5,42.582062,-70.931438,1630000.0,Lynn,710000.0,Danvers,15.4,16.8,8.2,7.5,67.9,13.0,0.3,0.0,3.1,2.3,2.4,9.1,83.6,0.1,0.0,2.6,23.3,55.7,41.1,70.9,27.8,39.3,79.0,95.8,13.7,0.8,Lynn Classical High School + Lynn English High School,Danvers High School,101253,28087,0.428,0.051,0.359,0.876,0.367,0.105,56181,89250,26291,44005,8409.5,1995.6
Amesbury-Newbury,12.07179374,7.5010648416583505,Amesbury,Newbury,1,42.851062,-70.942437,22,42.744187,-70.916438,70000.0,Amesbury,7730000.0,Triton,15.1,16.9,1.9,1.2,9.7,82.6,0.2,0.1,4.3,1.6,2.1,3.9,90.1,0.1,0.1,2.0,58.7,69.0,67.5,67.2,33.3,30.8,87.9,89.5,3.0,3.7,Amesbury High School,Triton Regional High School,17366,6716,0.025,0.03,0.938,0.921,0.043,0.04,82468,101875,42607,57871,1327.8,285.4
Haverhill-Georgetown,12.08555762,7.509617320152967,Haverhill,Georgetown,11,42.787188,-71.106938,7,42.724063,-70.986438,1280000.0,Haverhill,1050000.0,Georgetown,17.2,14.9,5.2,1.8,40.9,49.7,0.2,0.1,2.1,0.8,1.0,2.4,93.7,0.0,0.2,2.0,48.4,87.2,56.9,82.6,28.5,41.1,80.4,95.5,7.7,2.7,Haverhill High School,Georgetown High School,67787,8470,0.232,0.035,0.697,0.932,0.107,0.037,69426,128466,33918,53243,1846.5,636.3
Middleton-Ipswich,12.43097192,7.724247814786984,Middleton,Ipswich,20,42.624813,-70.975813,12,42.688563,-70.850938,7050000.0,Masconomet,1440000.0,Ipswich,15.8,15.1,0.7,3.7,3.1,90.0,0.1,0.2,2.4,1.3,1.3,7.1,86.3,0.1,0.0,4.0,83.5,78.6,88.3,69.9,47.2,45.2,95.9,90.8,1.7,4.9,Masconomet Regional High School,Ipswich High School,9779,13785,0.062,0.042,0.903,0.92,0.085,0.065,125204,93212,52896,52393,667.9,410.3
North Andover-Merrimac,12.45660531,7.740175664835019,North Andover,Merrimac,24,42.700563,-71.116563,18,42.782938,-71.013188,2110000.0,North Andover,7450000.0,Pentucket,18.0,16.3,2.9,7.6,13.5,72.5,0.1,0.1,3.3,0.4,1.2,6.0,89.9,0.1,0.0,2.5,80.0,63.3,83.0,80.2,48.4,40.4,97.3,94.7,0.3,3.2,North Andover High School,Pentucket Regional High School,30915,6723,0.076,0.024,0.811,0.956,0.119,0.033,108070,84609,54939,44616,1077.8,749.3
Beverly-Lynnfield,12.76583762,7.932323713286167,Beverly,Lynnfield,3,42.564813,-70.881187,15,42.539063,-71.033062,300000.0,Beverly,1640000.0,Lynnfield,16.4,17.6,3.5,2.5,14.9,75.0,0.1,0.0,4.0,1.9,6.9,5.8,82.2,0.0,0.0,3.2,56.5,67.0,75.1,85.4,36.9,44.0,91.0,97.5,4.8,1.3,Beverly High School,Lynnfield High School,42670,13000,0.051,0.024,0.885,0.907,0.08,0.078,80586,128641,45803,63191,2617.2,1173.4
Newburyport-Georgetown,12.85209248,7.985919998287651,Newburyport,Georgetown,23,42.813187,-70.886188,7,42.724063,-70.986438,2040000.0,Newburyport,1050000.0,Georgetown,14.0,14.9,0.9,1.9,4.3,90.3,0.0,0.0,2.6,0.8,1.0,2.4,93.7,0.0,0.2,2.0,62.0,87.2,81.5,82.6,43.4,41.1,94.6,95.5,0.5,2.7,Newburyport High School,Georgetown High School,18289,8470,0.028,0.035,0.924,0.932,0.075,0.037,109839,128466,64018,53243,2086.2,636.3
Saugus-Marblehead,13.05104119,8.109540994969315,Saugus,Marblehead,30,42.460813,-71.022437,17,42.492438,-70.869187,2620000.0,Saugus,1680000.0,Marblehead,17.0,16.2,5.4,5.5,22.8,62.5,0.8,0.4,2.6,3.0,1.4,6.9,85.2,0.0,0.0,3.4,50.6,65.2,63.0,79.1,36.3,45.5,87.7,95.1,7.3,0.8,Saugus High School,Marblehead High School,28619,20441,0.086,0.05,0.833,0.911,0.132,0.105,88667,123333,39790,69148,2467.0,4515.5
Marblehead-Manchester,13.05879718,8.114360343705243,Marblehead,Manchester,17,42.492438,-70.869187,16,42.582062,-70.766188,1680000.0,Marblehead,6980000.0,Manchester Essex Regional,16.2,14.8,3.0,1.4,6.9,85.2,0.0,0.0,3.4,0.5,1.2,1.3,96.5,0.0,0.0,0.6,65.2,77.7,79.1,83.0,45.5,40.9,95.1,99.1,0.8,0.0,Marblehead High School,Manchester Essex Regional High School,20441,5395,0.05,0.015,0.911,0.971,0.105,0.078,123333,148854,69148,74989,4515.5,556.5
Georgetown-Lawrence,13.4666378,8.367780755084983,Georgetown,Lawrence,7,42.724063,-70.986438,13,42.691187,-71.145062,1050000.0,Georgetown,1490000.0,Lawrence,14.9,17.9,0.8,1.0,2.4,93.7,0.0,0.2,2.0,1.3,1.2,93.8,3.2,0.0,0.0,0.4,87.2,23.8,82.6,45.7,41.1,19.6,95.5,72.8,2.7,8.8,Georgetown High School,Lawrence High School,8470,89143,0.035,0.806,0.932,0.148,0.037,0.406,128466,44613,53243,20858,636.3,11028.0
Danvers-Manchester,13.52964684,8.406932757250539,Danvers,Manchester,5,42.582062,-70.931438,16,42.582062,-70.766188,710000.0,Danvers,6980000.0,Manchester Essex Regional,16.8,14.8,2.3,2.4,9.1,83.6,0.1,0.0,2.6,0.5,1.2,1.3,96.5,0.0,0.0,0.6,55.7,77.7,70.9,83.0,39.3,40.9,95.8,99.1,0.8,0.0,Danvers High School,Manchester Essex Regional High School,28087,5395,0.051,0.015,0.876,0.971,0.105,0.078,89250,148854,44005,74989,1995.6,556.5
Ipswich-Danvers,13.55015496,8.419675912179603,Ipswich,Danvers,12,42.688563,-70.850938,5,42.582062,-70.931438,1440000.0,Ipswich,710000.0,Danvers,15.1,16.8,1.3,1.3,7.1,86.3,0.1,0.0,4.0,2.3,2.4,9.1,83.6,0.1,0.0,2.6,78.6,55.7,69.9,70.9,45.2,39.3,90.8,95.8,4.9,0.8,Ipswich High School,Danvers High School,13785,28087,0.042,0.051,0.92,0.876,0.065,0.105,93212,89250,52393,44005,410.3,1995.6
Ipswich-Manchester,13.72248078,8.526754212020727,Ipswich,Manchester,12,42.688563,-70.850938,16,42.582062,-70.766188,1440000.0,Ipswich,6980000.0,Manchester Essex Regional,15.1,14.8,1.3,1.3,7.1,86.3,0.1,0.0,4.0,0.5,1.2,1.3,96.5,0.0,0.0,0.6,78.6,77.7,69.9,83.0,45.2,40.9,90.8,99.1,4.9,0.0,Ipswich High School,Manchester Essex Regional High School,13785,5395,0.042,0.015,0.92,0.971,0.065,0.078,93212,148854,52393,74989,410.3,556.5
Hamilton-Peabody,13.94780748,8.6667657317385,Hamilton,Peabody,10,42.628687,-70.847813,25,42.544562,-70.974187,6750000.0,Hamilton-Wenham,2290000.0,Peabody,11.8,16.4,0.5,3.7,5.2,87.8,0.0,0.2,2.7,3.8,2.1,19.4,72.5,0.2,0.0,2.0,62.1,56.5,81.5,60.9,57.1,37.7,97.2,88.0,0.7,5.9,Hamilton-Wenham Regional High School,Peabody Veterans Memorial High School,7561,54481,0.015,0.099,0.91,0.827,0.096,0.154,127813,73217,49347,40095,547.4,3161.4
Ipswich-Beverly,13.98115183,8.687484950177778,Ipswich,Beverly,12,42.688563,-70.850938,3,42.564813,-70.881187,1440000.0,Ipswich,300000.0,Beverly,15.1,16.4,1.3,1.3,7.1,86.3,0.1,0.0,4.0,3.5,2.5,14.9,75.0,0.1,0.0,4.0,78.6,56.5,69.9,75.1,45.2,36.9,90.8,91.0,4.9,4.8,Ipswich High School,Beverly High School,13785,42670,0.042,0.051,0.92,0.885,0.065,0.08,93212,80586,52393,45803,410.3,2617.2
Hamilton-Newbury,14.01448615,8.708197936264018,Hamilton,Newbury,33,42.628687,-70.847813,22,42.744187,-70.916438,6750000.0,Hamilton-Wenham,7730000.0,Triton,11.8,16.9,0.5,3.7,5.2,87.8,0.0,0.2,2.7,1.6,2.1,3.9,90.1,0.1,0.1,2.0,62.1,69.0,81.5,67.2,57.1,30.8,97.2,89.5,0.7,3.7,Hamilton-Wenham Regional High School,Triton Regional High School,7561,6716,0.015,0.03,0.91,0.921,0.096,0.04,127813,101875,49347,57871,547.4,285.4
Methuen-Groveland,14.06926427,8.742235481874381,Methuen,Groveland,19,42.733063,-71.171563,9,42.782938,-71.013188,1810000.0,Methuen,7450000.0,Pentucket,18.3,16.3,3.8,3.7,46.0,42.6,0.1,0.1,3.9,0.4,1.2,6.0,89.9,0.1,0.0,2.5,46.2,63.3,60.0,80.2,29.0,40.4,93.2,94.7,2.7,3.2,Methuen High School,Pentucket Regional High School,53059,6752,0.295,0.032,0.609,0.959,0.223,0.025,77484,103125,35387,44709,2124.0,727.1
Rowley-Topsfield,14.13320392,8.781965738283064,Rowley,Topsfield,27,42.744187,-70.916438,32,42.624813,-70.975813,7730000.0,Triton,7050000.0,Masconomet,16.9,15.8,1.6,2.1,3.9,90.1,0.1,0.1,2.0,0.7,3.7,3.1,90.0,0.1,0.2,2.4,69.0,83.5,67.2,88.3,30.8,47.2,89.5,95.9,3.7,1.7,Triton Regional High School,Masconomet Regional High School,6161,6569,0.008,0.017,0.954,0.948,0.033,0.077,115909,136863,54885,53853,321.6,510.4
Hamilton-Gloucester,14.14487901,8.789220302849722,Hamilton,Gloucester,33,42.628687,-70.847813,8,42.613438,-70.676187,6750000.0,Hamilton-Wenham,1070000.0,Gloucester,11.8,13.1,0.5,3.7,5.2,87.8,0.0,0.2,2.7,1.8,1.2,12.9,79.7,0.3,0.3,3.8,62.1,55.0,81.5,49.2,57.1,39.1,97.2,83.7,0.7,5.8,Hamilton-Wenham Regional High School,Gloucester High School,7561,29729,0.015,0.024,0.91,0.919,0.096,0.086,127813,72574,49347,43321,547.4,1099.0
Ipswich-Newburyport,14.15330502,8.794455982710373,Ipswich,Newburyport,12,42.688563,-70.850938,23,42.813187,-70.886188,1440000.0,Ipswich,2040000.0,Newburyport,15.1,14.0,1.3,1.3,7.1,86.3,0.1,0.0,4.0,0.9,1.9,4.3,90.3,0.0,0.0,2.6,78.6,62.0,69.9,81.5,45.2,43.4,90.8,94.6,4.9,0.5,Ipswich High School,Newburyport High School,13785,18289,0.042,0.028,0.92,0.924,0.065,0.075,93212,109839,52393,64018,410.3,2086.2
Middleton-Salem,14.18844708,8.816292246351624,Middleton,Salem,20,42.624813,-70.975813,28,42.506312,-70.911563,7050000.0,Masconomet,2580000.0,Salem,15.8,13.5,0.7,3.7,3.1,90.0,0.1,0.2,2.4,6.6,2.6,43.9,42.4,0.0,0.0,4.5,83.5,56.1,88.3,50.2,47.2,27.3,95.9,73.9,1.7,10.9,Masconomet Regional High School,Salem High School,9779,44480,0.062,0.178,0.903,0.718,0.085,0.146,125204,68808,52896,38400,667.9,4992.9
Middleton-North Andover,14.26184386,8.861898890882394,Middleton,North Andover,20,42.624813,-70.975813,24,42.700563,-71.116563,7050000.0,Masconomet,2110000.0,North Andover,15.8,18.0,0.7,3.7,3.1,90.0,0.1,0.2,2.4,2.9,7.6,13.5,72.5,0.1,0.1,3.3,83.5,80.0,88.3,83.0,47.2,48.4,95.9,97.3,1.7,0.3,Masconomet Regional High School,North Andover High School,9779,30915,0.062,0.076,0.903,0.811,0.085,0.119,125204,108070,52896,54939,667.9,1077.8
Lynnfield-Marblehead,14.39719731,8.946003625179499,Lynnfield,Marblehead,15,42.539063,-71.033062,17,42.492438,-70.869187,1640000.0,Lynnfield,1680000.0,Marblehead,17.6,16.2,1.9,6.9,5.8,82.2,0.0,0.0,3.2,3.0,1.4,6.9,85.2,0.0,0.0,3.4,67.0,65.2,85.4,79.1,44.0,45.5,97.5,95.1,1.3,0.8,Lynnfield High School,Marblehead High School,13000,20441,0.024,0.05,0.907,0.911,0.078,0.105,128641,123333,63191,69148,1173.4,4515.5
Georgetown-Amesbury,14.57098034,9.053987393332404,Georgetown,Amesbury,7,42.724063,-70.986438,1,42.851062,-70.942437,1050000.0,Georgetown,70000.0,Amesbury,14.9,15.1,0.8,1.0,2.4,93.7,0.0,0.2,2.0,1.9,1.2,9.7,82.6,0.2,0.1,4.3,87.2,58.7,82.6,67.5,41.1,33.3,95.5,87.9,2.7,3.0,Georgetown High School,Amesbury High School,8470,17366,0.035,0.025,0.932,0.938,0.037,0.043,128466,82468,53243,42607,636.3,1327.8
Salem-Hamilton,14.57459772,9.056235129047684,Salem,Hamilton,28,42.506312,-70.911563,33,42.628687,-70.847813,2580000.0,Salem,6750000.0,Hamilton-Wenham,13.5,11.8,6.6,2.6,43.9,42.4,0.0,0.0,4.5,0.5,3.7,5.2,87.8,0.0,0.2,2.7,56.1,62.1,50.2,81.5,27.3,57.1,73.9,97.2,10.9,0.7,Salem High School,Hamilton-Wenham Regional High School,44480,7561,0.178,0.015,0.718,0.91,0.146,0.096,68808,127813,38400,49347,4992.9,547.4
Manchester-Salem,14.58720272,9.064067512897635,Manchester,Salem,16,42.582062,-70.766188,28,42.506312,-70.911563,6980000.0,Manchester Essex Regional,2580000.0,Salem,14.8,13.5,0.5,1.2,1.3,96.5,0.0,0.0,0.6,6.6,2.6,43.9,42.4,0.0,0.0,4.5,77.7,56.1,83.0,50.2,40.9,27.3,99.1,73.9,0.0,10.9,Manchester Essex Regional High School,Salem High School,5395,44480,0.015,0.178,0.971,0.718,0.078,0.146,148854,68808,74989,38400,556.5,4992.9
Groveland-Lawrence,14.8351531,9.218136735579188,Groveland,Lawrence,9,42.782938,-71.013188,13,42.691187,-71.145062,7450000.0,Pentucket,1490000.0,Lawrence,16.3,17.9,0.4,1.2,6.0,89.9,0.1,0.0,2.5,1.3,1.2,93.8,3.2,0.0,0.0,0.4,63.3,23.8,80.2,45.7,40.4,19.6,94.7,72.8,3.2,8.8,Pentucket Regional High School,Lawrence High School,6752,89143,0.032,0.806,0.959,0.148,0.025,0.406,103125,44613,44709,20858,727.1,11028.0
Andover-Haverhill,14.98856426,9.313462010627669,Andover,Haverhill,2,42.657187,-71.155438,11,42.787188,-71.106938,90000.0,Andover,1280000.0,Haverhill,12.3,17.2,2.7,19.0,7.9,66.5,0.1,0.1,3.7,5.2,1.8,40.9,49.7,0.2,0.1,2.1,74.4,48.4,81.1,56.9,52.4,28.5,95.2,80.4,0.9,7.7,Andover High School,Haverhill High School,9735,67787,0.025,0.232,0.847,0.697,0.135,0.107,95600,69426,55457,33918,2376.6,1846.5
Manchester-Rockport,15.00201775,9.32182162171862,Manchester,Rockport,6,42.582062,-70.766188,26,42.652187,-70.609562,6980000.0,Manchester Essex Regional,2520000.0,Rockport,14.8,14.7,0.5,1.2,1.3,96.5,0.0,0.0,0.6,0.7,1.8,3.6,90.4,0.0,0.1,3.4,77.7,38.8,83.0,66.7,40.9,48.0,99.1,94.9,0.0,1.3,Manchester Essex Regional High School,Rockport High School,5395,6992,0.015,0.007,0.971,0.965,0.078,0.029,148854,85208,74989,51122,556.5,994.4
Andover-Boxford,15.12723827,9.39963004524344,Andover,Boxford,2,42.657187,-71.155438,4,42.624813,-70.975813,90000.0,Andover,7050000.0,Masconomet,12.3,15.8,2.7,19.0,7.9,66.5,0.1,0.1,3.7,0.7,3.7,3.1,90.0,0.1,0.2,2.4,74.4,83.5,81.1,88.3,52.4,47.2,95.2,95.9,0.9,1.7,Andover High School,Masconomet Regional High School,9735,8203,0.025,0.024,0.847,0.935,0.135,0.046,95600,184007,55457,79705,2376.6,338.1
Methuen-Georgetown,15.15430373,9.416447742331538,Methuen,Georgetown,19,42.733063,-71.171563,7,42.724063,-70.986438,1810000.0,Methuen,1050000.0,Georgetown,18.3,14.9,3.8,3.7,46.0,42.6,0.1,0.1,3.9,0.8,1.0,2.4,93.7,0.0,0.2,2.0,46.2,87.2,60.0,82.6,29.0,41.1,93.2,95.5,2.7,2.7,Methuen High School,Georgetown High School,53059,8470,0.295,0.035,0.609,0.932,0.223,0.037,77484,128466,35387,53243,2124.0,636.3
Haverhill-Amesbury,15.18093465,9.432995428782732,Haverhill,Amesbury,11,42.787188,-71.106938,1,42.851062,-70.942437,1280000.0,Haverhill,70000.0,Amesbury,17.2,15.1,5.2,1.8,40.9,49.7,0.2,0.1,2.1,1.9,1.2,9.7,82.6,0.2,0.1,4.3,48.4,58.7,56.9,67.5,28.5,33.3,80.4,87.9,7.7,3.0,Haverhill High School,Amesbury High School,67787,17366,0.232,0.025,0.697,0.938,0.107,0.043,69426,82468,33918,42607,1846.5,1327.8
Hamilton-Marblehead,15.25099969,9.476531826064932,Hamilton,Marblehead,33,42.628687,-70.847813,17,42.492438,-70.869187,6750000.0,Hamilton-Wenham,1680000.0,Marblehead,11.8,16.2,0.5,3.7,5.2,87.8,0.0,0.2,2.7,3.0,1.4,6.9,85.2,0.0,0.0,3.4,62.1,65.2,81.5,79.1,57.1,45.5,97.2,95.1,0.7,0.8,Hamilton-Wenham Regional High School,Marblehead High School,7561,20441,0.015,0.05,0.91,0.911,0.096,0.105,127813,123333,49347,69148,547.4,4515.5
Saugus-Danvers,15.40741896,9.57372625400376,Saugus,Danvers,30,42.460813,-71.022437,5,42.582062,-70.931438,2620000.0,Saugus,710000.0,Danvers,17.0,16.8,5.4,5.5,22.8,62.5,0.8,0.4,2.6,2.3,2.4,9.1,83.6,0.1,0.0,2.6,50.6,55.7,63.0,70.9,36.3,39.3,87.7,95.8,7.3,0.8,Saugus High School,Danvers High School,28619,28087,0.086,0.051,0.833,0.876,0.132,0.105,88667,89250,39790,44005,2467.0,1995.6
