school_to_school,origin,distance_mi,median_household_income_x,median_household_income_y
Lynnfield-Hamilton,0,11.276499284588269,128641,127813
Andover-Groveland,0,11.297377400068251,95600,103125
Newburyport-Haverhill,0,11.334324255299892,109839,69426
Saugus-Boxford,0,11.577205900611634,88667,184007
Lynn-Hamilton,0,11.58051109203177,56181,127813
Lynn-Manchester,0,11.605556675732252,56181,148854
Ipswich-Peabody,0,11.758579459620153,93212,73217
Lynnfield-North Andover,0,11.938911532163392,128641,108070
Lynnfield-Lawrence,0,11.95438781934023,128641,44613
Andover-Peabody,0,12.063527257128282,95600,73217
Ipswich-Amesbury,0,12.148935466625495,93212,82468
Lawrence-Rowley,0,12.169708775426864,44613,115909
Hamilton-Rockport,0,12.217801923766386,127813,85208
Beverly-Georgetown,0,12.234465974400331,80586,128466
Georgetown-Peabody,0,12.41794498133533,128466,73217
Methuen-Topsfield,0,12.442101289657243,77484,136863
North Andover-Danvers,0,12.472701117800066,108070,89250
Andover-Danvers,0,12.515988078045464,95600,89250
Rockport-Ipswich,0,12.51727943650737,85208,93212
Newbury-Beverly,0,12.52232559194136,101875,80586
Newburyport-Hamilton,0,12.895687904682754,109839,127813
Gloucester-Marblehead,0,12.899264511038684,72574,123333
Ipswich-Salem,0,12.964355516829128,93212,68808
Newbury-Methuen,0,12.969386349249572,101875,77484
Peabody-North Andover,0,12.983646178047747,73217,108070
Lynnfield-Georgetown,0,13.00013446141318,128641,128466
Middleton-Haverhill,0,13.045684163488096,125204,69426
Gloucester-Danvers,0,13.162132013870128,72574,89250
Danvers-Lawrence,0,13.219430987655702,89250,44613
Lawrence-Peabody,0,13.34602148618582,44613,73217
Ipswich-North Andover,0,13.514457314090834,93212,108070
Rowley-Andover,0,13.542872599968398,115909,95600
Newbury-Manchester,0,13.555635495860168,101875,148854
Hamilton-Groveland,0,13.56794630071523,127813,103125
Ipswich-Marblehead,0,13.58268546146308,93212,123333
Amesbury-North Andover,0,13.642329098655866,82468,108070
Boxford-Newburyport,0,13.787627617280872,184007,109839
Ipswich-Lynnfield,0,13.8728960493289,93212,128641
Manchester-Lynnfield,0,13.902776957218602,148854,128641
Newburyport-North Andover,0,14.04076001068662,109839,108070
Salem-Gloucester,0,14.081055789442749,68808,72574
Peabody-Newbury,0,14.101567271065784,73217,101875
