town_low,town_high,distance_mi,rank,category,white_pct,school_to_school
Gloucester,Hamilton,0.0,81,white_pct_low,79.7,Gloucester-Hamilton
Ipswich,Newburyport,0.0,82,white_pct_low,86.3,Ipswich-Newburyport
Salem,Middleton,0.0,83,white_pct_low,42.4,Salem-Middleton
North Andover,Middleton,0.0,84,white_pct_low,72.5,North Andover-Middleton
Lynnfield,Marblehead,0.0,85,white_pct_low,82.2,Lynnfield-Marblehead
Amesbury,Georgetown,0.0,86,white_pct_low,82.6,Amesbury-Georgetown
Salem,Hamilton,0.0,87,white_pct_low,42.4,Salem-Hamilton
Salem,Manchester,0.0,88,white_pct_low,42.4,Salem-Manchester
Lawrence,Groveland,0.0,89,white_pct_low,3.2,Lawrence-Groveland
Haverhill,Andover,0.0,90,white_pct_low,49.7,Haverhill-Andover
Rockport,Manchester,0.0,91,white_pct_low,90.4,Rockport-Manchester
Andover,Boxford,0.0,92,white_pct_low,66.5,Andover-Boxford
Methuen,Georgetown,0.0,93,white_pct_low,42.6,Methuen-Georgetown
Haverhill,Amesbury,0.0,94,white_pct_low,49.7,Haverhill-Amesbury
Marblehead,Hamilton,0.0,95,white_pct_low,85.2,Marblehead-Hamilton
Saugus,Danvers,0.0,96,white_pct_low,62.5,Saugus-Danvers
Hamilton,Georgetown,0.0,97,white_pct_low,87.8,Hamilton-Georgetown
Lawrence,Middleton,0.0,98,white_pct_low,3.2,Lawrence-Middleton
Andover,Georgetown,0.0,99,white_pct_low,66.5,Andover-Georgetown
Haverhill,Salisbury,0.0,100,white_pct_low,49.7,Haverhill-Salisbury
Saugus,Beverly,0.0,101,white_pct_low,62.5,Saugus-Beverly
Danvers,Georgetown,0.0,102,white_pct_low,83.6,Danvers-Georgetown
Andover,Lynnfield,0.0,103,white_pct_low,66.5,Andover-Lynnfield
Gloucester,Ipswich,0.0,104,white_pct_low,79.7,Gloucester-Ipswich
Lynn,Boxford,0.0,105,white_pct_low,13.0,Lynn-Boxford
Swampscott,Topsfield,0.0,106,white_pct_low,78.1,Swampscott-Topsfield
Ipswich,Groveland,0.0,107,white_pct_low,86.3,Ipswich-Groveland
North Andover,Rowley,0.0,108,white_pct_low,72.5,North Andover-Rowley
Swampscott,Manchester,0.0,109,white_pct_low,78.1,Swampscott-Manchester
