town_low,town_high,distance_mi,rank,category,white_pct,school_to_school
Peabody,Marblehead,6.446932447408488,49,white_pct_high,85.2,Peabody-Marblehead
Salem,Saugus,6.465266029224285,50,white_pct_high,62.5,Salem-Saugus
Hamilton,Middleton,6.512709111452249,51,white_pct_high,90.0,Hamilton-Middleton
Salem,Lynnfield,6.587860172732203,52,white_pct_high,82.2,Salem-Lynnfield
Lynnfield,Boxford,6.601916701304433,53,white_pct_high,90.0,Lynnfield-Boxford
Merrimac,Newburyport,6.769292675011802,54,white_pct_high,90.3,Merrimac-Newburyport
North Andover,Georgetown,6.802750263821978,55,white_pct_high,93.7,North Andover-Georgetown
Lynn,Beverly,6.870577048901468,56,white_pct_high,75.0,Lynn-Beverly
Boxford,Georgetown,6.878720081064147,57,white_pct_high,93.7,Boxford-Georgetown
Lawrence,Haverhill,6.909402253317068,58,white_pct_high,49.7,Lawrence-Haverhill
Danvers,Marblehead,6.956299833777334,59,white_pct_high,85.2,Danvers-Marblehead
Swampscott,Lynnfield,7.077581548126293,60,white_pct_high,82.2,Swampscott-Lynnfield
Swampscott,Danvers,7.138617286692019,61,white_pct_high,83.6,Swampscott-Danvers
Ipswich,Georgetown,7.303851120504134,62,white_pct_high,93.7,Ipswich-Georgetown
Lynn,Danvers,7.307373189110715,63,white_pct_high,83.6,Lynn-Danvers
Amesbury,Newbury,7.5010648416583505,64,white_pct_high,90.1,Amesbury-Newbury
Haverhill,Georgetown,7.509617320152967,65,white_pct_high,93.7,Haverhill-Georgetown
Ipswich,Middleton,7.724247814786984,66,white_pct_high,90.0,Ipswich-Middleton
North Andover,Merrimac,7.740175664835019,67,white_pct_high,89.9,North Andover-Merrimac
Beverly,Lynnfield,7.932323713286167,68,white_pct_high,82.2,Beverly-Lynnfield
Newburyport,Georgetown,7.985919998287651,69,white_pct_high,93.7,Newburyport-Georgetown
Saugus,Marblehead,8.109540994969315,70,white_pct_high,85.2,Saugus-Marblehead
Marblehead,Manchester,8.114360343705243,71,white_pct_high,96.5,Marblehead-Manchester
Lawrence,Georgetown,8.367780755084983,72,white_pct_high,93.7,Lawrence-Georgetown
Danvers,Manchester,8.406932757250539,73,white_pct_high,96.5,Danvers-Manchester
Danvers,Ipswich,8.419675912179603,74,white_pct_high,86.3,Danvers-Ipswich
Ipswich,Manchester,8.526754212020727,75,white_pct_high,96.5,Ipswich-Manchester
Peabody,Hamilton,8.6667657317385,76,white_pct_high,87.8,Peabody-Hamilton
Beverly,Ipswich,8.687484950177778,77,white_pct_high,86.3,Beverly-Ipswich
Hamilton,Newbury,8.708197936264018,78,white_pct_high,90.1,Hamilton-Newbury
Methuen,Groveland,8.742235481874381,79,white_pct_high,89.9,Methuen-Groveland
Topsfield,Rowley,8.781965738283064,80,white_pct_high,90.1,Topsfield-Rowley
Gloucester,Hamilton,8.789220302849722,81,white_pct_high,87.8,Gloucester-Hamilton
Ipswich,Newburyport,8.794455982710373,82,white_pct_high,90.3,Ipswich-Newburyport
Salem,Middleton,8.816292246351624,83,white_pct_high,90.0,Salem-Middleton
North Andover,Middleton,8.861898890882394,84,white_pct_high,90.0,North Andover-Middleton
Lynnfield,Marblehead,8.946003625179499,85,white_pct_high,85.2,Lynnfield-Marblehead
Amesbury,Georgetown,9.053987393332404,86,white_pct_high,93.7,Amesbury-Georgetown
Salem,Hamilton,9.056235129047684,87,white_pct_high,87.8,Salem-Hamilton
Salem,Manchester,9.064067512897635,88,white_pct_high,96.5,Salem-Manchester
Lawrence,Groveland,9.218136735579188,89,white_pct_high,89.9,Lawrence-Groveland
Haverhill,Andover,9.313462010627669,90,white_pct_high,66.5,Haverhill-Andover
Rockport,Manchester,9.32182162171862,91,white_pct_high,96.5,Rockport-Manchester
Andover,Boxford,9.39963004524344,92,white_pct_high,90.0,Andover-Boxford
Methuen,Georgetown,9.416447742331538,93,white_pct_high,93.7,Methuen-Georgetown
Haverhill,Amesbury,9.432995428782732,94,white_pct_high,82.6,Haverhill-Amesbury
Marblehead,Hamilton,9.476531826064932,95,white_pct_high,87.8,Marblehead-Hamilton
Saugus,Danvers,9.57372625400376,96,white_pct_high,83.6,Saugus-Danvers
Hamilton,Georgetown,9.644274943153622,97,white_pct_high,93.7,Hamilton-Georgetown
Lawrence,Middleton,9.746248479830118,98,white_pct_high,90.0,Lawrence-Middleton
Andover,Georgetown,9.747505053932809,99,white_pct_high,93.7,Andover-Georgetown
Haverhill,Salisbury,10.109357689480698,100,white_pct_high,90.1,Haverhill-Salisbury
Saugus,Beverly,10.167938912426532,101,white_pct_high,75.0,Saugus-Beverly
Danvers,Georgetown,10.201636133036132,102,white_pct_high,93.7,Danvers-Georgetown
Andover,Lynnfield,10.264085646401904,103,white_pct_high,82.2,Andover-Lynnfield
Gloucester,Ipswich,10.286158546833445,104,white_pct_high,86.3,Gloucester-Ipswich
Lynn,Boxford,10.36432465025636,105,white_pct_high,90.0,Lynn-Boxford
Swampscott,Topsfield,10.457407210268777,106,white_pct_high,90.0,Swampscott-Topsfield
Ipswich,Groveland,10.50318592490948,107,white_pct_high,89.9,Ipswich-Groveland
North Andover,Rowley,10.595961011815945,108,white_pct_high,90.1,North Andover-Rowley
Swampscott,Manchester,10.59850211551116,109,white_pct_high,96.5,Swampscott-Manchester
Marblehead,Topsfield,10.634881963318213,110,white_pct_high,90.0,Marblehead-Topsfield
Peabody,Manchester,10.89742855278487,111,white_pct_high,96.5,Peabody-Manchester
Beverly,Gloucester,10.9558361024831,112,white_pct_high,79.7,Beverly-Gloucester
Swampscott,Hamilton,10.979043471364784,113,white_pct_high,87.8,Swampscott-Hamilton
Boxford,Manchester,11.062451325444878,114,white_pct_high,96.5,Boxford-Manchester
Merrimac,Middleton,11.088968260199872,115,white_pct_high,90.0,Merrimac-Middleton
Danvers,Newbury,11.227650685583374,116,white_pct_high,90.1,Danvers-Newbury
Lynnfield,Hamilton,11.276499284588269,117,white_pct_high,87.8,Lynnfield-Hamilton
Andover,Groveland,11.297377400068251,118,white_pct_high,89.9,Andover-Groveland
Haverhill,Newburyport,11.334324255299892,119,white_pct_high,90.3,Haverhill-Newburyport
Saugus,Boxford,11.577205900611634,120,white_pct_high,90.0,Saugus-Boxford
Lynn,Hamilton,11.58051109203177,121,white_pct_high,87.8,Lynn-Hamilton
Lynn,Manchester,11.605556675732252,122,white_pct_high,96.5,Lynn-Manchester
Peabody,Ipswich,11.758579459620153,123,white_pct_high,86.3,Peabody-Ipswich
North Andover,Lynnfield,11.938911532163392,124,white_pct_high,82.2,North Andover-Lynnfield
Lawrence,Lynnfield,11.95438781934023,125,white_pct_high,82.2,Lawrence-Lynnfield
Andover,Peabody,12.063527257128282,126,white_pct_high,72.5,Andover-Peabody
Amesbury,Ipswich,12.148935466625495,127,white_pct_high,86.3,Amesbury-Ipswich
Lawrence,Rowley,12.169708775426864,128,white_pct_high,90.1,Lawrence-Rowley
Hamilton,Rockport,12.217801923766386,129,white_pct_high,90.4,Hamilton-Rockport
Beverly,Georgetown,12.234465974400331,130,white_pct_high,93.7,Beverly-Georgetown
Peabody,Georgetown,12.41794498133533,131,white_pct_high,93.7,Peabody-Georgetown
Methuen,Topsfield,12.442101289657243,132,white_pct_high,90.0,Methuen-Topsfield
North Andover,Danvers,12.472701117800066,133,white_pct_high,83.6,North Andover-Danvers
Andover,Danvers,12.515988078045464,134,white_pct_high,83.6,Andover-Danvers
Ipswich,Rockport,12.51727943650737,135,white_pct_high,90.4,Ipswich-Rockport
Beverly,Newbury,12.52232559194136,136,white_pct_high,90.1,Beverly-Newbury
Hamilton,Newburyport,12.895687904682754,137,white_pct_high,90.3,Hamilton-Newburyport
Gloucester,Marblehead,12.899264511038684,138,white_pct_high,85.2,Gloucester-Marblehead
Salem,Ipswich,12.964355516829128,139,white_pct_high,86.3,Salem-Ipswich
Methuen,Newbury,12.969386349249572,140,white_pct_high,90.1,Methuen-Newbury
Peabody,North Andover,12.983646178047747,141,white_pct_high,72.5,Peabody-North Andover
Lynnfield,Georgetown,13.00013446141318,142,white_pct_high,93.7,Lynnfield-Georgetown
Haverhill,Middleton,13.045684163488096,143,white_pct_high,90.0,Haverhill-Middleton
Gloucester,Danvers,13.162132013870128,144,white_pct_high,83.6,Gloucester-Danvers
Lawrence,Danvers,13.219430987655702,145,white_pct_high,83.6,Lawrence-Danvers
Lawrence,Peabody,13.34602148618582,146,white_pct_high,72.5,Lawrence-Peabody
North Andover,Ipswich,13.514457314090834,147,white_pct_high,86.3,North Andover-Ipswich
Andover,Rowley,13.542872599968398,148,white_pct_high,90.1,Andover-Rowley
Newbury,Manchester,13.555635495860168,149,white_pct_high,96.5,Newbury-Manchester
Hamilton,Groveland,13.56794630071523,150,white_pct_high,89.9,Hamilton-Groveland
Marblehead,Ipswich,13.58268546146308,151,white_pct_high,86.3,Marblehead-Ipswich
North Andover,Amesbury,13.642329098655866,152,white_pct_high,82.6,North Andover-Amesbury
Boxford,Newburyport,13.787627617280872,153,white_pct_high,90.3,Boxford-Newburyport
Lynnfield,Ipswich,13.8728960493289,154,white_pct_high,86.3,Lynnfield-Ipswich
Lynnfield,Manchester,13.902776957218602,155,white_pct_high,96.5,Lynnfield-Manchester
North Andover,Newburyport,14.04076001068662,156,white_pct_high,90.3,North Andover-Newburyport
Salem,Gloucester,14.081055789442749,157,white_pct_high,79.7,Salem-Gloucester
Peabody,Newbury,14.101567271065784,158,white_pct_high,90.1,Peabody-Newbury
Methuen,Amesbury,14.19260795563816,159,white_pct_high,82.6,Methuen-Amesbury
Danvers,Merrimac,14.486994630142885,160,white_pct_high,89.9,Danvers-Merrimac
North Andover,Hamilton,14.529339262337508,161,white_pct_high,87.8,North Andover-Hamilton
Saugus,Hamilton,14.6134452953004,162,white_pct_high,87.8,Saugus-Hamilton
Haverhill,Ipswich,14.669865718574146,163,white_pct_high,86.3,Haverhill-Ipswich
Georgetown,Manchester,14.883813332484069,164,white_pct_high,96.5,Georgetown-Manchester
Swampscott,Ipswich,14.900666267532348,165,white_pct_high,86.3,Swampscott-Ipswich
Lawrence,Ipswich,14.938465774524616,166,white_pct_high,86.3,Lawrence-Ipswich
Beverly,Rockport,15.074415061446627,167,white_pct_high,90.4,Beverly-Rockport
Lawrence,Amesbury,15.087670934599409,168,white_pct_high,82.6,Lawrence-Amesbury
Methuen,Lynnfield,15.14039062640831,169,white_pct_high,82.2,Methuen-Lynnfield
Saugus,Andover,15.162806374607642,170,white_pct_high,66.5,Saugus-Andover
Gloucester,Salisbury,15.183458969627928,171,white_pct_high,90.1,Gloucester-Salisbury
North Andover,Beverly,15.202946214049929,172,white_pct_high,75.0,North Andover-Beverly
Gloucester,Boxford,15.254370502270476,173,white_pct_high,90.0,Gloucester-Boxford
Andover,Beverly,15.336875510225218,174,white_pct_high,75.0,Andover-Beverly
Lynnfield,Rowley,15.362293556244408,175,white_pct_high,90.1,Lynnfield-Rowley
Lynn,Ipswich,15.380850893825723,176,white_pct_high,86.3,Lynn-Ipswich
Methuen,Newburyport,15.49621321495254,177,white_pct_high,90.3,Methuen-Newburyport
Saugus,Manchester,15.506799112025297,178,white_pct_high,96.5,Saugus-Manchester
Swampscott,Gloucester,15.517247717133625,179,white_pct_high,79.7,Swampscott-Gloucester
Salem,Georgetown,15.519365983947756,180,white_pct_high,93.7,Salem-Georgetown
Lawrence,Newburyport,15.606260090799044,181,white_pct_high,90.3,Lawrence-Newburyport
Andover,Ipswich,15.619722899199228,182,white_pct_high,86.3,Andover-Ipswich
Lawrence,Hamilton,15.70856348237175,183,white_pct_high,87.8,Lawrence-Hamilton
Amesbury,Middleton,15.72378249702108,184,white_pct_high,90.0,Amesbury-Middleton
Andover,Hamilton,15.758343218532286,185,white_pct_high,87.8,Andover-Hamilton
Peabody,Gloucester,15.890522696154266,186,white_pct_high,79.7,Peabody-Gloucester
Lawrence,Beverly,16.00590447862675,187,white_pct_high,75.0,Lawrence-Beverly
Methuen,Danvers,16.053745356476842,188,white_pct_high,83.6,Methuen-Danvers
Amesbury,Hamilton,16.097453923288366,189,white_pct_high,87.8,Amesbury-Hamilton
Danvers,Newburyport,16.133658382863327,190,white_pct_high,90.3,Danvers-Newburyport
Salem,Andover,16.204989390768823,191,white_pct_high,66.5,Salem-Andover
Salem,Newbury,16.43744294243522,192,white_pct_high,90.1,Salem-Newbury
Methuen,Peabody,16.439975632764526,193,white_pct_high,72.5,Methuen-Peabody
Lynn,Andover,16.481500340819096,194,white_pct_high,66.5,Lynn-Andover
Beverly,Groveland,16.495403844308367,195,white_pct_high,89.9,Beverly-Groveland
Methuen,Ipswich,16.565586663887842,196,white_pct_high,86.3,Methuen-Ipswich
Lynn,Gloucester,16.5739121803416,197,white_pct_high,79.7,Lynn-Gloucester
Peabody,Groveland,16.58896113190994,198,white_pct_high,89.9,Peabody-Groveland
Haverhill,Danvers,16.742845521517314,199,white_pct_high,83.6,Haverhill-Danvers
Newbury,Rockport,16.829522160879524,200,white_pct_high,90.4,Newbury-Rockport
Lynnfield,Groveland,16.880364255363606,201,white_pct_high,89.9,Lynnfield-Groveland
Salem,North Andover,16.994939653374267,202,white_pct_high,72.5,Salem-North Andover
Danvers,Rockport,17.068055413321378,203,white_pct_high,90.4,Danvers-Rockport
Marblehead,Georgetown,17.078385759064822,204,white_pct_high,93.7,Marblehead-Georgetown
Newburyport,Manchester,17.092291070744253,205,white_pct_high,96.5,Newburyport-Manchester
Lawrence,Saugus,17.09637317499067,206,white_pct_high,62.5,Lawrence-Saugus
Haverhill,Hamilton,17.117663719384304,207,white_pct_high,87.8,Haverhill-Hamilton
Andover,Swampscott,17.159933115955244,208,white_pct_high,78.1,Andover-Swampscott
Beverly,Newburyport,17.162864608528,209,white_pct_high,90.3,Beverly-Newburyport
Andover,Amesbury,17.210854155649013,210,white_pct_high,82.6,Andover-Amesbury
Marblehead,Rockport,17.214476041323557,211,white_pct_high,90.4,Marblehead-Rockport
Lynn,Georgetown,17.229769197983277,212,white_pct_high,93.7,Lynn-Georgetown
Saugus,North Andover,17.24339387979217,213,white_pct_high,72.5,Saugus-North Andover
Swampscott,Georgetown,17.25751644148076,214,white_pct_high,93.7,Swampscott-Georgetown
Andover,Newburyport,17.403607755179664,215,white_pct_high,90.3,Andover-Newburyport
Gloucester,Newburyport,17.439456653732286,216,white_pct_high,90.3,Gloucester-Newburyport
Lawrence,Salem,17.441359298529775,217,white_pct_high,42.4,Lawrence-Salem
Gloucester,Georgetown,17.51726905403272,218,white_pct_high,93.7,Gloucester-Georgetown
Haverhill,Lynnfield,17.549864906635467,219,white_pct_high,82.2,Haverhill-Lynnfield
Marblehead,Salisbury,17.559301459631794,220,white_pct_high,90.1,Marblehead-Salisbury
Lynn,North Andover,17.793342757604016,221,white_pct_high,72.5,Lynn-North Andover
Newburyport,Rockport,17.911944205966048,222,white_pct_high,90.4,Newburyport-Rockport
Methuen,Hamilton,17.956172618128836,223,white_pct_high,87.8,Methuen-Hamilton
Saugus,Ipswich,17.993398810778938,224,white_pct_high,86.3,Saugus-Ipswich
Lawrence,Lynn,18.016548938946595,225,white_pct_high,13.0,Lawrence-Lynn
Haverhill,Peabody,18.069702789019665,226,white_pct_high,72.5,Haverhill-Peabody
North Andover,Swampscott,18.268783059518945,227,white_pct_high,78.1,North Andover-Swampscott
Saugus,Georgetown,18.28075555882961,228,white_pct_high,93.7,Saugus-Georgetown
Swampscott,Newbury,18.31949668550949,229,white_pct_high,90.1,Swampscott-Newbury
Salem,Rockport,18.37551040891196,230,white_pct_high,90.4,Salem-Rockport
Andover,Marblehead,18.48502227795016,231,white_pct_high,85.2,Andover-Marblehead
Lynn,Newbury,18.534331766607817,232,white_pct_high,90.1,Lynn-Newbury
Lawrence,Swampscott,18.584554664701063,233,white_pct_high,78.1,Lawrence-Swampscott
Amesbury,Danvers,18.594489097577085,234,white_pct_high,83.6,Amesbury-Danvers
Groveland,Manchester,18.708926594679557,235,white_pct_high,96.5,Groveland-Manchester
Boxford,Rockport,18.711609389647226,236,white_pct_high,90.4,Boxford-Rockport
Methuen,Beverly,18.785638006009563,237,white_pct_high,75.0,Methuen-Beverly
Gloucester,Lynnfield,18.87052226289195,238,white_pct_high,82.2,Gloucester-Lynnfield
Peabody,Newburyport,19.090854751609864,239,white_pct_high,90.3,Peabody-Newburyport
North Andover,Marblehead,19.10744090093772,240,white_pct_high,85.2,North Andover-Marblehead
Haverhill,Beverly,19.17226391554763,241,white_pct_high,75.0,Haverhill-Beverly
North Andover,Manchester,19.60006908182719,242,white_pct_high,96.5,North Andover-Manchester
Lawrence,Marblehead,19.63388197068381,243,white_pct_high,85.2,Lawrence-Marblehead
Rockport,Georgetown,19.77429283323797,244,white_pct_high,93.7,Rockport-Georgetown
Salem,Merrimac,19.79855980776882,245,white_pct_high,89.9,Salem-Merrimac
Swampscott,Rockport,19.832944954636584,246,white_pct_high,90.4,Swampscott-Rockport
Peabody,Rockport,19.98039290805461,247,white_pct_high,90.4,Peabody-Rockport
Beverly,Amesbury,20.02087689393048,248,white_pct_high,82.6,Beverly-Amesbury
Methuen,Saugus,20.282260549932783,249,white_pct_high,62.5,Methuen-Saugus
Saugus,Salisbury,20.307828831078293,250,white_pct_high,90.1,Saugus-Salisbury
Lynnfield,Newburyport,20.356616448714604,251,white_pct_high,90.3,Lynnfield-Newburyport
Andover,Manchester,20.460129563002276,252,white_pct_high,96.5,Andover-Manchester
Salem,Methuen,20.498835495217957,253,white_pct_high,42.6,Salem-Methuen
Saugus,Gloucester,20.54127361270812,254,white_pct_high,79.7,Saugus-Gloucester
Amesbury,Manchester,20.6275022248012,255,white_pct_high,96.5,Amesbury-Manchester
Lawrence,Manchester,20.681324564641606,256,white_pct_high,96.5,Lawrence-Manchester
Gloucester,Merrimac,20.736345367951014,257,white_pct_high,89.9,Gloucester-Merrimac
Lynn,Rockport,20.8839856108975,258,white_pct_high,90.4,Lynn-Rockport
Lynn,Methuen,21.167875343829028,259,white_pct_high,42.6,Lynn-Methuen
Peabody,Amesbury,21.238386179045992,260,white_pct_high,82.6,Peabody-Amesbury
Salem,Newburyport,21.242177897894187,261,white_pct_high,90.3,Salem-Newburyport
Gloucester,Amesbury,21.26372255824968,262,white_pct_high,82.6,Gloucester-Amesbury
Marblehead,Groveland,21.36451126434109,263,white_pct_high,89.9,Marblehead-Groveland
Lynn,Merrimac,21.4528307283514,264,white_pct_high,89.9,Lynn-Merrimac
Swampscott,Groveland,21.51867720344836,265,white_pct_high,89.9,Swampscott-Groveland
Methuen,Swampscott,21.70454772517829,266,white_pct_high,78.1,Methuen-Swampscott
Amesbury,Rockport,21.77235614252541,267,white_pct_high,90.4,Amesbury-Rockport
Salem,Haverhill,21.799231471755373,268,white_pct_high,49.7,Salem-Haverhill
Lynnfield,Amesbury,22.042808363077896,269,white_pct_high,82.6,Lynnfield-Amesbury
Marblehead,Newburyport,22.178447256449367,270,white_pct_high,90.3,Marblehead-Newburyport
Saugus,Groveland,22.26165384218731,271,white_pct_high,89.9,Saugus-Groveland
Haverhill,Manchester,22.36945438661742,272,white_pct_high,96.5,Haverhill-Manchester
Groveland,Rockport,22.392578038158675,273,white_pct_high,90.4,Groveland-Rockport
Methuen,Marblehead,22.64541588297923,274,white_pct_high,85.2,Methuen-Marblehead
Lynnfield,Rockport,22.91466328343544,275,white_pct_high,90.4,Lynnfield-Rockport
Haverhill,Saugus,22.955894710502044,276,white_pct_high,62.5,Haverhill-Saugus
Lynn,Haverhill,23.0026220104014,277,white_pct_high,49.7,Lynn-Haverhill
Methuen,Manchester,23.089600480819158,278,white_pct_high,96.5,Methuen-Manchester
Swampscott,Newburyport,23.15133451011449,279,white_pct_high,90.3,Swampscott-Newburyport
North Andover,Gloucester,23.172294105998617,280,white_pct_high,79.7,North Andover-Gloucester
Haverhill,Swampscott,23.30482078720043,281,white_pct_high,78.1,Haverhill-Swampscott
Lynn,Newburyport,23.432829441197484,282,white_pct_high,90.3,Lynn-Newburyport
Haverhill,Marblehead,23.68056099428028,283,white_pct_high,85.2,Haverhill-Marblehead
Salem,Amesbury,23.871491956767866,284,white_pct_high,82.6,Salem-Amesbury
Lawrence,Gloucester,24.42470131212901,285,white_pct_high,79.7,Lawrence-Gloucester
Andover,Gloucester,24.547384939302,286,white_pct_high,79.7,Andover-Gloucester
Saugus,Rockport,24.827248081289227,287,white_pct_high,90.4,Saugus-Rockport
Haverhill,Gloucester,24.95035273715314,288,white_pct_high,79.7,Haverhill-Gloucester
Amesbury,Marblehead,25.056378726242865,289,white_pct_high,85.2,Amesbury-Marblehead
Saugus,Newburyport,25.312493514949253,290,white_pct_high,90.3,Saugus-Newburyport
Swampscott,Amesbury,25.72700610367984,291,white_pct_high,82.6,Swampscott-Amesbury
Lynn,Amesbury,25.86689109358219,292,white_pct_high,82.6,Lynn-Amesbury
North Andover,Rockport,25.970085084054105,293,white_pct_high,90.4,North Andover-Rockport
Methuen,Gloucester,26.487426371561423,294,white_pct_high,79.7,Methuen-Gloucester
Haverhill,Rockport,26.915489928836628,295,white_pct_high,90.4,Haverhill-Rockport
Saugus,Amesbury,27.268306509975,296,white_pct_high,82.6,Saugus-Amesbury
Lawrence,Rockport,27.33693396290136,297,white_pct_high,90.4,Lawrence-Rockport
Andover,Rockport,27.740646256643792,298,white_pct_high,90.4,Andover-Rockport
Methuen,Rockport,29.08233974307388,299,white_pct_high,90.4,Methuen-Rockport
