town_low,town_high,distance_mi,rank,hh_income_category,hh_income_value,school_to_school
Haverhill,Lynnfield,0.0,219,median_household_income_low,69426,Haverhill-Lynnfield
Salisbury,Marblehead,0.0,220,median_household_income_low,81304,Salisbury-Marblehead
Lynn,North Andover,0.0,221,median_household_income_low,56181,Lynn-North Andover
Rockport,Newburyport,0.0,222,median_household_income_low,85208,Rockport-Newburyport
Methuen,Hamilton,0.0,223,median_household_income_low,77484,Methuen-Hamilton
Saugus,Ipswich,0.0,224,median_household_income_low,88667,Saugus-Ipswich
Lawrence,Lynn,0.0,225,median_household_income_low,44613,Lawrence-Lynn
Haverhill,Peabody,0.0,226,median_household_income_low,69426,Haverhill-Peabody
North Andover,Swampscott,0.0,227,median_household_income_low,108070,North Andover-Swampscott
Saugus,Georgetown,0.0,228,median_household_income_low,88667,Saugus-Georgetown
Newbury,Swampscott,0.0,229,median_household_income_low,101875,Newbury-Swampscott
Salem,Rockport,0.0,230,median_household_income_low,68808,Salem-Rockport
Andover,Marblehead,0.0,231,median_household_income_low,95600,Andover-Marblehead
Lynn,Newbury,0.0,232,median_household_income_low,56181,Lynn-Newbury
Lawrence,Swampscott,0.0,233,median_household_income_low,44613,Lawrence-Swampscott
Amesbury,Danvers,0.0,234,median_household_income_low,82468,Amesbury-Danvers
Groveland,Manchester,0.0,235,median_household_income_low,103125,Groveland-Manchester
Rockport,Boxford,0.0,236,median_household_income_low,85208,Rockport-Boxford
Methuen,Beverly,0.0,237,median_household_income_low,77484,Methuen-Beverly
Gloucester,Lynnfield,0.0,238,median_household_income_low,72574,Gloucester-Lynnfield
Peabody,Newburyport,0.0,239,median_household_income_low,73217,Peabody-Newburyport
North Andover,Marblehead,0.0,240,median_household_income_low,108070,North Andover-Marblehead
Haverhill,Beverly,0.0,241,median_household_income_low,69426,Haverhill-Beverly
North Andover,Manchester,0.0,242,median_household_income_low,108070,North Andover-Manchester
Lawrence,Marblehead,0.0,243,median_household_income_low,44613,Lawrence-Marblehead
Rockport,Georgetown,0.0,244,median_household_income_low,85208,Rockport-Georgetown
Salem,Merrimac,0.0,245,median_household_income_low,68808,Salem-Merrimac
Rockport,Swampscott,0.0,246,median_household_income_low,85208,Rockport-Swampscott
Peabody,Rockport,0.0,247,median_household_income_low,73217,Peabody-Rockport
Beverly,Amesbury,0.0,248,median_household_income_low,80586,Beverly-Amesbury
Methuen,Saugus,0.0,249,median_household_income_low,77484,Methuen-Saugus
Salisbury,Saugus,0.0,250,median_household_income_low,81304,Salisbury-Saugus
Newburyport,Lynnfield,0.0,251,median_household_income_low,109839,Newburyport-Lynnfield
Andover,Manchester,0.0,252,median_household_income_low,95600,Andover-Manchester
Salem,Methuen,0.0,253,median_household_income_low,68808,Salem-Methuen
Gloucester,Saugus,0.0,254,median_household_income_low,72574,Gloucester-Saugus
Amesbury,Manchester,0.0,255,median_household_income_low,82468,Amesbury-Manchester
Lawrence,Manchester,0.0,256,median_household_income_low,44613,Lawrence-Manchester
Gloucester,Merrimac,0.0,257,median_household_income_low,72574,Gloucester-Merrimac
Lynn,Rockport,0.0,258,median_household_income_low,56181,Lynn-Rockport
Lynn,Methuen,0.0,259,median_household_income_low,56181,Lynn-Methuen
Peabody,Amesbury,0.0,260,median_household_income_low,73217,Peabody-Amesbury
Salem,Newburyport,0.0,261,median_household_income_low,68808,Salem-Newburyport
Gloucester,Amesbury,0.0,262,median_household_income_low,72574,Gloucester-Amesbury
Groveland,Marblehead,0.0,263,median_household_income_low,103125,Groveland-Marblehead
Lynn,Merrimac,0.0,264,median_household_income_low,56181,Lynn-Merrimac
Groveland,Swampscott,0.0,265,median_household_income_low,103125,Groveland-Swampscott
Methuen,Swampscott,0.0,266,median_household_income_low,77484,Methuen-Swampscott
Amesbury,Rockport,0.0,267,median_household_income_low,82468,Amesbury-Rockport
Salem,Haverhill,0.0,268,median_household_income_low,68808,Salem-Haverhill
Amesbury,Lynnfield,0.0,269,median_household_income_low,82468,Amesbury-Lynnfield
Newburyport,Marblehead,0.0,270,median_household_income_low,109839,Newburyport-Marblehead
Saugus,Groveland,0.0,271,median_household_income_low,88667,Saugus-Groveland
Haverhill,Manchester,0.0,272,median_household_income_low,69426,Haverhill-Manchester
Rockport,Groveland,0.0,273,median_household_income_low,85208,Rockport-Groveland
Methuen,Marblehead,0.0,274,median_household_income_low,77484,Methuen-Marblehead
Rockport,Lynnfield,0.0,275,median_household_income_low,85208,Rockport-Lynnfield
Haverhill,Saugus,0.0,276,median_household_income_low,69426,Haverhill-Saugus
Lynn,Haverhill,0.0,277,median_household_income_low,56181,Lynn-Haverhill
Methuen,Manchester,0.0,278,median_household_income_low,77484,Methuen-Manchester
Newburyport,Swampscott,0.0,279,median_household_income_low,109839,Newburyport-Swampscott
Gloucester,North Andover,0.0,280,median_household_income_low,72574,Gloucester-North Andover
Haverhill,Swampscott,0.0,281,median_household_income_low,69426,Haverhill-Swampscott
Lynn,Newburyport,0.0,282,median_household_income_low,56181,Lynn-Newburyport
Haverhill,Marblehead,0.0,283,median_household_income_low,69426,Haverhill-Marblehead
Salem,Amesbury,0.0,284,median_household_income_low,68808,Salem-Amesbury
Lawrence,Gloucester,0.0,285,median_household_income_low,44613,Lawrence-Gloucester
Gloucester,Andover,0.0,286,median_household_income_low,72574,Gloucester-Andover
Rockport,Saugus,0.0,287,median_household_income_low,85208,Rockport-Saugus
Haverhill,Gloucester,0.0,288,median_household_income_low,69426,Haverhill-Gloucester
Amesbury,Marblehead,0.0,289,median_household_income_low,82468,Amesbury-Marblehead
Saugus,Newburyport,0.0,290,median_household_income_low,88667,Saugus-Newburyport
Amesbury,Swampscott,0.0,291,median_household_income_low,82468,Amesbury-Swampscott
Lynn,Amesbury,0.0,292,median_household_income_low,56181,Lynn-Amesbury
Rockport,North Andover,0.0,293,median_household_income_low,85208,Rockport-North Andover
Gloucester,Methuen,0.0,294,median_household_income_low,72574,Gloucester-Methuen
Haverhill,Rockport,0.0,295,median_household_income_low,69426,Haverhill-Rockport
Amesbury,Saugus,0.0,296,median_household_income_low,82468,Amesbury-Saugus
Lawrence,Rockport,0.0,297,median_household_income_low,44613,Lawrence-Rockport
Rockport,Andover,0.0,298,median_household_income_low,85208,Rockport-Andover
Methuen,Rockport,0.0,299,median_household_income_low,77484,Methuen-Rockport
Lynn,Swampscott,1.196055302079143,0,median_household_income_high,113407,Lynn-Swampscott
Lawrence,North Andover,1.5855866438822594,1,median_household_income_high,108070,Lawrence-North Andover
Salem,Swampscott,1.9363245470077504,2,median_household_income_high,113407,Salem-Swampscott
Salem,Marblehead,2.361965084725948,3,median_household_income_high,123333,Salem-Marblehead
Lawrence,Andover,2.4075788470636974,4,median_household_income_high,95600,Lawrence-Andover
Lynn,Salem,2.620759071282193,5,median_household_income_high,68808,Lynn-Salem
Swampscott,Marblehead,2.7700866048205146,6,median_household_income_high,123333,Swampscott-Marblehead
Beverly,Danvers,2.820942616776508,7,median_household_income_high,89250,Beverly-Danvers
Peabody,Lynnfield,3.0211280959779665,8,median_household_income_high,128641,Peabody-Lynnfield
Lawrence,Methuen,3.190858545165007,9,median_household_income_high,77484,Lawrence-Methuen
Peabody,Danvers,3.3831848090871595,10,median_household_income_high,89250,Peabody-Danvers
Methuen,North Andover,3.582984079375072,11,median_household_income_high,108070,Methuen-North Andover
Andover,North Andover,3.5890416313744566,12,median_household_income_high,108070,Andover-North Andover
Danvers,Topsfield,3.717251074636475,13,median_household_income_high,136863,Danvers-Topsfield
Salisbury,Georgetown,3.814898481551445,14,median_household_income_high,128466,Salisbury-Georgetown
Amesbury,Newburyport,3.8692811155221,15,median_household_income_high,109839,Amesbury-Newburyport
Lynn,Marblehead,3.9489579065240856,16,median_household_income_high,123333,Lynn-Marblehead
Ipswich,Hamilton,4.140077970284551,17,median_household_income_high,127813,Ipswich-Hamilton
Salem,Peabody,4.141631838811724,18,median_household_income_high,73217,Salem-Peabody
Lynn,Saugus,4.160763648971105,19,median_household_income_high,88667,Lynn-Saugus
Merrimac,Georgetown,4.28828278923016,20,median_household_income_high,128466,Merrimac-Georgetown
Gloucester,Rockport,4.3171524484408135,21,median_household_income_high,85208,Gloucester-Rockport
Salem,Beverly,4.327777882741018,22,median_household_income_high,80586,Salem-Beverly
Beverly,Hamilton,4.72845942483406,23,median_household_income_high,127813,Beverly-Hamilton
Haverhill,Groveland,4.762942120764938,24,median_household_income_high,103125,Haverhill-Groveland
Peabody,Beverly,4.935838087070542,25,median_household_income_high,80586,Peabody-Beverly
Lynn,Peabody,4.94029677394803,26,median_household_income_high,73217,Lynn-Peabody
Haverhill,Methuen,4.97318960159047,27,median_household_income_high,77484,Haverhill-Methuen
Newbury,Newburyport,5.008180269711917,28,median_household_income_high,109839,Newbury-Newburyport
Beverly,Marblehead,5.037819794778186,29,median_household_income_high,123333,Beverly-Marblehead
Gloucester,Manchester,5.06495176646527,30,median_household_income_high,148854,Gloucester-Manchester
Ipswich,Newbury,5.0819856969992605,31,median_household_income_high,101875,Ipswich-Newbury
Hamilton,Manchester,5.254430247077268,32,median_household_income_high,148854,Hamilton-Manchester
Peabody,Swampscott,5.289150594497587,33,median_household_income_high,113407,Peabody-Swampscott
Methuen,Andover,5.306090018823177,34,median_household_income_high,95600,Methuen-Andover
Salem,Danvers,5.330710306255406,35,median_household_income_high,89250,Salem-Danvers
Danvers,Hamilton,5.335146344153019,36,median_household_income_high,127813,Danvers-Hamilton
Saugus,Swampscott,5.349151489056062,37,median_household_income_high,113407,Saugus-Swampscott
Saugus,Lynnfield,5.433577113105851,38,median_household_income_high,128641,Saugus-Lynnfield
Peabody,Middleton,5.5454252943224684,39,median_household_income_high,125204,Peabody-Middleton
Newbury,Groveland,5.590551585369322,40,median_household_income_high,103125,Newbury-Groveland
Amesbury,Groveland,5.917174839382962,41,median_household_income_high,103125,Amesbury-Groveland
Danvers,Lynnfield,5.964400140329401,42,median_household_income_high,128641,Danvers-Lynnfield
Beverly,Manchester,5.971410704235797,43,median_household_income_high,148854,Beverly-Manchester
Haverhill,North Andover,6.005102278445393,44,median_household_income_high,108070,Haverhill-North Andover
Beverly,Swampscott,6.252890130243487,45,median_household_income_high,113407,Beverly-Swampscott
Lynn,Lynnfield,6.268752525050366,46,median_household_income_high,128641,Lynn-Lynnfield
Peabody,Saugus,6.286835159897371,47,median_household_income_high,88667,Peabody-Saugus
Beverly,Middleton,6.352256480398708,48,median_household_income_high,125204,Beverly-Middleton
Peabody,Marblehead,6.446932447408488,49,median_household_income_high,123333,Peabody-Marblehead
Salem,Saugus,6.465266029224285,50,median_household_income_high,88667,Salem-Saugus
Middleton,Hamilton,6.512709111452249,51,median_household_income_high,127813,Middleton-Hamilton
Salem,Lynnfield,6.587860172732203,52,median_household_income_high,128641,Salem-Lynnfield
