town_low,town_high,distance_mi,rank,category,pct_graduated,school_to_school
Salem,Manchester,0.0,88,pct_graduated_low,73.9,Salem-Manchester
Lawrence,Groveland,0.0,89,pct_graduated_low,72.8,Lawrence-Groveland
Haverhill,Andover,0.0,90,pct_graduated_low,80.4,Haverhill-Andover
Rockport,Manchester,0.0,91,pct_graduated_low,94.9,Rockport-Manchester
Andover,Boxford,0.0,92,pct_graduated_low,95.2,Andover-Boxford
Methuen,Georgetown,0.0,93,pct_graduated_low,93.2,Methuen-Georgetown
Haverhill,Amesbury,0.0,94,pct_graduated_low,80.4,Haverhill-Amesbury
Marblehead,Hamilton,0.0,95,pct_graduated_low,95.1,Marblehead-Hamilton
Saugus,Danvers,0.0,96,pct_graduated_low,87.7,Saugus-Danvers
Georgetown,Hamilton,0.0,97,pct_graduated_low,95.5,Georgetown-Hamilton
Lawrence,Middleton,0.0,98,pct_graduated_low,72.8,Lawrence-Middleton
Andover,Georgetown,0.0,99,pct_graduated_low,95.2,Andover-Georgetown
Haverhill,Salisbury,0.0,100,pct_graduated_low,80.4,Haverhill-Salisbury
Saugus,Beverly,0.0,101,pct_graduated_low,87.7,Saugus-Beverly
Georgetown,Danvers,0.0,102,pct_graduated_low,95.5,Georgetown-Danvers
