district_code,district_name_w_charters,district_name_x,total_#_of_classes,average_class_size,number_of_students,african_american_%,asian_%,hispanic_%,white_%,native_american_%,"native_hawaiian,_pacific_islander_%","multi-race,_non-hispanic_%",tests_taken_x,score=1_x,score=2_x,score=3_x,score=4_x,score=5_x,%_score_1-2_x,%_score_3-5_x,tests_taken_y,score=1_y,score=2_y,score=3_y,score=4_y,score=5_y,%_score_1-2_y,%_score_3-5_y,tests_takers,tests_taken_x.1,one_test,two_tests,three_tests,four_tests,five_or_more_tests,high_school_graduates_(#),attending_coll./univ._(#),attending_coll./univ._(%),private_two-year_(%),private_four-year_(%),public_two-year_(%),public_four-year_(%),ma_community_college_(%),ma_state_university_(%),univ.of_mass._(%),tests_taken_y.1,reading_/_writing,writing,math,#_in_cohort,%_graduated,%_still_in_school,%_non-grad_completers,%_h.s._equiv.,%_dropped_out,%_permanently_excluded,towns,school_name
1490000,Lawrence,Lawrence,"6,805",17.9,"13,204",1.3,1.2,93.8,3.2,0.0,0.0,0.4,362,182,94,41,25,20,76.2,23.8,362,182,94,41,25,20,76.2,23.8,210,362,105,75,16,11,3,759.0,347.0,45.7,0.3,19.6,55.6,24.5,53.9,4.0,18.4,13,537.0,,541.0,984,72.8,12.0,5.9,0.5,8.8,0.0,Lawrence,Lawrence High School
1630000,Lynn,Lynn,"5,093",15.4,"12,825",8.2,7.5,67.9,13.0,0.3,0.0,3.1,781,370,229,115,48,19,76.7,23.3,781,370,229,115,48,19,76.7,23.3,428,781,237,86,60,35,10,1062.0,436.0,41.1,0.0,27.8,32.3,39.9,31.2,21.8,15.4,115,533.0,,521.0,"1,254",79.0,6.1,0.6,0.6,13.7,0.0,Lynn,Lynn Classical High School + Lynn English High School
1640000,Lynnfield,Lynnfield,861,17.6,"2,179",1.9,6.9,5.8,82.2,0.0,0.0,3.2,403,43,90,119,96,55,33.0,67.0,403,43,90,119,96,55,33.0,67.0,188,403,76,54,30,17,11,157.0,134.0,85.4,0.0,44.0,9.0,47.0,8.2,5.2,16.4,168,562.0,,565.0,159,97.5,1.3,0.0,0.0,1.3,0.0,Lynnfield,Lynnfield High School
6980000,Manchester Essex Regional,Manchester Essex Regional,671,14.8,"1,271",0.5,1.2,1.3,96.5,0.0,0.0,0.6,391,34,53,128,107,69,22.3,77.7,391,34,53,128,107,69,22.3,77.7,160,391,43,46,43,15,13,112.0,93.0,83.0,0.0,40.9,11.8,47.3,9.7,2.2,23.7,60,617.0,,626.0,111,99.1,0.9,0.0,0.0,0.0,0.0,Essex,Manchester Essex Regional High School
6980000,Manchester Essex Regional,Manchester Essex Regional,671,14.8,"1,271",0.5,1.2,1.3,96.5,0.0,0.0,0.6,391,34,53,128,107,69,22.3,77.7,391,34,53,128,107,69,22.3,77.7,160,391,43,46,43,15,13,112.0,93.0,83.0,0.0,40.9,11.8,47.3,9.7,2.2,23.7,60,617.0,,626.0,111,99.1,0.9,0.0,0.0,0.0,0.0,Manchester,Manchester Essex Regional High School
1680000,Marblehead,Marblehead,"1,603",16.2,"2,723",3.0,1.4,6.9,85.2,0.0,0.0,3.4,701,61,183,199,162,96,34.8,65.2,701,61,183,199,162,96,34.8,65.2,329,701,138,90,45,36,20,253.0,200.0,79.1,0.0,45.5,2.5,52.0,2.0,7.0,10.0,289,608.0,,599.0,263,95.1,3.4,0.4,0.4,0.8,0.0,Marblehead,Marblehead High School
7050000,Masconomet,Masconomet,940,15.8,"1,692",0.7,3.7,3.1,90.0,0.1,0.2,2.4,339,11,45,80,128,75,16.5,83.5,339,11,45,80,128,75,16.5,83.5,207,339,113,63,24,7,0,281.0,248.0,88.3,0.0,47.2,9.3,43.5,8.9,5.2,13.7,282,592.0,,601.0,291,95.9,2.4,0.0,0.0,1.7,0.0,Boxford,Masconomet Regional High School
7050000,Masconomet,Masconomet,940,15.8,"1,692",0.7,3.7,3.1,90.0,0.1,0.2,2.4,339,11,45,80,128,75,16.5,83.5,339,11,45,80,128,75,16.5,83.5,207,339,113,63,24,7,0,281.0,248.0,88.3,0.0,47.2,9.3,43.5,8.9,5.2,13.7,282,592.0,,601.0,291,95.9,2.4,0.0,0.0,1.7,0.0,Middleton,Masconomet Regional High School
7050000,Masconomet,Masconomet,940,15.8,"1,692",0.7,3.7,3.1,90.0,0.1,0.2,2.4,339,11,45,80,128,75,16.5,83.5,339,11,45,80,128,75,16.5,83.5,207,339,113,63,24,7,0,281.0,248.0,88.3,0.0,47.2,9.3,43.5,8.9,5.2,13.7,282,592.0,,601.0,291,95.9,2.4,0.0,0.0,1.7,0.0,Topsfield,Masconomet Regional High School
1810000,Methuen,Methuen,"3,001",18.3,"6,572",3.8,3.7,46.0,42.6,0.1,0.1,3.9,576,122,188,167,80,19,53.8,46.2,576,122,188,167,80,19,53.8,46.2,354,576,205,95,41,8,5,453.0,272.0,60.0,0.0,29.0,32.7,38.2,29.8,9.6,19.5,144,551.0,,544.0,484,93.2,3.5,0.2,0.4,2.7,0.0,Methuen,Methuen High School
2040000,Newburyport,Newburyport,"1,712",14.0,"2,150",0.9,1.9,4.3,90.3,0.0,0.0,2.6,379,61,83,104,90,41,38.0,62.0,379,61,83,104,90,41,38.0,62.0,193,379,78,64,35,12,4,178.0,145.0,81.5,0.0,43.4,12.4,44.1,11.0,4.8,13.1,182,581.0,,583.0,186,94.6,4.3,0.0,0.5,0.5,0.0,Newburyport,Newburyport High School
2110000,North Andover,North Andover,"3,044",18.0,"4,559",2.9,7.6,13.5,72.5,0.1,0.1,3.3,455,23,68,135,133,96,20.0,80.0,455,23,68,135,133,96,20.0,80.0,260,455,126,87,37,8,2,329.0,273.0,83.0,0.0,48.4,12.1,39.6,11.4,2.9,18.3,500,576.0,,567.0,333,97.3,1.8,0.6,0.0,0.3,0.0,North Andover,North Andover High School
2290000,Peabody,Peabody,"2,964",16.4,"5,813",3.8,2.1,19.4,72.5,0.2,0.0,2.0,308,30,104,79,73,22,43.5,56.5,308,30,104,79,73,22,43.5,56.5,188,308,107,55,13,13,0,335.0,204.0,60.9,0.0,37.7,20.6,41.7,19.1,18.6,12.3,169,537.0,,530.0,374,88.0,5.9,0.3,0.0,5.9,0.0,Peabody,Peabody Veterans Memorial High School
7450000,Pentucket,Pentucket,"1,226",16.3,"2,191",0.4,1.2,6.0,89.9,0.1,0.0,2.5,332,35,87,104,68,38,36.7,63.3,332,35,87,104,68,38,36.7,63.3,179,332,75,64,32,7,1,182.0,146.0,80.2,0.0,40.4,13.0,46.6,13.0,4.1,18.5,198,581.0,,572.0,188,94.7,1.6,0.0,0.5,3.2,0.0,Groveland,Pentucket Regional High School
7450000,Pentucket,Pentucket,"1,226",16.3,"2,191",0.4,1.2,6.0,89.9,0.1,0.0,2.5,332,35,87,104,68,38,36.7,63.3,332,35,87,104,68,38,36.7,63.3,179,332,75,64,32,7,1,182.0,146.0,80.2,0.0,40.4,13.0,46.6,13.0,4.1,18.5,198,581.0,,572.0,188,94.7,1.6,0.0,0.5,3.2,0.0,Merrimac,Pentucket Regional High School
7450000,Pentucket,Pentucket,"1,226",16.3,"2,191",0.4,1.2,6.0,89.9,0.1,0.0,2.5,332,35,87,104,68,38,36.7,63.3,332,35,87,104,68,38,36.7,63.3,179,332,75,64,32,7,1,182.0,146.0,80.2,0.0,40.4,13.0,46.6,13.0,4.1,18.5,198,581.0,,572.0,188,94.7,1.6,0.0,0.5,3.2,0.0,West Newbury,Pentucket Regional High School
2520000,Rockport,Rockport,459,14.7,770,0.7,1.8,3.6,90.4,0.0,0.1,3.4,147,49,41,34,19,4,61.2,38.8,147,49,41,34,19,4,61.2,38.8,65,147,23,15,16,9,2,75.0,50.0,66.7,0.0,48.0,6.0,46.0,6.0,10.0,12.0,29,603.0,,589.0,79,94.9,2.5,1.3,0.0,1.3,0.0,Rockport,Rockport High School
2580000,Salem,Salem,"2,245",13.5,"3,772",6.6,2.6,43.9,42.4,0.0,0.0,4.5,132,21,37,34,21,19,43.9,56.1,132,21,37,34,21,19,43.9,56.1,59,132,28,11,9,5,6,219.0,110.0,50.2,0.9,27.3,21.8,50.0,20.9,33.6,9.1,61,531.0,,511.0,276,73.9,11.2,3.6,0.4,10.9,0.0,Salem,Salem High School
2620000,Saugus,Saugus,"1,099",17.0,"2,425",5.4,5.5,22.8,62.5,0.8,0.4,2.6,178,38,50,41,35,14,49.4,50.6,178,38,50,41,35,14,49.4,50.6,103,178,50,35,14,4,0,162.0,102.0,63.0,0.0,36.3,15.7,48.0,15.7,15.7,22.5,56,532.0,,529.0,179,87.7,3.9,0.6,0.6,7.3,0.0,Saugus,Saugus High School
2910000,Swampscott,Swampscott,"1,208",16.8,"2,134",3.7,2.7,12.1,78.1,0.2,0.0,3.1,439,32,105,127,105,70,31.2,68.8,439,32,105,127,105,70,31.2,68.8,189,439,62,49,48,19,11,160.0,124.0,77.5,0.0,37.1,10.5,52.4,10.5,12.1,12.9,128,606.0,,596.0,163,95.7,3.7,0.0,0.0,0.6,0.0,Nahant,Swampscott High School
2910000,Swampscott,Swampscott,"1,208",16.8,"2,134",3.7,2.7,12.1,78.1,0.2,0.0,3.1,439,32,105,127,105,70,31.2,68.8,439,32,105,127,105,70,31.2,68.8,189,439,62,49,48,19,11,160.0,124.0,77.5,0.0,37.1,10.5,52.4,10.5,12.1,12.9,128,606.0,,596.0,163,95.7,3.7,0.0,0.0,0.6,0.0,Swampscott,Swampscott High School
7730000,Triton,Triton,"1,124",16.9,"2,198",1.6,2.1,3.9,90.1,0.1,0.1,2.0,129,7,33,41,31,17,31.0,69.0,129,7,33,41,31,17,31.0,69.0,77,129,44,19,10,3,1,174.0,117.0,67.2,0.0,30.8,32.5,36.8,30.8,7.7,14.5,63,595.0,,585.0,190,89.5,4.2,0.5,2.1,3.7,0.0,Newbury,Triton Regional High School
7730000,Triton,Triton,"1,124",16.9,"2,198",1.6,2.1,3.9,90.1,0.1,0.1,2.0,129,7,33,41,31,17,31.0,69.0,129,7,33,41,31,17,31.0,69.0,77,129,44,19,10,3,1,174.0,117.0,67.2,0.0,30.8,32.5,36.8,30.8,7.7,14.5,63,595.0,,585.0,190,89.5,4.2,0.5,2.1,3.7,0.0,Rowley,Triton Regional High School
7730000,Triton,Triton,"1,124",16.9,"2,198",1.6,2.1,3.9,90.1,0.1,0.1,2.0,129,7,33,41,31,17,31.0,69.0,129,7,33,41,31,17,31.0,69.0,77,129,44,19,10,3,1,174.0,117.0,67.2,0.0,30.8,32.5,36.8,30.8,7.7,14.5,63,595.0,,585.0,190,89.5,4.2,0.5,2.1,3.7,0.0,Salisbury,Triton Regional High School
