school_to_school,distance_mi,town,year,hh_income,rank,category
Peabody-Hamilton,8.6667657317385,Peabody,1979,67532.0,76,x_hh_income
Beverly-Ipswich,8.687484950177778,Beverly,1979,61261.0,77,x_hh_income
Newbury-Hamilton,8.708197936264018,Newbury,1979,68671.0,78,x_hh_income
Methuen-Groveland,8.742235481874381,Methuen,1979,61849.0,79,x_hh_income
Rowley-Topsfield,8.781965738283064,Rowley,1979,64467.0,80,x_hh_income
Gloucester-Hamilton,8.789220302849722,Gloucester,1979,51063.0,81,x_hh_income
Ipswich-Newburyport,8.794455982710373,Ipswich,1979,67379.0,82,x_hh_income
Salem-Middleton,8.816292246351624,Salem,1979,49457.0,83,x_hh_income
North Andover-Middleton,8.861898890882394,North Andover,1979,72562.0,84,x_hh_income
Marblehead-Lynnfield,8.946003625179499,Marblehead,1979,78288.0,85,x_hh_income
Amesbury-Georgetown,9.053987393332404,Amesbury,1979,52538.0,86,x_hh_income
Salem-Hamilton,9.056235129047684,Salem,1979,49457.0,87,x_hh_income
Salem-Manchester,9.064067512897635,Salem,1979,49457.0,88,x_hh_income
Lawrence-Groveland,9.218136735579188,Lawrence,1979,39108.0,89,x_hh_income
Haverhill-Andover,9.313462010627669,Haverhill,1979,49111.0,90,x_hh_income
Rockport-Manchester,9.32182162171862,Rockport,1979,53818.0,91,x_hh_income
Andover-Boxford,9.39963004524344,Andover,1979,88976.0,92,x_hh_income
Methuen-Georgetown,9.416447742331538,Methuen,1979,61849.0,93,x_hh_income
Haverhill-Amesbury,9.432995428782732,Haverhill,1979,49111.0,94,x_hh_income
Marblehead-Hamilton,9.476531826064932,Marblehead,1979,78288.0,95,x_hh_income
Saugus-Danvers,9.57372625400376,Saugus,1979,69615.0,96,x_hh_income
Hamilton-Georgetown,9.644274943153622,Hamilton,1979,85278.0,97,x_hh_income
Lawrence-Middleton,9.746248479830118,Lawrence,1979,39108.0,98,x_hh_income
Andover-Georgetown,9.747505053932809,Andover,1979,88976.0,99,x_hh_income
Haverhill-Salisbury,10.109357689480698,Haverhill,1979,49111.0,100,x_hh_income
Beverly-Saugus,10.167938912426532,Beverly,1979,61261.0,101,x_hh_income
Danvers-Georgetown,10.201636133036132,Danvers,1979,71502.0,102,x_hh_income
Andover-Lynnfield,10.264085646401904,Andover,1979,88976.0,103,x_hh_income
Gloucester-Ipswich,10.286158546833445,Gloucester,1979,51063.0,104,x_hh_income
Lynn-Boxford,10.36432465025636,Lynn,1979,46904.0,105,x_hh_income
Swampscott-Topsfield,10.457407210268777,Swampscott,1979,78559.0,106,x_hh_income
Ipswich-Groveland,10.50318592490948,Ipswich,1979,67379.0,107,x_hh_income
North Andover-Rowley,10.595961011815945,North Andover,1979,72562.0,108,x_hh_income
Swampscott-Manchester,10.59850211551116,Swampscott,1979,78559.0,109,x_hh_income
Marblehead-Topsfield,10.634881963318213,Marblehead,1979,78288.0,110,x_hh_income
Peabody-Manchester,10.89742855278487,Peabody,1979,67532.0,111,x_hh_income
Gloucester-Beverly,10.9558361024831,Gloucester,1979,51063.0,112,x_hh_income
Swampscott-Hamilton,10.979043471364784,Swampscott,1979,78559.0,113,x_hh_income
Manchester-Boxford,11.062451325444878,,1979,,114,x_hh_income
Merrimac-Middleton,11.088968260199872,Merrimac,1979,59498.0,115,x_hh_income
Danvers-Newbury,11.227650685583374,Danvers,1979,71502.0,116,x_hh_income
Hamilton-Lynnfield,11.276499284588269,Hamilton,1979,85278.0,117,x_hh_income
Andover-Groveland,11.297377400068251,Andover,1979,88976.0,118,x_hh_income
Haverhill-Newburyport,11.334324255299892,Haverhill,1979,49111.0,119,x_hh_income
Saugus-Boxford,11.577205900611634,Saugus,1979,69615.0,120,x_hh_income
Lynn-Hamilton,11.58051109203177,Lynn,1979,46904.0,121,x_hh_income
Lynn-Manchester,11.605556675732252,Lynn,1979,46904.0,122,x_hh_income
Peabody-Ipswich,11.758579459620153,Peabody,1979,67532.0,123,x_hh_income
North Andover-Lynnfield,11.938911532163392,North Andover,1979,72562.0,124,x_hh_income
Lawrence-Lynnfield,11.95438781934023,Lawrence,1979,39108.0,125,x_hh_income
Peabody-Andover,12.063527257128282,Peabody,1979,67532.0,126,x_hh_income
Amesbury-Ipswich,12.148935466625495,Amesbury,1979,52538.0,127,x_hh_income
Lawrence-Rowley,12.169708775426864,Lawrence,1979,39108.0,128,x_hh_income
Rockport-Hamilton,12.217801923766386,Rockport,1979,53818.0,129,x_hh_income
Beverly-Georgetown,12.234465974400331,Beverly,1979,61261.0,130,x_hh_income
Peabody-Georgetown,12.41794498133533,Peabody,1979,67532.0,131,x_hh_income
Methuen-Topsfield,12.442101289657243,Methuen,1979,61849.0,132,x_hh_income
Danvers-North Andover,12.472701117800066,Danvers,1979,71502.0,133,x_hh_income
Danvers-Andover,12.515988078045464,Danvers,1979,71502.0,134,x_hh_income
Rockport-Ipswich,12.51727943650737,Rockport,1979,53818.0,135,x_hh_income
Beverly-Newbury,12.52232559194136,Beverly,1979,61261.0,136,x_hh_income
Newburyport-Hamilton,12.895687904682754,Newburyport,1979,55904.0,137,x_hh_income
Gloucester-Marblehead,12.899264511038684,Gloucester,1979,51063.0,138,x_hh_income
Salem-Ipswich,12.964355516829128,Salem,1979,49457.0,139,x_hh_income
Methuen-Newbury,12.969386349249572,Methuen,1979,61849.0,140,x_hh_income
Peabody-North Andover,12.983646178047747,Peabody,1979,67532.0,141,x_hh_income
Georgetown-Lynnfield,13.00013446141318,Georgetown,1979,69406.0,142,x_hh_income
Haverhill-Middleton,13.045684163488096,Haverhill,1979,49111.0,143,x_hh_income
Gloucester-Danvers,13.162132013870128,Gloucester,1979,51063.0,144,x_hh_income
Lawrence-Danvers,13.219430987655702,Lawrence,1979,39108.0,145,x_hh_income
Lawrence-Peabody,13.34602148618582,Lawrence,1979,39108.0,146,x_hh_income
Ipswich-North Andover,13.514457314090834,Ipswich,1979,67379.0,147,x_hh_income
Andover-Rowley,13.542872599968398,Andover,1979,88976.0,148,x_hh_income
Newbury-Manchester,13.555635495860168,Newbury,1979,68671.0,149,x_hh_income
Groveland-Hamilton,13.56794630071523,Groveland,1979,73695.0,150,x_hh_income
Ipswich-Marblehead,13.58268546146308,Ipswich,1979,67379.0,151,x_hh_income
Amesbury-North Andover,13.642329098655866,Amesbury,1979,52538.0,152,x_hh_income
Newburyport-Boxford,13.787627617280872,Newburyport,1979,55904.0,153,x_hh_income
Ipswich-Lynnfield,13.8728960493289,Ipswich,1979,67379.0,154,x_hh_income
Lynnfield-Manchester,13.902776957218602,Lynnfield,1979,101554.0,155,x_hh_income
North Andover-Newburyport,14.04076001068662,North Andover,1979,72562.0,156,x_hh_income
Salem-Gloucester,14.081055789442749,Salem,1979,49457.0,157,x_hh_income
Peabody-Newbury,14.101567271065784,Peabody,1979,67532.0,158,x_hh_income
Methuen-Amesbury,14.19260795563816,Methuen,1979,61849.0,159,x_hh_income
Merrimac-Danvers,14.486994630142885,Merrimac,1979,59498.0,160,x_hh_income
North Andover-Hamilton,14.529339262337508,North Andover,1979,72562.0,161,x_hh_income
Saugus-Hamilton,14.6134452953004,Saugus,1979,69615.0,162,x_hh_income
Haverhill-Ipswich,14.669865718574146,Haverhill,1979,49111.0,163,x_hh_income
Georgetown-Manchester,14.883813332484069,Georgetown,1979,69406.0,164,x_hh_income
Ipswich-Swampscott,14.900666267532348,Ipswich,1979,67379.0,165,x_hh_income
Lawrence-Ipswich,14.938465774524616,Lawrence,1979,39108.0,166,x_hh_income
Beverly-Rockport,15.074415061446627,Beverly,1979,61261.0,167,x_hh_income
Lawrence-Amesbury,15.087670934599409,Lawrence,1979,39108.0,168,x_hh_income
Methuen-Lynnfield,15.14039062640831,Methuen,1979,61849.0,169,x_hh_income
Saugus-Andover,15.162806374607642,Saugus,1979,69615.0,170,x_hh_income
Gloucester-Salisbury,15.183458969627928,Gloucester,1979,51063.0,171,x_hh_income
Beverly-North Andover,15.202946214049929,Beverly,1979,61261.0,172,x_hh_income
Gloucester-Boxford,15.254370502270476,Gloucester,1979,51063.0,173,x_hh_income
Beverly-Andover,15.336875510225218,Beverly,1979,61261.0,174,x_hh_income
Rowley-Lynnfield,15.362293556244408,Rowley,1979,64467.0,175,x_hh_income
Lynn-Ipswich,15.380850893825723,Lynn,1979,46904.0,176,x_hh_income
Methuen-Newburyport,15.49621321495254,Methuen,1979,61849.0,177,x_hh_income
Saugus-Manchester,15.506799112025297,Saugus,1979,69615.0,178,x_hh_income
