school_to_school,distance_mi,town,year,hh_income,rank,category
Peabody-North Andover,12.983646178047747,Peabody,1999,77998.0,741,x_hh_income
Georgetown-Lynnfield,13.00013446141318,Georgetown,1999,108485.0,742,x_hh_income
Haverhill-Middleton,13.045684163488096,Haverhill,1999,70891.0,743,x_hh_income
Gloucester-Danvers,13.162132013870128,Gloucester,1999,67888.0,744,x_hh_income
Lawrence-Danvers,13.219430987655702,Lawrence,1999,39808.0,745,x_hh_income
Lawrence-Peabody,13.34602148618582,Lawrence,1999,39808.0,746,x_hh_income
Ipswich-North Andover,13.514457314090834,Ipswich,1999,81490.0,747,x_hh_income
Andover-Rowley,13.542872599968398,Andover,1999,124735.0,748,x_hh_income
Newbury-Manchester,13.555635495860168,Newbury,1999,106459.0,749,x_hh_income
Groveland-Hamilton,13.56794630071523,Groveland,1999,98395.0,750,x_hh_income
Ipswich-Marblehead,13.58268546146308,Ipswich,1999,81490.0,751,x_hh_income
Amesbury-North Andover,13.642329098655866,Amesbury,1999,73840.0,752,x_hh_income
Newburyport-Boxford,13.787627617280872,Newburyport,1999,83301.0,753,x_hh_income
Ipswich-Lynnfield,13.8728960493289,Ipswich,1999,81490.0,754,x_hh_income
Lynnfield-Manchester,13.902776957218602,Lynnfield,1999,114696.0,755,x_hh_income
North Andover-Newburyport,14.04076001068662,North Andover,1999,103461.0,756,x_hh_income
Salem-Gloucester,14.081055789442749,Salem,1999,62640.0,757,x_hh_income
Peabody-Newbury,14.101567271065784,Peabody,1999,77998.0,758,x_hh_income
Methuen-Amesbury,14.19260795563816,Methuen,1999,70598.0,759,x_hh_income
Merrimac-Danvers,14.486994630142885,Merrimac,1999,83493.0,760,x_hh_income
North Andover-Hamilton,14.529339262337508,North Andover,1999,103461.0,761,x_hh_income
Saugus-Hamilton,14.6134452953004,Saugus,1999,78669.0,762,x_hh_income
Haverhill-Ipswich,14.669865718574146,Haverhill,1999,70891.0,763,x_hh_income
Georgetown-Manchester,14.883813332484069,Georgetown,1999,108485.0,764,x_hh_income
Ipswich-Swampscott,14.900666267532348,Ipswich,1999,81490.0,765,x_hh_income
Lawrence-Ipswich,14.938465774524616,Lawrence,1999,39808.0,766,x_hh_income
Beverly-Rockport,15.074415061446627,Beverly,1999,76796.0,767,x_hh_income
Lawrence-Amesbury,15.087670934599409,Lawrence,1999,39808.0,768,x_hh_income
Methuen-Lynnfield,15.14039062640831,Methuen,1999,70598.0,769,x_hh_income
Saugus-Andover,15.162806374607642,Saugus,1999,78669.0,770,x_hh_income
Gloucester-Salisbury,15.183458969627928,Gloucester,1999,67888.0,771,x_hh_income
Beverly-North Andover,15.202946214049929,Beverly,1999,76796.0,772,x_hh_income
Gloucester-Boxford,15.254370502270476,Gloucester,1999,67888.0,773,x_hh_income
Beverly-Andover,15.336875510225218,Beverly,1999,76796.0,774,x_hh_income
Rowley-Lynnfield,15.362293556244408,Rowley,1999,88384.0,775,x_hh_income
Lynn-Ipswich,15.380850893825723,Lynn,1999,53153.0,776,x_hh_income
Methuen-Newburyport,15.49621321495254,Methuen,1999,70598.0,777,x_hh_income
Saugus-Manchester,15.506799112025297,Saugus,1999,78669.0,778,x_hh_income
Gloucester-Swampscott,15.517247717133625,Gloucester,1999,67888.0,779,x_hh_income
Salem-Georgetown,15.519365983947756,Salem,1999,62640.0,780,x_hh_income
Lawrence-Newburyport,15.606260090799044,Lawrence,1999,39808.0,781,x_hh_income
Ipswich-Andover,15.619722899199228,Ipswich,1999,81490.0,782,x_hh_income
Lawrence-Hamilton,15.70856348237175,Lawrence,1999,39808.0,783,x_hh_income
Amesbury-Middleton,15.72378249702108,Amesbury,1999,73840.0,784,x_hh_income
Andover-Hamilton,15.758343218532286,Andover,1999,124735.0,785,x_hh_income
Gloucester-Peabody,15.890522696154266,Gloucester,1999,67888.0,786,x_hh_income
Lawrence-Beverly,16.00590447862675,Lawrence,1999,39808.0,787,x_hh_income
Methuen-Danvers,16.053745356476842,Methuen,1999,70598.0,788,x_hh_income
Amesbury-Hamilton,16.097453923288366,Amesbury,1999,73840.0,789,x_hh_income
Danvers-Newburyport,16.133658382863327,Danvers,1999,83617.0,790,x_hh_income
Salem-Andover,16.204989390768823,Salem,1999,62640.0,791,x_hh_income
Salem-Newbury,16.43744294243522,Salem,1999,62640.0,792,x_hh_income
Peabody-Methuen,16.439975632764526,Peabody,1999,77998.0,793,x_hh_income
Lynn-Andover,16.481500340819096,Lynn,1999,53153.0,794,x_hh_income
Beverly-Groveland,16.495403844308367,Beverly,1999,76796.0,795,x_hh_income
Methuen-Ipswich,16.565586663887842,Methuen,1999,70598.0,796,x_hh_income
Lynn-Gloucester,16.5739121803416,Lynn,1999,53153.0,797,x_hh_income
Peabody-Groveland,16.58896113190994,Peabody,1999,77998.0,798,x_hh_income
Haverhill-Danvers,16.742845521517314,Haverhill,1999,70891.0,799,x_hh_income
Rockport-Newbury,16.829522160879524,Rockport,1999,72069.0,800,x_hh_income
Groveland-Lynnfield,16.880364255363606,Groveland,1999,98395.0,801,x_hh_income
Salem-North Andover,16.994939653374267,Salem,1999,62640.0,802,x_hh_income
Rockport-Danvers,17.068055413321378,Rockport,1999,72069.0,803,x_hh_income
Marblehead-Georgetown,17.078385759064822,Marblehead,1999,105225.0,804,x_hh_income
Newburyport-Manchester,17.092291070744253,Newburyport,1999,83301.0,805,x_hh_income
Lawrence-Saugus,17.09637317499067,Lawrence,1999,39808.0,806,x_hh_income
Haverhill-Hamilton,17.117663719384304,Haverhill,1999,70891.0,807,x_hh_income
Andover-Swampscott,17.159933115955244,Andover,1999,124735.0,808,x_hh_income
Beverly-Newburyport,17.162864608528,Beverly,1999,76796.0,809,x_hh_income
Amesbury-Andover,17.210854155649013,Amesbury,1999,73840.0,810,x_hh_income
Rockport-Marblehead,17.214476041323557,Rockport,1999,72069.0,811,x_hh_income
Lynn-Georgetown,17.229769197983277,Lynn,1999,53153.0,812,x_hh_income
Saugus-North Andover,17.24339387979217,Saugus,1999,78669.0,813,x_hh_income
Swampscott-Georgetown,17.25751644148076,Swampscott,1999,101129.0,814,x_hh_income
Andover-Newburyport,17.403607755179664,Andover,1999,124735.0,815,x_hh_income
Gloucester-Newburyport,17.439456653732286,Gloucester,1999,67888.0,816,x_hh_income
Lawrence-Salem,17.441359298529775,Lawrence,1999,39808.0,817,x_hh_income
Gloucester-Georgetown,17.51726905403272,Gloucester,1999,67888.0,818,x_hh_income
Haverhill-Lynnfield,17.549864906635467,Haverhill,1999,70891.0,819,x_hh_income
Salisbury-Marblehead,17.559301459631794,Salisbury,1999,70147.0,820,x_hh_income
Lynn-North Andover,17.793342757604016,Lynn,1999,53153.0,821,x_hh_income
Rockport-Newburyport,17.911944205966048,Rockport,1999,72069.0,822,x_hh_income
Methuen-Hamilton,17.956172618128836,Methuen,1999,70598.0,823,x_hh_income
Saugus-Ipswich,17.993398810778938,Saugus,1999,78669.0,824,x_hh_income
Lawrence-Lynn,18.016548938946595,Lawrence,1999,39808.0,825,x_hh_income
Haverhill-Peabody,18.069702789019665,Haverhill,1999,70891.0,826,x_hh_income
North Andover-Swampscott,18.268783059518945,North Andover,1999,103461.0,827,x_hh_income
Saugus-Georgetown,18.28075555882961,Saugus,1999,78669.0,828,x_hh_income
Newbury-Swampscott,18.31949668550949,Newbury,1999,106459.0,829,x_hh_income
Salem-Rockport,18.37551040891196,Salem,1999,62640.0,830,x_hh_income
Andover-Marblehead,18.48502227795016,Andover,1999,124735.0,831,x_hh_income
Lynn-Newbury,18.534331766607817,Lynn,1999,53153.0,832,x_hh_income
Lawrence-Swampscott,18.584554664701063,Lawrence,1999,39808.0,833,x_hh_income
Amesbury-Danvers,18.594489097577085,Amesbury,1999,73840.0,834,x_hh_income
Groveland-Manchester,18.708926594679557,Groveland,1999,98395.0,835,x_hh_income
Rockport-Boxford,18.711609389647226,Rockport,1999,72069.0,836,x_hh_income
Methuen-Beverly,18.785638006009563,Methuen,1999,70598.0,837,x_hh_income
Gloucester-Lynnfield,18.87052226289195,Gloucester,1999,67888.0,838,x_hh_income
Peabody-Newburyport,19.090854751609864,Peabody,1999,77998.0,839,x_hh_income
North Andover-Marblehead,19.10744090093772,North Andover,1999,103461.0,840,x_hh_income
Haverhill-Beverly,19.17226391554763,Haverhill,1999,70891.0,841,x_hh_income
North Andover-Manchester,19.60006908182719,North Andover,1999,103461.0,842,x_hh_income
Lawrence-Marblehead,19.63388197068381,Lawrence,1999,39808.0,843,x_hh_income
Rockport-Georgetown,19.77429283323797,Rockport,1999,72069.0,844,x_hh_income
Salem-Merrimac,19.79855980776882,Salem,1999,62640.0,845,x_hh_income
Rockport-Swampscott,19.832944954636584,Rockport,1999,72069.0,846,x_hh_income
Peabody-Rockport,19.98039290805461,Peabody,1999,77998.0,847,x_hh_income
Beverly-Amesbury,20.02087689393048,Beverly,1999,76796.0,848,x_hh_income
Methuen-Saugus,20.282260549932783,Methuen,1999,70598.0,849,x_hh_income
Salisbury-Saugus,20.307828831078293,Salisbury,1999,70147.0,850,x_hh_income
Newburyport-Lynnfield,20.356616448714604,Newburyport,1999,83301.0,851,x_hh_income
Andover-Manchester,20.460129563002276,Andover,1999,124735.0,852,x_hh_income
Salem-Methuen,20.498835495217957,Salem,1999,62640.0,853,x_hh_income
Gloucester-Saugus,20.54127361270812,Gloucester,1999,67888.0,854,x_hh_income
Amesbury-Manchester,20.6275022248012,Amesbury,1999,73840.0,855,x_hh_income
Lawrence-Manchester,20.681324564641606,Lawrence,1999,39808.0,856,x_hh_income
Gloucester-Merrimac,20.736345367951014,Gloucester,1999,67888.0,857,x_hh_income
Lynn-Rockport,20.8839856108975,Lynn,1999,53153.0,858,x_hh_income
Lynn-Methuen,21.167875343829028,Lynn,1999,53153.0,859,x_hh_income
Peabody-Amesbury,21.238386179045992,Peabody,1999,77998.0,860,x_hh_income
Salem-Newburyport,21.242177897894187,Salem,1999,62640.0,861,x_hh_income
Gloucester-Amesbury,21.26372255824968,Gloucester,1999,67888.0,862,x_hh_income
Groveland-Marblehead,21.36451126434109,Groveland,1999,98395.0,863,x_hh_income
Lynn-Merrimac,21.4528307283514,Lynn,1999,53153.0,864,x_hh_income
Groveland-Swampscott,21.51867720344836,Groveland,1999,98395.0,865,x_hh_income
Methuen-Swampscott,21.70454772517829,Methuen,1999,70598.0,866,x_hh_income
Amesbury-Rockport,21.77235614252541,Amesbury,1999,73840.0,867,x_hh_income
Salem-Haverhill,21.799231471755373,Salem,1999,62640.0,868,x_hh_income
Amesbury-Lynnfield,22.042808363077896,Amesbury,1999,73840.0,869,x_hh_income
Newburyport-Marblehead,22.178447256449367,Newburyport,1999,83301.0,870,x_hh_income
Saugus-Groveland,22.26165384218731,Saugus,1999,78669.0,871,x_hh_income
Haverhill-Manchester,22.36945438661742,Haverhill,1999,70891.0,872,x_hh_income
Rockport-Groveland,22.392578038158675,Rockport,1999,72069.0,873,x_hh_income
Methuen-Marblehead,22.64541588297923,Methuen,1999,70598.0,874,x_hh_income
Rockport-Lynnfield,22.91466328343544,Rockport,1999,72069.0,875,x_hh_income
Haverhill-Saugus,22.955894710502044,Haverhill,1999,70891.0,876,x_hh_income
Lynn-Haverhill,23.0026220104014,Lynn,1999,53153.0,877,x_hh_income
Methuen-Manchester,23.089600480819158,Methuen,1999,70598.0,878,x_hh_income
Newburyport-Swampscott,23.15133451011449,Newburyport,1999,83301.0,879,x_hh_income
Gloucester-North Andover,23.172294105998617,Gloucester,1999,67888.0,880,x_hh_income
Haverhill-Swampscott,23.30482078720043,Haverhill,1999,70891.0,881,x_hh_income
Lynn-Newburyport,23.432829441197484,Lynn,1999,53153.0,882,x_hh_income
Haverhill-Marblehead,23.68056099428028,Haverhill,1999,70891.0,883,x_hh_income
Salem-Amesbury,23.871491956767866,Salem,1999,62640.0,884,x_hh_income
Lawrence-Gloucester,24.42470131212901,Lawrence,1999,39808.0,885,x_hh_income
Gloucester-Andover,24.547384939302,Gloucester,1999,67888.0,886,x_hh_income
Rockport-Saugus,24.827248081289227,Rockport,1999,72069.0,887,x_hh_income
Haverhill-Gloucester,24.95035273715314,Haverhill,1999,70891.0,888,x_hh_income
Amesbury-Marblehead,25.056378726242865,Amesbury,1999,73840.0,889,x_hh_income
Saugus-Newburyport,25.312493514949253,Saugus,1999,78669.0,890,x_hh_income
Amesbury-Swampscott,25.72700610367984,Amesbury,1999,73840.0,891,x_hh_income
Lynn-Amesbury,25.86689109358219,Lynn,1999,53153.0,892,x_hh_income
Rockport-North Andover,25.970085084054105,Rockport,1999,72069.0,893,x_hh_income
Gloucester-Methuen,26.487426371561423,Gloucester,1999,67888.0,894,x_hh_income
Haverhill-Rockport,26.915489928836628,Haverhill,1999,70891.0,895,x_hh_income
Amesbury-Saugus,27.268306509975,Amesbury,1999,73840.0,896,x_hh_income
Lawrence-Rockport,27.33693396290136,Lawrence,1999,39808.0,897,x_hh_income
Rockport-Andover,27.740646256643792,Rockport,1999,72069.0,898,x_hh_income
Methuen-Rockport,29.08233974307388,Methuen,1999,70598.0,899,x_hh_income
Lynn-Swampscott,1.196055302079143,Lynn,2009,46944.0,900,x_hh_income
Lawrence-North Andover,1.5855866438822594,Lawrence,2009,34372.0,901,x_hh_income
Salem-Swampscott,1.9363245470077504,Salem,2009,61917.0,902,x_hh_income
Salem-Marblehead,2.361965084725948,Salem,2009,61917.0,903,x_hh_income
Lawrence-Andover,2.4075788470636974,Lawrence,2009,34372.0,904,x_hh_income
Lynn-Salem,2.620759071282193,Lynn,2009,46944.0,905,x_hh_income
Swampscott-Marblehead,2.7700866048205146,Swampscott,2009,98628.0,906,x_hh_income
Beverly-Danvers,2.820942616776508,Beverly,2009,72449.0,907,x_hh_income
Peabody-Lynnfield,3.0211280959779665,Peabody,2009,71192.0,908,x_hh_income
Lawrence-Methuen,3.190858545165007,Lawrence,2009,34372.0,909,x_hh_income
Peabody-Danvers,3.3831848090871595,Peabody,2009,71192.0,910,x_hh_income
Methuen-North Andover,3.582984079375072,Methuen,2009,67179.0,911,x_hh_income
Andover-North Andover,3.5890416313744566,Andover,2009,120621.0,912,x_hh_income
Danvers-Topsfield,3.717251074636475,Danvers,2009,81836.0,913,x_hh_income
Salisbury-Georgetown,3.814898481551445,Salisbury,2009,68369.0,914,x_hh_income
Amesbury-Newburyport,3.8692811155221,Amesbury,2009,81465.0,915,x_hh_income
Lynn-Marblehead,3.9489579065240856,Lynn,2009,46944.0,916,x_hh_income
Ipswich-Hamilton,4.140077970284551,Ipswich,2009,87819.0,917,x_hh_income
Salem-Peabody,4.141631838811724,Salem,2009,61917.0,918,x_hh_income
Lynn-Saugus,4.160763648971105,Lynn,2009,46944.0,919,x_hh_income
Merrimac-Georgetown,4.28828278923016,Merrimac,2009,82061.0,920,x_hh_income
Gloucester-Rockport,4.3171524484408135,Gloucester,2009,65749.0,921,x_hh_income
Salem-Beverly,4.327777882741018,Salem,2009,61917.0,922,x_hh_income
Beverly-Hamilton,4.72845942483406,Beverly,2009,72449.0,923,x_hh_income
Haverhill-Groveland,4.762942120764938,Haverhill,2009,67325.0,924,x_hh_income
Peabody-Beverly,4.935838087070542,Peabody,2009,71192.0,925,x_hh_income
Lynn-Peabody,4.94029677394803,Lynn,2009,46944.0,926,x_hh_income
Haverhill-Methuen,4.97318960159047,Haverhill,2009,67325.0,927,x_hh_income
Newbury-Newburyport,5.008180269711917,Newbury,2009,98942.0,928,x_hh_income
Beverly-Marblehead,5.037819794778186,Beverly,2009,72449.0,929,x_hh_income
Gloucester-Manchester,5.06495176646527,Gloucester,2009,65749.0,930,x_hh_income
Ipswich-Newbury,5.0819856969992605,Ipswich,2009,87819.0,931,x_hh_income
Hamilton-Manchester,5.254430247077268,Hamilton,2009,108375.0,932,x_hh_income
Peabody-Swampscott,5.289150594497587,Peabody,2009,71192.0,933,x_hh_income
Methuen-Andover,5.306090018823177,Methuen,2009,67179.0,934,x_hh_income
Salem-Danvers,5.330710306255406,Salem,2009,61917.0,935,x_hh_income
Danvers-Hamilton,5.335146344153019,Danvers,2009,81836.0,936,x_hh_income
Saugus-Swampscott,5.349151489056062,Saugus,2009,77178.0,937,x_hh_income
Saugus-Lynnfield,5.433577113105851,Saugus,2009,77178.0,938,x_hh_income
Peabody-Middleton,5.5454252943224684,Peabody,2009,71192.0,939,x_hh_income
Newbury-Groveland,5.590551585369322,Newbury,2009,98942.0,940,x_hh_income
Amesbury-Groveland,5.917174839382962,Amesbury,2009,81465.0,941,x_hh_income
Danvers-Lynnfield,5.964400140329401,Danvers,2009,81836.0,942,x_hh_income
Beverly-Manchester,5.971410704235797,Beverly,2009,72449.0,943,x_hh_income
Haverhill-North Andover,6.005102278445393,Haverhill,2009,67325.0,944,x_hh_income
Beverly-Swampscott,6.252890130243487,Beverly,2009,72449.0,945,x_hh_income
Lynn-Lynnfield,6.268752525050366,Lynn,2009,46944.0,946,x_hh_income
Peabody-Saugus,6.286835159897371,Peabody,2009,71192.0,947,x_hh_income
Beverly-Middleton,6.352256480398708,Beverly,2009,72449.0,948,x_hh_income
Peabody-Marblehead,6.446932447408488,Peabody,2009,71192.0,949,x_hh_income
Salem-Saugus,6.465266029224285,Salem,2009,61917.0,950,x_hh_income
Middleton-Hamilton,6.512709111452249,Middleton,2009,95330.0,951,x_hh_income
Salem-Lynnfield,6.587860172732203,Salem,2009,61917.0,952,x_hh_income
Lynnfield-Boxford,6.601916701304433,Lynnfield,2009,95180.0,953,x_hh_income
Merrimac-Newburyport,6.769292675011802,Merrimac,2009,82061.0,954,x_hh_income
North Andover-Georgetown,6.802750263821978,North Andover,2009,99691.0,955,x_hh_income
Lynn-Beverly,6.870577048901468,Lynn,2009,46944.0,956,x_hh_income
Georgetown-Boxford,6.878720081064147,Georgetown,2009,110703.0,957,x_hh_income
Lawrence-Haverhill,6.909402253317068,Lawrence,2009,34372.0,958,x_hh_income
Danvers-Marblehead,6.956299833777334,Danvers,2009,81836.0,959,x_hh_income
Swampscott-Lynnfield,7.077581548126293,Swampscott,2009,98628.0,960,x_hh_income
Danvers-Swampscott,7.138617286692019,Danvers,2009,81836.0,961,x_hh_income
Ipswich-Georgetown,7.303851120504134,Ipswich,2009,87819.0,962,x_hh_income
Lynn-Danvers,7.307373189110715,Lynn,2009,46944.0,963,x_hh_income
Amesbury-Newbury,7.5010648416583505,Amesbury,2009,81465.0,964,x_hh_income
Haverhill-Georgetown,7.509617320152967,Haverhill,2009,67325.0,965,x_hh_income
Ipswich-Middleton,7.724247814786984,Ipswich,2009,87819.0,966,x_hh_income
Merrimac-North Andover,7.740175664835019,Merrimac,2009,82061.0,967,x_hh_income
Beverly-Lynnfield,7.932323713286167,Beverly,2009,72449.0,968,x_hh_income
Newburyport-Georgetown,7.985919998287651,Newburyport,2009,82912.0,969,x_hh_income
Saugus-Marblehead,8.109540994969315,Saugus,2009,77178.0,970,x_hh_income
Marblehead-Manchester,8.114360343705243,Marblehead,2009,105511.0,971,x_hh_income
Lawrence-Georgetown,8.367780755084983,Lawrence,2009,34372.0,972,x_hh_income
Danvers-Manchester,8.406932757250539,Danvers,2009,81836.0,973,x_hh_income
Danvers-Ipswich,8.419675912179603,Danvers,2009,81836.0,974,x_hh_income
Ipswich-Manchester,8.526754212020727,Ipswich,2009,87819.0,975,x_hh_income
Peabody-Hamilton,8.6667657317385,Peabody,2009,71192.0,976,x_hh_income
Beverly-Ipswich,8.687484950177778,Beverly,2009,72449.0,977,x_hh_income
Newbury-Hamilton,8.708197936264018,Newbury,2009,98942.0,978,x_hh_income
Methuen-Groveland,8.742235481874381,Methuen,2009,67179.0,979,x_hh_income
Rowley-Topsfield,8.781965738283064,Rowley,2009,81403.0,980,x_hh_income
Gloucester-Hamilton,8.789220302849722,Gloucester,2009,65749.0,981,x_hh_income
Ipswich-Newburyport,8.794455982710373,Ipswich,2009,87819.0,982,x_hh_income
Salem-Middleton,8.816292246351624,Salem,2009,61917.0,983,x_hh_income
North Andover-Middleton,8.861898890882394,North Andover,2009,99691.0,984,x_hh_income
Marblehead-Lynnfield,8.946003625179499,Marblehead,2009,105511.0,985,x_hh_income
Amesbury-Georgetown,9.053987393332404,Amesbury,2009,81465.0,986,x_hh_income
Salem-Hamilton,9.056235129047684,Salem,2009,61917.0,987,x_hh_income
Salem-Manchester,9.064067512897635,Salem,2009,61917.0,988,x_hh_income
Lawrence-Groveland,9.218136735579188,Lawrence,2009,34372.0,989,x_hh_income
Haverhill-Andover,9.313462010627669,Haverhill,2009,67325.0,990,x_hh_income
Rockport-Manchester,9.32182162171862,Rockport,2009,76745.0,991,x_hh_income
Andover-Boxford,9.39963004524344,Andover,2009,120621.0,992,x_hh_income
Methuen-Georgetown,9.416447742331538,Methuen,2009,67179.0,993,x_hh_income
Haverhill-Amesbury,9.432995428782732,Haverhill,2009,67325.0,994,x_hh_income
Marblehead-Hamilton,9.476531826064932,Marblehead,2009,105511.0,995,x_hh_income
Saugus-Danvers,9.57372625400376,Saugus,2009,77178.0,996,x_hh_income
Hamilton-Georgetown,9.644274943153622,Hamilton,2009,108375.0,997,x_hh_income
Lawrence-Middleton,9.746248479830118,Lawrence,2009,34372.0,998,x_hh_income
Andover-Georgetown,9.747505053932809,Andover,2009,120621.0,999,x_hh_income
Haverhill-Salisbury,10.109357689480698,Haverhill,2009,67325.0,1000,x_hh_income
Beverly-Saugus,10.167938912426532,Beverly,2009,72449.0,1001,x_hh_income
Danvers-Georgetown,10.201636133036132,Danvers,2009,81836.0,1002,x_hh_income
Andover-Lynnfield,10.264085646401904,Andover,2009,120621.0,1003,x_hh_income
Gloucester-Ipswich,10.286158546833445,Gloucester,2009,65749.0,1004,x_hh_income
Lynn-Boxford,10.36432465025636,Lynn,2009,46944.0,1005,x_hh_income
Swampscott-Topsfield,10.457407210268777,Swampscott,2009,98628.0,1006,x_hh_income
Ipswich-Groveland,10.50318592490948,Ipswich,2009,87819.0,1007,x_hh_income
North Andover-Rowley,10.595961011815945,North Andover,2009,99691.0,1008,x_hh_income
Swampscott-Manchester,10.59850211551116,Swampscott,2009,98628.0,1009,x_hh_income
Marblehead-Topsfield,10.634881963318213,Marblehead,2009,105511.0,1010,x_hh_income
Peabody-Manchester,10.89742855278487,Peabody,2009,71192.0,1011,x_hh_income
Gloucester-Beverly,10.9558361024831,Gloucester,2009,65749.0,1012,x_hh_income
Swampscott-Hamilton,10.979043471364784,Swampscott,2009,98628.0,1013,x_hh_income
Manchester-Boxford,11.062451325444878,,2009,,1014,x_hh_income
Merrimac-Middleton,11.088968260199872,Merrimac,2009,82061.0,1015,x_hh_income
Danvers-Newbury,11.227650685583374,Danvers,2009,81836.0,1016,x_hh_income
Hamilton-Lynnfield,11.276499284588269,Hamilton,2009,108375.0,1017,x_hh_income
Andover-Groveland,11.297377400068251,Andover,2009,120621.0,1018,x_hh_income
Haverhill-Newburyport,11.334324255299892,Haverhill,2009,67325.0,1019,x_hh_income
Saugus-Boxford,11.577205900611634,Saugus,2009,77178.0,1020,x_hh_income
Lynn-Hamilton,11.58051109203177,Lynn,2009,46944.0,1021,x_hh_income
Lynn-Manchester,11.605556675732252,Lynn,2009,46944.0,1022,x_hh_income
Peabody-Ipswich,11.758579459620153,Peabody,2009,71192.0,1023,x_hh_income
North Andover-Lynnfield,11.938911532163392,North Andover,2009,99691.0,1024,x_hh_income
Lawrence-Lynnfield,11.95438781934023,Lawrence,2009,34372.0,1025,x_hh_income
Peabody-Andover,12.063527257128282,Peabody,2009,71192.0,1026,x_hh_income
Amesbury-Ipswich,12.148935466625495,Amesbury,2009,81465.0,1027,x_hh_income
Lawrence-Rowley,12.169708775426864,Lawrence,2009,34372.0,1028,x_hh_income
Rockport-Hamilton,12.217801923766386,Rockport,2009,76745.0,1029,x_hh_income
Beverly-Georgetown,12.234465974400331,Beverly,2009,72449.0,1030,x_hh_income
Peabody-Georgetown,12.41794498133533,Peabody,2009,71192.0,1031,x_hh_income
Methuen-Topsfield,12.442101289657243,Methuen,2009,67179.0,1032,x_hh_income
Danvers-North Andover,12.472701117800066,Danvers,2009,81836.0,1033,x_hh_income
Danvers-Andover,12.515988078045464,Danvers,2009,81836.0,1034,x_hh_income
Rockport-Ipswich,12.51727943650737,Rockport,2009,76745.0,1035,x_hh_income
Beverly-Newbury,12.52232559194136,Beverly,2009,72449.0,1036,x_hh_income
Newburyport-Hamilton,12.895687904682754,Newburyport,2009,82912.0,1037,x_hh_income
Gloucester-Marblehead,12.899264511038684,Gloucester,2009,65749.0,1038,x_hh_income
Salem-Ipswich,12.964355516829128,Salem,2009,61917.0,1039,x_hh_income
Methuen-Newbury,12.969386349249572,Methuen,2009,67179.0,1040,x_hh_income
Peabody-North Andover,12.983646178047747,Peabody,2009,71192.0,1041,x_hh_income
Georgetown-Lynnfield,13.00013446141318,Georgetown,2009,110703.0,1042,x_hh_income
Haverhill-Middleton,13.045684163488096,Haverhill,2009,67325.0,1043,x_hh_income
Gloucester-Danvers,13.162132013870128,Gloucester,2009,65749.0,1044,x_hh_income
Lawrence-Danvers,13.219430987655702,Lawrence,2009,34372.0,1045,x_hh_income
Lawrence-Peabody,13.34602148618582,Lawrence,2009,34372.0,1046,x_hh_income
Ipswich-North Andover,13.514457314090834,Ipswich,2009,87819.0,1047,x_hh_income
Andover-Rowley,13.542872599968398,Andover,2009,120621.0,1048,x_hh_income
Newbury-Manchester,13.555635495860168,Newbury,2009,98942.0,1049,x_hh_income
Groveland-Hamilton,13.56794630071523,Groveland,2009,91531.0,1050,x_hh_income
Ipswich-Marblehead,13.58268546146308,Ipswich,2009,87819.0,1051,x_hh_income
Amesbury-North Andover,13.642329098655866,Amesbury,2009,81465.0,1052,x_hh_income
Newburyport-Boxford,13.787627617280872,Newburyport,2009,82912.0,1053,x_hh_income
Ipswich-Lynnfield,13.8728960493289,Ipswich,2009,87819.0,1054,x_hh_income
Lynnfield-Manchester,13.902776957218602,Lynnfield,2009,95180.0,1055,x_hh_income
North Andover-Newburyport,14.04076001068662,North Andover,2009,99691.0,1056,x_hh_income
Salem-Gloucester,14.081055789442749,Salem,2009,61917.0,1057,x_hh_income
Peabody-Newbury,14.101567271065784,Peabody,2009,71192.0,1058,x_hh_income
Methuen-Amesbury,14.19260795563816,Methuen,2009,67179.0,1059,x_hh_income
Merrimac-Danvers,14.486994630142885,Merrimac,2009,82061.0,1060,x_hh_income
North Andover-Hamilton,14.529339262337508,North Andover,2009,99691.0,1061,x_hh_income
Saugus-Hamilton,14.6134452953004,Saugus,2009,77178.0,1062,x_hh_income
Haverhill-Ipswich,14.669865718574146,Haverhill,2009,67325.0,1063,x_hh_income
Georgetown-Manchester,14.883813332484069,Georgetown,2009,110703.0,1064,x_hh_income
Ipswich-Swampscott,14.900666267532348,Ipswich,2009,87819.0,1065,x_hh_income
Lawrence-Ipswich,14.938465774524616,Lawrence,2009,34372.0,1066,x_hh_income
Beverly-Rockport,15.074415061446627,Beverly,2009,72449.0,1067,x_hh_income
Lawrence-Amesbury,15.087670934599409,Lawrence,2009,34372.0,1068,x_hh_income
Methuen-Lynnfield,15.14039062640831,Methuen,2009,67179.0,1069,x_hh_income
Saugus-Andover,15.162806374607642,Saugus,2009,77178.0,1070,x_hh_income
Gloucester-Salisbury,15.183458969627928,Gloucester,2009,65749.0,1071,x_hh_income
Beverly-North Andover,15.202946214049929,Beverly,2009,72449.0,1072,x_hh_income
Gloucester-Boxford,15.254370502270476,Gloucester,2009,65749.0,1073,x_hh_income
Beverly-Andover,15.336875510225218,Beverly,2009,72449.0,1074,x_hh_income
Rowley-Lynnfield,15.362293556244408,Rowley,2009,81403.0,1075,x_hh_income
Lynn-Ipswich,15.380850893825723,Lynn,2009,46944.0,1076,x_hh_income
Methuen-Newburyport,15.49621321495254,Methuen,2009,67179.0,1077,x_hh_income
