town_low,town_high,distance_mi,rank,category,hispanic_pct,school_to_school
Beverly,Salem,4.327777882741018,22,hispanic_pct_high,43.9,Beverly-Salem
Hamilton,Beverly,4.72845942483406,23,hispanic_pct_high,14.9,Hamilton-Beverly
Groveland,Haverhill,4.762942120764938,24,hispanic_pct_high,40.9,Groveland-Haverhill
Beverly,Peabody,4.935838087070542,25,hispanic_pct_high,19.4,Beverly-Peabody
Peabody,Lynn,4.94029677394803,26,hispanic_pct_high,67.9,Peabody-Lynn
Haverhill,Methuen,4.97318960159047,27,hispanic_pct_high,46.0,Haverhill-Methuen
Newbury,Newburyport,5.008180269711917,28,hispanic_pct_high,4.3,Newbury-Newburyport
Marblehead,Beverly,5.037819794778186,29,hispanic_pct_high,14.9,Marblehead-Beverly
Manchester,Gloucester,5.06495176646527,30,hispanic_pct_high,12.9,Manchester-Gloucester
Newbury,Ipswich,5.0819856969992605,31,hispanic_pct_high,7.1,Newbury-Ipswich
Manchester,Hamilton,5.254430247077268,32,hispanic_pct_high,5.2,Manchester-Hamilton
Swampscott,Peabody,5.289150594497587,33,hispanic_pct_high,19.4,Swampscott-Peabody
Andover,Methuen,5.306090018823177,34,hispanic_pct_high,46.0,Andover-Methuen
Danvers,Salem,5.330710306255406,35,hispanic_pct_high,43.9,Danvers-Salem
Hamilton,Danvers,5.335146344153019,36,hispanic_pct_high,9.1,Hamilton-Danvers
Swampscott,Saugus,5.349151489056062,37,hispanic_pct_high,22.8,Swampscott-Saugus
Lynnfield,Saugus,5.433577113105851,38,hispanic_pct_high,22.8,Lynnfield-Saugus
Middleton,Peabody,5.5454252943224684,39,hispanic_pct_high,19.4,Middleton-Peabody
Newbury,Groveland,5.590551585369322,40,hispanic_pct_high,6.0,Newbury-Groveland
Groveland,Amesbury,5.917174839382962,41,hispanic_pct_high,9.7,Groveland-Amesbury
Lynnfield,Danvers,5.964400140329401,42,hispanic_pct_high,9.1,Lynnfield-Danvers
Manchester,Beverly,5.971410704235797,43,hispanic_pct_high,14.9,Manchester-Beverly
North Andover,Haverhill,6.005102278445393,44,hispanic_pct_high,40.9,North Andover-Haverhill
Swampscott,Beverly,6.252890130243487,45,hispanic_pct_high,14.9,Swampscott-Beverly
Lynnfield,Lynn,6.268752525050366,46,hispanic_pct_high,67.9,Lynnfield-Lynn
Peabody,Saugus,6.286835159897371,47,hispanic_pct_high,22.8,Peabody-Saugus
Middleton,Beverly,6.352256480398708,48,hispanic_pct_high,14.9,Middleton-Beverly
Marblehead,Peabody,6.446932447408488,49,hispanic_pct_high,19.4,Marblehead-Peabody
Saugus,Salem,6.465266029224285,50,hispanic_pct_high,43.9,Saugus-Salem
Middleton,Hamilton,6.512709111452249,51,hispanic_pct_high,5.2,Middleton-Hamilton
Lynnfield,Salem,6.587860172732203,52,hispanic_pct_high,43.9,Lynnfield-Salem
Boxford,Lynnfield,6.601916701304433,53,hispanic_pct_high,5.8,Boxford-Lynnfield
Newburyport,Merrimac,6.769292675011802,54,hispanic_pct_high,6.0,Newburyport-Merrimac
Georgetown,North Andover,6.802750263821978,55,hispanic_pct_high,13.5,Georgetown-North Andover
Beverly,Lynn,6.870577048901468,56,hispanic_pct_high,67.9,Beverly-Lynn
Georgetown,Boxford,6.878720081064147,57,hispanic_pct_high,3.1,Georgetown-Boxford
Haverhill,Lawrence,6.909402253317068,58,hispanic_pct_high,93.8,Haverhill-Lawrence
Marblehead,Danvers,6.956299833777334,59,hispanic_pct_high,9.1,Marblehead-Danvers
Lynnfield,Swampscott,7.077581548126293,60,hispanic_pct_high,12.1,Lynnfield-Swampscott
Danvers,Swampscott,7.138617286692019,61,hispanic_pct_high,12.1,Danvers-Swampscott
Georgetown,Ipswich,7.303851120504134,62,hispanic_pct_high,7.1,Georgetown-Ipswich
Danvers,Lynn,7.307373189110715,63,hispanic_pct_high,67.9,Danvers-Lynn
Newbury,Amesbury,7.5010648416583505,64,hispanic_pct_high,9.7,Newbury-Amesbury
Georgetown,Haverhill,7.509617320152967,65,hispanic_pct_high,40.9,Georgetown-Haverhill
Middleton,Ipswich,7.724247814786984,66,hispanic_pct_high,7.1,Middleton-Ipswich
Merrimac,North Andover,7.740175664835019,67,hispanic_pct_high,13.5,Merrimac-North Andover
Lynnfield,Beverly,7.932323713286167,68,hispanic_pct_high,14.9,Lynnfield-Beverly
Georgetown,Newburyport,7.985919998287651,69,hispanic_pct_high,4.3,Georgetown-Newburyport
Marblehead,Saugus,8.109540994969315,70,hispanic_pct_high,22.8,Marblehead-Saugus
Manchester,Marblehead,8.114360343705243,71,hispanic_pct_high,6.9,Manchester-Marblehead
Georgetown,Lawrence,8.367780755084983,72,hispanic_pct_high,93.8,Georgetown-Lawrence
Manchester,Danvers,8.406932757250539,73,hispanic_pct_high,9.1,Manchester-Danvers
Ipswich,Danvers,8.419675912179603,74,hispanic_pct_high,9.1,Ipswich-Danvers
Manchester,Ipswich,8.526754212020727,75,hispanic_pct_high,7.1,Manchester-Ipswich
Hamilton,Peabody,8.6667657317385,76,hispanic_pct_high,19.4,Hamilton-Peabody
Ipswich,Beverly,8.687484950177778,77,hispanic_pct_high,14.9,Ipswich-Beverly
Newbury,Hamilton,8.708197936264018,78,hispanic_pct_high,5.2,Newbury-Hamilton
Groveland,Methuen,8.742235481874381,79,hispanic_pct_high,46.0,Groveland-Methuen
Topsfield,Rowley,8.781965738283064,80,hispanic_pct_high,3.9,Topsfield-Rowley
Hamilton,Gloucester,8.789220302849722,81,hispanic_pct_high,12.9,Hamilton-Gloucester
Newburyport,Ipswich,8.794455982710373,82,hispanic_pct_high,7.1,Newburyport-Ipswich
Middleton,Salem,8.816292246351624,83,hispanic_pct_high,43.9,Middleton-Salem
Middleton,North Andover,8.861898890882394,84,hispanic_pct_high,13.5,Middleton-North Andover
Lynnfield,Marblehead,8.946003625179499,85,hispanic_pct_high,6.9,Lynnfield-Marblehead
Georgetown,Amesbury,9.053987393332404,86,hispanic_pct_high,9.7,Georgetown-Amesbury
Hamilton,Salem,9.056235129047684,87,hispanic_pct_high,43.9,Hamilton-Salem
Manchester,Salem,9.064067512897635,88,hispanic_pct_high,43.9,Manchester-Salem
Groveland,Lawrence,9.218136735579188,89,hispanic_pct_high,93.8,Groveland-Lawrence
Andover,Haverhill,9.313462010627669,90,hispanic_pct_high,40.9,Andover-Haverhill
Manchester,Rockport,9.32182162171862,91,hispanic_pct_high,3.6,Manchester-Rockport
Boxford,Andover,9.39963004524344,92,hispanic_pct_high,7.9,Boxford-Andover
Georgetown,Methuen,9.416447742331538,93,hispanic_pct_high,46.0,Georgetown-Methuen
Amesbury,Haverhill,9.432995428782732,94,hispanic_pct_high,40.9,Amesbury-Haverhill
Hamilton,Marblehead,9.476531826064932,95,hispanic_pct_high,6.9,Hamilton-Marblehead
Danvers,Saugus,9.57372625400376,96,hispanic_pct_high,22.8,Danvers-Saugus
Georgetown,Hamilton,9.644274943153622,97,hispanic_pct_high,5.2,Georgetown-Hamilton
Middleton,Lawrence,9.746248479830118,98,hispanic_pct_high,93.8,Middleton-Lawrence
Georgetown,Andover,9.747505053932809,99,hispanic_pct_high,7.9,Georgetown-Andover
Salisbury,Haverhill,10.109357689480698,100,hispanic_pct_high,40.9,Salisbury-Haverhill
Beverly,Saugus,10.167938912426532,101,hispanic_pct_high,22.8,Beverly-Saugus
Georgetown,Danvers,10.201636133036132,102,hispanic_pct_high,9.1,Georgetown-Danvers
Lynnfield,Andover,10.264085646401904,103,hispanic_pct_high,7.9,Lynnfield-Andover
Ipswich,Gloucester,10.286158546833445,104,hispanic_pct_high,12.9,Ipswich-Gloucester
Boxford,Lynn,10.36432465025636,105,hispanic_pct_high,67.9,Boxford-Lynn
Topsfield,Swampscott,10.457407210268777,106,hispanic_pct_high,12.1,Topsfield-Swampscott
Groveland,Ipswich,10.50318592490948,107,hispanic_pct_high,7.1,Groveland-Ipswich
Rowley,North Andover,10.595961011815945,108,hispanic_pct_high,13.5,Rowley-North Andover
Manchester,Swampscott,10.59850211551116,109,hispanic_pct_high,12.1,Manchester-Swampscott
Topsfield,Marblehead,10.634881963318213,110,hispanic_pct_high,6.9,Topsfield-Marblehead
Manchester,Peabody,10.89742855278487,111,hispanic_pct_high,19.4,Manchester-Peabody
Gloucester,Beverly,10.9558361024831,112,hispanic_pct_high,14.9,Gloucester-Beverly
Hamilton,Swampscott,10.979043471364784,113,hispanic_pct_high,12.1,Hamilton-Swampscott
Manchester,Boxford,11.062451325444878,114,hispanic_pct_high,3.1,Manchester-Boxford
Middleton,Merrimac,11.088968260199872,115,hispanic_pct_high,6.0,Middleton-Merrimac
Newbury,Danvers,11.227650685583374,116,hispanic_pct_high,9.1,Newbury-Danvers
Hamilton,Lynnfield,11.276499284588269,117,hispanic_pct_high,5.8,Hamilton-Lynnfield
Groveland,Andover,11.297377400068251,118,hispanic_pct_high,7.9,Groveland-Andover
Newburyport,Haverhill,11.334324255299892,119,hispanic_pct_high,40.9,Newburyport-Haverhill
Boxford,Saugus,11.577205900611634,120,hispanic_pct_high,22.8,Boxford-Saugus
Hamilton,Lynn,11.58051109203177,121,hispanic_pct_high,67.9,Hamilton-Lynn
Manchester,Lynn,11.605556675732252,122,hispanic_pct_high,67.9,Manchester-Lynn
Ipswich,Peabody,11.758579459620153,123,hispanic_pct_high,19.4,Ipswich-Peabody
Lynnfield,North Andover,11.938911532163392,124,hispanic_pct_high,13.5,Lynnfield-North Andover
Lynnfield,Lawrence,11.95438781934023,125,hispanic_pct_high,93.8,Lynnfield-Lawrence
Andover,Peabody,12.063527257128282,126,hispanic_pct_high,19.4,Andover-Peabody
Ipswich,Amesbury,12.148935466625495,127,hispanic_pct_high,9.7,Ipswich-Amesbury
Rowley,Lawrence,12.169708775426864,128,hispanic_pct_high,93.8,Rowley-Lawrence
Rockport,Hamilton,12.217801923766386,129,hispanic_pct_high,5.2,Rockport-Hamilton
Georgetown,Beverly,12.234465974400331,130,hispanic_pct_high,14.9,Georgetown-Beverly
Georgetown,Peabody,12.41794498133533,131,hispanic_pct_high,19.4,Georgetown-Peabody
Topsfield,Methuen,12.442101289657243,132,hispanic_pct_high,46.0,Topsfield-Methuen
Danvers,North Andover,12.472701117800066,133,hispanic_pct_high,13.5,Danvers-North Andover
Andover,Danvers,12.515988078045464,134,hispanic_pct_high,9.1,Andover-Danvers
Rockport,Ipswich,12.51727943650737,135,hispanic_pct_high,7.1,Rockport-Ipswich
Newbury,Beverly,12.52232559194136,136,hispanic_pct_high,14.9,Newbury-Beverly
Newburyport,Hamilton,12.895687904682754,137,hispanic_pct_high,5.2,Newburyport-Hamilton
Marblehead,Gloucester,12.899264511038684,138,hispanic_pct_high,12.9,Marblehead-Gloucester
Ipswich,Salem,12.964355516829128,139,hispanic_pct_high,43.9,Ipswich-Salem
Newbury,Methuen,12.969386349249572,140,hispanic_pct_high,46.0,Newbury-Methuen
North Andover,Peabody,12.983646178047747,141,hispanic_pct_high,19.4,North Andover-Peabody
Georgetown,Lynnfield,13.00013446141318,142,hispanic_pct_high,5.8,Georgetown-Lynnfield
Middleton,Haverhill,13.045684163488096,143,hispanic_pct_high,40.9,Middleton-Haverhill
Danvers,Gloucester,13.162132013870128,144,hispanic_pct_high,12.9,Danvers-Gloucester
Danvers,Lawrence,13.219430987655702,145,hispanic_pct_high,93.8,Danvers-Lawrence
Peabody,Lawrence,13.34602148618582,146,hispanic_pct_high,93.8,Peabody-Lawrence
Ipswich,North Andover,13.514457314090834,147,hispanic_pct_high,13.5,Ipswich-North Andover
Rowley,Andover,13.542872599968398,148,hispanic_pct_high,7.9,Rowley-Andover
Manchester,Newbury,13.555635495860168,149,hispanic_pct_high,3.9,Manchester-Newbury
Hamilton,Groveland,13.56794630071523,150,hispanic_pct_high,6.0,Hamilton-Groveland
Marblehead,Ipswich,13.58268546146308,151,hispanic_pct_high,7.1,Marblehead-Ipswich
Amesbury,North Andover,13.642329098655866,152,hispanic_pct_high,13.5,Amesbury-North Andover
Boxford,Newburyport,13.787627617280872,153,hispanic_pct_high,4.3,Boxford-Newburyport
Lynnfield,Ipswich,13.8728960493289,154,hispanic_pct_high,7.1,Lynnfield-Ipswich
Manchester,Lynnfield,13.902776957218602,155,hispanic_pct_high,5.8,Manchester-Lynnfield
Newburyport,North Andover,14.04076001068662,156,hispanic_pct_high,13.5,Newburyport-North Andover
Gloucester,Salem,14.081055789442749,157,hispanic_pct_high,43.9,Gloucester-Salem
Newbury,Peabody,14.101567271065784,158,hispanic_pct_high,19.4,Newbury-Peabody
Amesbury,Methuen,14.19260795563816,159,hispanic_pct_high,46.0,Amesbury-Methuen
Merrimac,Danvers,14.486994630142885,160,hispanic_pct_high,9.1,Merrimac-Danvers
Hamilton,North Andover,14.529339262337508,161,hispanic_pct_high,13.5,Hamilton-North Andover
Hamilton,Saugus,14.6134452953004,162,hispanic_pct_high,22.8,Hamilton-Saugus
Ipswich,Haverhill,14.669865718574146,163,hispanic_pct_high,40.9,Ipswich-Haverhill
Manchester,Georgetown,14.883813332484069,164,hispanic_pct_high,2.4,Manchester-Georgetown
Ipswich,Swampscott,14.900666267532348,165,hispanic_pct_high,12.1,Ipswich-Swampscott
Ipswich,Lawrence,14.938465774524616,166,hispanic_pct_high,93.8,Ipswich-Lawrence
Rockport,Beverly,15.074415061446627,167,hispanic_pct_high,14.9,Rockport-Beverly
Amesbury,Lawrence,15.087670934599409,168,hispanic_pct_high,93.8,Amesbury-Lawrence
Lynnfield,Methuen,15.14039062640831,169,hispanic_pct_high,46.0,Lynnfield-Methuen
Andover,Saugus,15.162806374607642,170,hispanic_pct_high,22.8,Andover-Saugus
Salisbury,Gloucester,15.183458969627928,171,hispanic_pct_high,12.9,Salisbury-Gloucester
North Andover,Beverly,15.202946214049929,172,hispanic_pct_high,14.9,North Andover-Beverly
Boxford,Gloucester,15.254370502270476,173,hispanic_pct_high,12.9,Boxford-Gloucester
Andover,Beverly,15.336875510225218,174,hispanic_pct_high,14.9,Andover-Beverly
Rowley,Lynnfield,15.362293556244408,175,hispanic_pct_high,5.8,Rowley-Lynnfield
Ipswich,Lynn,15.380850893825723,176,hispanic_pct_high,67.9,Ipswich-Lynn
Newburyport,Methuen,15.49621321495254,177,hispanic_pct_high,46.0,Newburyport-Methuen
Manchester,Saugus,15.506799112025297,178,hispanic_pct_high,22.8,Manchester-Saugus
Swampscott,Gloucester,15.517247717133625,179,hispanic_pct_high,12.9,Swampscott-Gloucester
Georgetown,Salem,15.519365983947756,180,hispanic_pct_high,43.9,Georgetown-Salem
Newburyport,Lawrence,15.606260090799044,181,hispanic_pct_high,93.8,Newburyport-Lawrence
Ipswich,Andover,15.619722899199228,182,hispanic_pct_high,7.9,Ipswich-Andover
Hamilton,Lawrence,15.70856348237175,183,hispanic_pct_high,93.8,Hamilton-Lawrence
Middleton,Amesbury,15.72378249702108,184,hispanic_pct_high,9.7,Middleton-Amesbury
Hamilton,Andover,15.758343218532286,185,hispanic_pct_high,7.9,Hamilton-Andover
Gloucester,Peabody,15.890522696154266,186,hispanic_pct_high,19.4,Gloucester-Peabody
Beverly,Lawrence,16.00590447862675,187,hispanic_pct_high,93.8,Beverly-Lawrence
Danvers,Methuen,16.053745356476842,188,hispanic_pct_high,46.0,Danvers-Methuen
Hamilton,Amesbury,16.097453923288366,189,hispanic_pct_high,9.7,Hamilton-Amesbury
Newburyport,Danvers,16.133658382863327,190,hispanic_pct_high,9.1,Newburyport-Danvers
Andover,Salem,16.204989390768823,191,hispanic_pct_high,43.9,Andover-Salem
Newbury,Salem,16.43744294243522,192,hispanic_pct_high,43.9,Newbury-Salem
Peabody,Methuen,16.439975632764526,193,hispanic_pct_high,46.0,Peabody-Methuen
Andover,Lynn,16.481500340819096,194,hispanic_pct_high,67.9,Andover-Lynn
Groveland,Beverly,16.495403844308367,195,hispanic_pct_high,14.9,Groveland-Beverly
Ipswich,Methuen,16.565586663887842,196,hispanic_pct_high,46.0,Ipswich-Methuen
Gloucester,Lynn,16.5739121803416,197,hispanic_pct_high,67.9,Gloucester-Lynn
Groveland,Peabody,16.58896113190994,198,hispanic_pct_high,19.4,Groveland-Peabody
Danvers,Haverhill,16.742845521517314,199,hispanic_pct_high,40.9,Danvers-Haverhill
Rockport,Newbury,16.829522160879524,200,hispanic_pct_high,3.9,Rockport-Newbury
Lynnfield,Groveland,16.880364255363606,201,hispanic_pct_high,6.0,Lynnfield-Groveland
North Andover,Salem,16.994939653374267,202,hispanic_pct_high,43.9,North Andover-Salem
Rockport,Danvers,17.068055413321378,203,hispanic_pct_high,9.1,Rockport-Danvers
Georgetown,Marblehead,17.078385759064822,204,hispanic_pct_high,6.9,Georgetown-Marblehead
Manchester,Newburyport,17.092291070744253,205,hispanic_pct_high,4.3,Manchester-Newburyport
Saugus,Lawrence,17.09637317499067,206,hispanic_pct_high,93.8,Saugus-Lawrence
Hamilton,Haverhill,17.117663719384304,207,hispanic_pct_high,40.9,Hamilton-Haverhill
Andover,Swampscott,17.159933115955244,208,hispanic_pct_high,12.1,Andover-Swampscott
Newburyport,Beverly,17.162864608528,209,hispanic_pct_high,14.9,Newburyport-Beverly
Andover,Amesbury,17.210854155649013,210,hispanic_pct_high,9.7,Andover-Amesbury
Rockport,Marblehead,17.214476041323557,211,hispanic_pct_high,6.9,Rockport-Marblehead
Georgetown,Lynn,17.229769197983277,212,hispanic_pct_high,67.9,Georgetown-Lynn
North Andover,Saugus,17.24339387979217,213,hispanic_pct_high,22.8,North Andover-Saugus
Georgetown,Swampscott,17.25751644148076,214,hispanic_pct_high,12.1,Georgetown-Swampscott
Newburyport,Andover,17.403607755179664,215,hispanic_pct_high,7.9,Newburyport-Andover
Newburyport,Gloucester,17.439456653732286,216,hispanic_pct_high,12.9,Newburyport-Gloucester
Salem,Lawrence,17.441359298529775,217,hispanic_pct_high,93.8,Salem-Lawrence
Georgetown,Gloucester,17.51726905403272,218,hispanic_pct_high,12.9,Georgetown-Gloucester
Lynnfield,Haverhill,17.549864906635467,219,hispanic_pct_high,40.9,Lynnfield-Haverhill
Salisbury,Marblehead,17.559301459631794,220,hispanic_pct_high,6.9,Salisbury-Marblehead
North Andover,Lynn,17.793342757604016,221,hispanic_pct_high,67.9,North Andover-Lynn
Rockport,Newburyport,17.911944205966048,222,hispanic_pct_high,4.3,Rockport-Newburyport
Hamilton,Methuen,17.956172618128836,223,hispanic_pct_high,46.0,Hamilton-Methuen
Ipswich,Saugus,17.993398810778938,224,hispanic_pct_high,22.8,Ipswich-Saugus
Lynn,Lawrence,18.016548938946595,225,hispanic_pct_high,93.8,Lynn-Lawrence
Peabody,Haverhill,18.069702789019665,226,hispanic_pct_high,40.9,Peabody-Haverhill
Swampscott,North Andover,18.268783059518945,227,hispanic_pct_high,13.5,Swampscott-North Andover
Georgetown,Saugus,18.28075555882961,228,hispanic_pct_high,22.8,Georgetown-Saugus
Newbury,Swampscott,18.31949668550949,229,hispanic_pct_high,12.1,Newbury-Swampscott
Rockport,Salem,18.37551040891196,230,hispanic_pct_high,43.9,Rockport-Salem
Marblehead,Andover,18.48502227795016,231,hispanic_pct_high,7.9,Marblehead-Andover
Newbury,Lynn,18.534331766607817,232,hispanic_pct_high,67.9,Newbury-Lynn
Swampscott,Lawrence,18.584554664701063,233,hispanic_pct_high,93.8,Swampscott-Lawrence
Danvers,Amesbury,18.594489097577085,234,hispanic_pct_high,9.7,Danvers-Amesbury
Manchester,Groveland,18.708926594679557,235,hispanic_pct_high,6.0,Manchester-Groveland
Boxford,Rockport,18.711609389647226,236,hispanic_pct_high,3.6,Boxford-Rockport
Beverly,Methuen,18.785638006009563,237,hispanic_pct_high,46.0,Beverly-Methuen
Lynnfield,Gloucester,18.87052226289195,238,hispanic_pct_high,12.9,Lynnfield-Gloucester
Newburyport,Peabody,19.090854751609864,239,hispanic_pct_high,19.4,Newburyport-Peabody
Marblehead,North Andover,19.10744090093772,240,hispanic_pct_high,13.5,Marblehead-North Andover
Beverly,Haverhill,19.17226391554763,241,hispanic_pct_high,40.9,Beverly-Haverhill
Manchester,North Andover,19.60006908182719,242,hispanic_pct_high,13.5,Manchester-North Andover
Marblehead,Lawrence,19.63388197068381,243,hispanic_pct_high,93.8,Marblehead-Lawrence
Georgetown,Rockport,19.77429283323797,244,hispanic_pct_high,3.6,Georgetown-Rockport
Merrimac,Salem,19.79855980776882,245,hispanic_pct_high,43.9,Merrimac-Salem
Rockport,Swampscott,19.832944954636584,246,hispanic_pct_high,12.1,Rockport-Swampscott
Rockport,Peabody,19.98039290805461,247,hispanic_pct_high,19.4,Rockport-Peabody
Amesbury,Beverly,20.02087689393048,248,hispanic_pct_high,14.9,Amesbury-Beverly
Saugus,Methuen,20.282260549932783,249,hispanic_pct_high,46.0,Saugus-Methuen
Salisbury,Saugus,20.307828831078293,250,hispanic_pct_high,22.8,Salisbury-Saugus
Newburyport,Lynnfield,20.356616448714604,251,hispanic_pct_high,5.8,Newburyport-Lynnfield
Manchester,Andover,20.460129563002276,252,hispanic_pct_high,7.9,Manchester-Andover
Salem,Methuen,20.498835495217957,253,hispanic_pct_high,46.0,Salem-Methuen
Gloucester,Saugus,20.54127361270812,254,hispanic_pct_high,22.8,Gloucester-Saugus
Manchester,Amesbury,20.6275022248012,255,hispanic_pct_high,9.7,Manchester-Amesbury
Manchester,Lawrence,20.681324564641606,256,hispanic_pct_high,93.8,Manchester-Lawrence
Merrimac,Gloucester,20.736345367951014,257,hispanic_pct_high,12.9,Merrimac-Gloucester
Rockport,Lynn,20.8839856108975,258,hispanic_pct_high,67.9,Rockport-Lynn
Methuen,Lynn,21.167875343829028,259,hispanic_pct_high,67.9,Methuen-Lynn
Amesbury,Peabody,21.238386179045992,260,hispanic_pct_high,19.4,Amesbury-Peabody
Newburyport,Salem,21.242177897894187,261,hispanic_pct_high,43.9,Newburyport-Salem
Amesbury,Gloucester,21.26372255824968,262,hispanic_pct_high,12.9,Amesbury-Gloucester
Groveland,Marblehead,21.36451126434109,263,hispanic_pct_high,6.9,Groveland-Marblehead
Merrimac,Lynn,21.4528307283514,264,hispanic_pct_high,67.9,Merrimac-Lynn
Groveland,Swampscott,21.51867720344836,265,hispanic_pct_high,12.1,Groveland-Swampscott
Swampscott,Methuen,21.70454772517829,266,hispanic_pct_high,46.0,Swampscott-Methuen
Rockport,Amesbury,21.77235614252541,267,hispanic_pct_high,9.7,Rockport-Amesbury
Haverhill,Salem,21.799231471755373,268,hispanic_pct_high,43.9,Haverhill-Salem
Lynnfield,Amesbury,22.042808363077896,269,hispanic_pct_high,9.7,Lynnfield-Amesbury
Newburyport,Marblehead,22.178447256449367,270,hispanic_pct_high,6.9,Newburyport-Marblehead
Groveland,Saugus,22.26165384218731,271,hispanic_pct_high,22.8,Groveland-Saugus
Manchester,Haverhill,22.36945438661742,272,hispanic_pct_high,40.9,Manchester-Haverhill
Rockport,Groveland,22.392578038158675,273,hispanic_pct_high,6.0,Rockport-Groveland
Marblehead,Methuen,22.64541588297923,274,hispanic_pct_high,46.0,Marblehead-Methuen
Rockport,Lynnfield,22.91466328343544,275,hispanic_pct_high,5.8,Rockport-Lynnfield
Saugus,Haverhill,22.955894710502044,276,hispanic_pct_high,40.9,Saugus-Haverhill
Haverhill,Lynn,23.0026220104014,277,hispanic_pct_high,67.9,Haverhill-Lynn
Manchester,Methuen,23.089600480819158,278,hispanic_pct_high,46.0,Manchester-Methuen
Newburyport,Swampscott,23.15133451011449,279,hispanic_pct_high,12.1,Newburyport-Swampscott
Gloucester,North Andover,23.172294105998617,280,hispanic_pct_high,13.5,Gloucester-North Andover
Swampscott,Haverhill,23.30482078720043,281,hispanic_pct_high,40.9,Swampscott-Haverhill
Newburyport,Lynn,23.432829441197484,282,hispanic_pct_high,67.9,Newburyport-Lynn
Marblehead,Haverhill,23.68056099428028,283,hispanic_pct_high,40.9,Marblehead-Haverhill
Amesbury,Salem,23.871491956767866,284,hispanic_pct_high,43.9,Amesbury-Salem
Gloucester,Lawrence,24.42470131212901,285,hispanic_pct_high,93.8,Gloucester-Lawrence
Andover,Gloucester,24.547384939302,286,hispanic_pct_high,12.9,Andover-Gloucester
Rockport,Saugus,24.827248081289227,287,hispanic_pct_high,22.8,Rockport-Saugus
Gloucester,Haverhill,24.95035273715314,288,hispanic_pct_high,40.9,Gloucester-Haverhill
Marblehead,Amesbury,25.056378726242865,289,hispanic_pct_high,9.7,Marblehead-Amesbury
Newburyport,Saugus,25.312493514949253,290,hispanic_pct_high,22.8,Newburyport-Saugus
Amesbury,Swampscott,25.72700610367984,291,hispanic_pct_high,12.1,Amesbury-Swampscott
Amesbury,Lynn,25.86689109358219,292,hispanic_pct_high,67.9,Amesbury-Lynn
Rockport,North Andover,25.970085084054105,293,hispanic_pct_high,13.5,Rockport-North Andover
Gloucester,Methuen,26.487426371561423,294,hispanic_pct_high,46.0,Gloucester-Methuen
Rockport,Haverhill,26.915489928836628,295,hispanic_pct_high,40.9,Rockport-Haverhill
Amesbury,Saugus,27.268306509975,296,hispanic_pct_high,22.8,Amesbury-Saugus
Rockport,Lawrence,27.33693396290136,297,hispanic_pct_high,93.8,Rockport-Lawrence
Rockport,Andover,27.740646256643792,298,hispanic_pct_high,7.9,Rockport-Andover
Rockport,Methuen,29.08233974307388,299,hispanic_pct_high,46.0,Rockport-Methuen
