distance_mi,2019_x,2019_y,town_low,town_high,rank,town_ num_x,town_x,mi-una-1979_x,mi-una-1989_x,mi-una-1999_x,mi-una-2006-10_x,mi-una-2011-15_x,1979_x,1989_x,1999_x,2009_x,2015_x,mi-una-1989.1_x,mi-una-1999.1_x,mi-una-2006-10.1_x,mi-una-2011-15.1_x,ch-una-1979-1989_x,ch-una-1989-1999_x,ch-una-1999-2010_x,ch-una-2010-2015_x,ch-pct-1979-1989_x,ch-pct-1989-1999_x,ch-pct-1999-2010_x,ch-pct-2010-2015_x,town_ num_y,town_y,mi-una-1979_y,mi-una-1989_y,mi-una-1999_y,mi-una-2006-10_y,mi-una-2011-15_y,1979_y,1989_y,1999_y,2009_y,2015_y,mi-una-1989.1_y,mi-una-1999.1_y,mi-una-2006-10.1_y,mi-una-2011-15.1_y,ch-una-1979-1989_y,ch-una-1989-1999_y,ch-una-1999-2010_y,ch-una-2010-2015_y,ch-pct-1979-1989_y,ch-pct-1989-1999_y,ch-pct-1999-2010_y,ch-pct-2010-2015_y,school_to_school
3.3831848090871595,73217,89250,Peabody,Danvers,10,229.0,Peabody,20687.0,39800.0,54829.0,65515.0,60596.0,67532.0,76069.0,77998.0,71192.0,60596.0,76069.0,77998.0,71192.0,60596.0,19113.0,15029.0,10686.0,-4919.0,0.924,0.378,0.195,-0.075,71.0,Danvers,21903.0,43759.0,58779.0,75310.0,77949.0,71502.0,83636.0,83617.0,81836.0,77949.0,83636.0,83617.0,81836.0,77949.0,21856.0,15020.0,16531.0,2639.0,0.998,0.343,0.281,0.035,Peabody-Danvers
3.582984079375072,77484,108070,Methuen,North Andover,11,181.0,Methuen,18946.0,37701.0,49627.0,61822.0,71392.0,61849.0,72058.0,70598.0,67179.0,71392.0,72058.0,70598.0,67179.0,71392.0,18755.0,11926.0,12195.0,9570.0,0.99,0.316,0.246,0.155,210.0,North Andover,22228.0,51692.0,72728.0,91741.0,100286.0,72562.0,98798.0,103461.0,99691.0,100286.0,98798.0,103461.0,99691.0,100286.0,29464.0,21036.0,19013.0,8545.0,1.326,0.407,0.261,0.093,Methuen-North Andover
3.5890416313744566,95600,108070,Andover,North Andover,12,9.0,Andover,27256.0,61070.0,87683.0,111002.0,129082.0,88976.0,116723.0,124735.0,120621.0,129082.0,116723.0,124735.0,120621.0,129082.0,33814.0,26613.0,23319.0,18080.0,1.241,0.436,0.266,0.163,210.0,North Andover,22228.0,51692.0,72728.0,91741.0,100286.0,72562.0,98798.0,103461.0,99691.0,100286.0,98798.0,103461.0,99691.0,100286.0,29464.0,21036.0,19013.0,8545.0,1.326,0.407,0.261,0.093,Andover-North Andover
3.717251074636475,89250,136863,Danvers,Topsfield,13,71.0,Danvers,21903.0,43759.0,58779.0,75310.0,77949.0,71502.0,83636.0,83617.0,81836.0,77949.0,83636.0,83617.0,81836.0,77949.0,21856.0,15020.0,16531.0,2639.0,0.998,0.343,0.281,0.035,298.0,Topsfield,30013.0,64995.0,96430.0,115015.0,114565.0,97976.0,124224.0,137178.0,124982.0,114565.0,124224.0,137178.0,124982.0,114565.0,34982.0,31435.0,18585.0,-450.0,1.166,0.484,0.193,-0.004,Danvers-Topsfield
3.814898481551445,81304,128466,Salisbury,Georgetown,14,259.0,Salisbury,16470.0,35679.0,49310.0,62917.0,69500.0,53766.0,68193.0,70147.0,68369.0,69500.0,68193.0,70147.0,68369.0,69500.0,19209.0,13631.0,13607.0,6583.0,1.166,0.382,0.276,0.105,105.0,Georgetown,21261.0,44861.0,76260.0,101875.0,107683.0,69406.0,85742.0,108485.0,110703.0,107683.0,85742.0,108485.0,110703.0,107683.0,23600.0,31399.0,25615.0,5808.0,1.11,0.7,0.336,0.057,Salisbury-Georgetown
3.8692811155221,82468,109839,Amesbury,Newburyport,15,7.0,Amesbury,16094.0,37889.0,51906.0,74968.0,76558.0,52538.0,72417.0,73840.0,81465.0,76558.0,72417.0,73840.0,81465.0,76558.0,21795.0,14017.0,23062.0,1590.0,1.354,0.37,0.444,0.021,206.0,Newburyport,17125.0,38618.0,58557.0,76300.0,85556.0,55904.0,73810.0,83301.0,82912.0,85556.0,73810.0,83301.0,82912.0,85556.0,21493.0,19939.0,17743.0,9256.0,1.255,0.516,0.303,0.121,Amesbury-Newburyport
3.9489579065240856,56181,123333,Lynn,Marblehead,16,163.0,Lynn,14368.0,28553.0,37364.0,43200.0,47429.0,46904.0,54573.0,53153.0,46944.0,47429.0,54573.0,53153.0,46944.0,47429.0,14185.0,8811.0,5836.0,4229.0,0.987,0.309,0.156,0.098,168.0,Marblehead,23982.0,53333.0,73968.0,97097.0,102993.0,78288.0,101935.0,105225.0,105511.0,102993.0,101935.0,105225.0,105511.0,102993.0,29351.0,20635.0,23129.0,5896.0,1.224,0.387,0.313,0.061,Lynn-Marblehead
4.140077970284551,93212,127813,Ipswich,Hamilton,17,144.0,Ipswich,20640.0,42386.0,57284.0,80816.0,76458.0,67379.0,81012.0,81490.0,87819.0,76458.0,81012.0,81490.0,87819.0,76458.0,21746.0,14898.0,23532.0,-4358.0,1.054,0.351,0.411,-0.054,119.0,Hamilton,26123.0,49167.0,72000.0,99732.0,109500.0,85278.0,93972.0,102425.0,108375.0,109500.0,93972.0,102425.0,108375.0,109500.0,23044.0,22833.0,27732.0,9768.0,0.882,0.464,0.385,0.098,Ipswich-Hamilton
4.141631838811724,68808,73217,Salem,Peabody,18,258.0,Salem,15150.0,32645.0,44033.0,56979.0,60690.0,49457.0,62394.0,62640.0,61917.0,60690.0,62394.0,62640.0,61917.0,60690.0,17495.0,11388.0,12946.0,3711.0,1.155,0.349,0.294,0.065,229.0,Peabody,20687.0,39800.0,54829.0,65515.0,60596.0,67532.0,76069.0,77998.0,71192.0,60596.0,76069.0,77998.0,71192.0,60596.0,19113.0,15029.0,10686.0,-4919.0,0.924,0.378,0.195,-0.075,Salem-Peabody
4.160763648971105,56181,88667,Lynn,Saugus,19,163.0,Lynn,14368.0,28553.0,37364.0,43200.0,47429.0,46904.0,54573.0,53153.0,46944.0,47429.0,54573.0,53153.0,46944.0,47429.0,14185.0,8811.0,5836.0,4229.0,0.987,0.309,0.156,0.098,262.0,Saugus,21325.0,41919.0,55301.0,71023.0,77371.0,69615.0,80119.0,78669.0,77178.0,77371.0,80119.0,78669.0,77178.0,77371.0,20594.0,13382.0,15722.0,6348.0,0.966,0.319,0.284,0.089,Lynn-Saugus
