lat1,lon1,lat2,lon2,Distance
42.851062,-70.942437,42.657187,-71.155438,27.698184973685162
42.851062,-70.942437,42.564813,-70.881187,32.2204782240589
42.851062,-70.942437,42.624813,-70.975813,25.304975112578596
42.851062,-70.942437,42.582062,-70.931438,29.924929565525314
42.851062,-70.942437,42.582062,-70.766188,33.196747063478604
42.851062,-70.942437,42.724063,-70.986438,14.570980336269306
42.851062,-70.942437,42.782938,-71.013188,9.52276985881569
42.851062,-70.942437,42.628687,-70.847813,25.906340984991264
42.851062,-70.942437,42.787188,-71.106938,15.180934650378916
42.851062,-70.942437,42.688563,-70.850938,19.551816467287008
42.851062,-70.942437,42.691187,-71.145062,24.28125278137122
42.851062,-70.942437,42.476687,-70.943687,41.62872613282063
42.851062,-70.942437,42.539063,-71.033062,35.47446150549579
42.851062,-70.942437,42.582062,-70.766188,33.196747063478604
42.851062,-70.942437,42.492438,-70.869187,40.32433290609377
42.851062,-70.942437,42.782938,-71.013188,9.52276985881569
42.851062,-70.942437,42.733063,-71.171563,22.840788535174006
42.851062,-70.942437,42.624813,-70.975813,25.304975112578596
42.851062,-70.942437,42.479062,-70.920438,41.40360305954297
42.851062,-70.942437,42.744187,-70.916438,12.071793736511523
42.851062,-70.942437,42.813187,-70.886188,6.227004370300613
42.851062,-70.942437,42.700563,-71.116563,21.955200559289114
42.851062,-70.942437,42.544562,-70.974187,34.17986948951324
42.851062,-70.942437,42.652187,-70.609562,35.03921085224225
42.851062,-70.942437,42.744187,-70.916438,12.071793736511523
42.851062,-70.942437,42.506312,-70.911563,38.41744249061125
42.851062,-70.942437,42.744187,-70.916438,12.071793736511523
42.851062,-70.942437,42.460813,-71.022437,43.88408563027939
42.851062,-70.942437,42.479062,-70.920438,41.40360305954297
42.851062,-70.942437,42.624813,-70.975813,25.304975112578596
42.851062,-70.942437,42.628687,-70.847813,25.906340984991264
42.851062,-70.942437,42.782938,-71.013188,9.52276985881569
42.657187,-71.155438,42.564813,-70.881187,24.68230866744645
42.657187,-71.155438,42.624813,-70.975813,15.127238266065545
42.657187,-71.155438,42.582062,-70.931438,20.142530388640036
42.657187,-71.155438,42.582062,-70.766188,32.92738686610252
42.657187,-71.155438,42.724063,-70.986438,15.687088828902446
42.657187,-71.155438,42.613438,-70.676187,39.50518681056494
42.657187,-71.155438,42.628687,-70.847813,25.360595199423365
42.657187,-71.155438,42.787188,-71.106938,14.988564258548973
42.657187,-71.155438,42.688563,-70.850938,25.137507417773627
42.657187,-71.155438,42.691187,-71.145062,3.8746225859724954
42.657187,-71.155438,42.476687,-70.943687,26.5244037804079
42.657187,-71.155438,42.539063,-71.033062,16.518444706613355
42.657187,-71.155438,42.582062,-70.766188,32.92738686610252
42.657187,-71.155438,42.492438,-70.869187,29.748759802844692
42.657187,-71.155438,42.782938,-71.013188,18.18136660022075
42.657187,-71.155438,42.733063,-71.171563,8.539324166042153
42.657187,-71.155438,42.624813,-70.975813,15.127238266065545
42.657187,-71.155438,42.479062,-70.920438,27.616235503848376
42.657187,-71.155438,42.744187,-70.916438,21.795140841208905
42.657187,-71.155438,42.813187,-70.886188,28.008391820265487
42.657187,-71.155438,42.700563,-71.116563,5.77600263612608
42.657187,-71.155438,42.544562,-70.974187,19.414365281938753
42.657187,-71.155438,42.652187,-70.609562,44.64424276938632
42.657187,-71.155438,42.744187,-70.916438,21.795140841208905
42.657187,-71.155438,42.506312,-70.911563,26.079402540763816
42.657187,-71.155438,42.744187,-70.916438,21.795140841208905
42.657187,-71.155438,42.460813,-71.022437,24.402171548908147
42.657187,-71.155438,42.479062,-70.920438,27.616235503848376
42.657187,-71.155438,42.624813,-70.975813,15.127238266065545
42.657187,-71.155438,42.628687,-70.847813,25.360595199423365
42.657187,-71.155438,42.782938,-71.013188,18.18136660022075
42.657187,-71.155438,42.851062,-70.942437,27.698184973685162
42.564813,-70.881187,42.624813,-70.975813,10.22296589264231
42.564813,-70.881187,42.582062,-70.931438,4.539867091230753
42.564813,-70.881187,42.582062,-70.766188,9.610054023498257
42.564813,-70.881187,42.724063,-70.986438,19.689464475491363
42.564813,-70.881187,42.613438,-70.676187,17.631709163551957
42.564813,-70.881187,42.782938,-71.013188,26.546779300992647
42.564813,-70.881187,42.787188,-71.106938,30.854768014068988
42.564813,-70.881187,42.688563,-70.850938,13.98115183319572
42.564813,-70.881187,42.691187,-71.145062,25.759006426869473
42.564813,-70.881187,42.476687,-70.943687,11.057121990426864
42.564813,-70.881187,42.539063,-71.033062,12.765837618062537
42.564813,-70.881187,42.582062,-70.766188,9.610054023498257
42.564813,-70.881187,42.492438,-70.869187,8.107585088779919
42.564813,-70.881187,42.782938,-71.013188,26.546779300992647
42.564813,-70.881187,42.733063,-71.171563,30.232553922436008
42.564813,-70.881187,42.624813,-70.975813,10.22296589264231
42.564813,-70.881187,42.479062,-70.920438,10.063051249847563
42.564813,-70.881187,42.744187,-70.916438,20.152729628035747
42.564813,-70.881187,42.813187,-70.886188,27.62095328258938
42.564813,-70.881187,42.700563,-71.116563,24.46677035691913
42.564813,-70.881187,42.544562,-70.974187,7.943461439181088
42.564813,-70.881187,42.652187,-70.609562,24.25991951518717
42.564813,-70.881187,42.744187,-70.916438,20.152729628035747
42.564813,-70.881187,42.506312,-70.911563,6.964883393903549
42.564813,-70.881187,42.744187,-70.916438,20.152729628035747
42.564813,-70.881187,42.460813,-71.022437,16.363711538120988
42.564813,-70.881187,42.479062,-70.920438,10.063051249847563
42.564813,-70.881187,42.624813,-70.975813,10.22296589264231
