school_to_school,distance,distance_mi,towns_1,towns_2,loc1,lat1,lon1,loc2,lat2,lon2
Marblehead-Manchester,13.05879718,8.114360343705243,Marblehead,Manchester,17,42.492438,-70.869187,16,42.582062,-70.766188
Georgetown-Lawrence,13.4666378,8.367780755084983,Georgetown,Lawrence,7,42.724063,-70.986438,13,42.691187,-71.145062
Danvers-Manchester,13.52964684,8.406932757250539,Danvers,Manchester,5,42.582062,-70.931438,16,42.582062,-70.766188
Ipswich-Danvers,13.55015496,8.419675912179603,Ipswich,Danvers,12,42.688563,-70.850938,5,42.582062,-70.931438
Ipswich-Manchester,13.72248078,8.526754212020727,Ipswich,Manchester,12,42.688563,-70.850938,16,42.582062,-70.766188
Hamilton-Peabody,13.94780748,8.6667657317385,Hamilton,Peabody,10,42.628687,-70.847813,25,42.544562,-70.974187
Ipswich-Beverly,13.98115183,8.687484950177778,Ipswich,Beverly,12,42.688563,-70.850938,3,42.564813,-70.881187
Hamilton-Newbury,14.01448615,8.708197936264018,Hamilton,Newbury,33,42.628687,-70.847813,22,42.744187,-70.916438
Methuen-Groveland,14.06926427,8.742235481874381,Methuen,Groveland,19,42.733063,-71.171563,9,42.782938,-71.013188
Rowley-Topsfield,14.13320392,8.781965738283064,Rowley,Topsfield,27,42.744187,-70.916438,32,42.624813,-70.975813
Hamilton-Gloucester,14.14487901,8.789220302849722,Hamilton,Gloucester,33,42.628687,-70.847813,8,42.613438,-70.676187
Ipswich-Newburyport,14.15330502,8.794455982710373,Ipswich,Newburyport,12,42.688563,-70.850938,23,42.813187,-70.886188
Middleton-Salem,14.18844708,8.816292246351624,Middleton,Salem,20,42.624813,-70.975813,28,42.506312,-70.911563
Middleton-North Andover,14.26184386,8.861898890882394,Middleton,North Andover,20,42.624813,-70.975813,24,42.700563,-71.116563
Lynnfield-Marblehead,14.39719731,8.946003625179499,Lynnfield,Marblehead,15,42.539063,-71.033062,17,42.492438,-70.869187
Georgetown-Amesbury,14.57098034,9.053987393332404,Georgetown,Amesbury,7,42.724063,-70.986438,1,42.851062,-70.942437
Salem-Hamilton,14.57459772,9.056235129047685,Salem,Hamilton,28,42.506312,-70.911563,33,42.628687,-70.847813
Manchester-Salem,14.58720272,9.064067512897637,Manchester,Salem,16,42.582062,-70.766188,28,42.506312,-70.911563
Groveland-Lawrence,14.8351531,9.218136735579188,Groveland,Lawrence,9,42.782938,-71.013188,13,42.691187,-71.145062
Andover-Haverhill,14.98856426,9.313462010627669,Andover,Haverhill,2,42.657187,-71.155438,11,42.787188,-71.106938
Manchester-Rockport,15.00201775,9.321821621718621,Manchester,Rockport,6,42.582062,-70.766188,26,42.652187,-70.609562
Andover-Boxford,15.12723827,9.399630045243441,Andover,Boxford,2,42.657187,-71.155438,4,42.624813,-70.975813
Methuen-Georgetown,15.15430373,9.416447742331538,Methuen,Georgetown,19,42.733063,-71.171563,7,42.724063,-70.986438
Haverhill-Amesbury,15.18093465,9.432995428782732,Haverhill,Amesbury,11,42.787188,-71.106938,1,42.851062,-70.942437
Hamilton-Marblehead,15.25099969,9.476531826064932,Hamilton,Marblehead,33,42.628687,-70.847813,17,42.492438,-70.869187
Saugus-Danvers,15.40741896,9.57372625400376,Saugus,Danvers,30,42.460813,-71.022437,5,42.582062,-70.931438
Hamilton-Georgetown,15.52095607,9.644274943153622,Hamilton,Georgetown,10,42.628687,-70.847813,7,42.724063,-70.986438
Middleton-Lawrence,15.68506657,9.746248479830118,Middleton,Lawrence,20,42.624813,-70.975813,13,42.691187,-71.145062
Andover-Georgetown,15.68708883,9.747505053932807,Andover,Georgetown,2,42.657187,-71.155438,7,42.724063,-70.986438
Salisbury-Haverhill,16.2694342,10.109357689480698,Salisbury,Haverhill,29,42.744187,-70.916438,11,42.787188,-71.106938
Beverly-Saugus,16.36371154,10.167938912426532,Beverly,Saugus,3,42.564813,-70.881187,30,42.460813,-71.022437
Georgetown-Danvers,16.41794196,10.201636133036132,Georgetown,Danvers,7,42.724063,-70.986438,5,42.582062,-70.931438
Andover-Lynnfield,16.51844471,10.264085646401904,Andover,Lynnfield,2,42.657187,-71.155438,15,42.539063,-71.033062
Gloucester-Ipswich,16.5539676,10.286158546833443,Gloucester,Ipswich,8,42.613438,-70.676187,12,42.688563,-70.850938
Lynn-Boxford,16.67976375,10.36432465025636,Lynn,Boxford,14,42.476687,-70.943687,4,42.624813,-70.975813
Topsfield-Swampscott,16.82956561,10.457407210268775,Topsfield,Swampscott,32,42.624813,-70.975813,31,42.479062,-70.920438
Groveland-Ipswich,16.90323931,10.503185924909479,Groveland,Ipswich,34,42.782938,-71.013188,12,42.688563,-70.850938
North Andover-Rowley,17.05254634,10.595961011815943,North Andover,Rowley,24,42.700563,-71.116563,27,42.744187,-70.916438
Manchester-Swampscott,17.05663585,10.59850211551116,Manchester,Swampscott,6,42.582062,-70.766188,21,42.479062,-70.920438
Topsfield-Marblehead,17.11518354,10.634881963318213,Topsfield,Marblehead,32,42.624813,-70.975813,17,42.492438,-70.869187
Peabody-Manchester,17.53771132,10.89742855278487,Peabody,Manchester,25,42.544562,-70.974187,16,42.582062,-70.766188
Gloucester-Beverly,17.63170916,10.955836102483099,Gloucester,Beverly,8,42.613438,-70.676187,3,42.564813,-70.881187
Swampscott-Hamilton,17.6690578,10.979043471364783,Swampscott,Hamilton,31,42.479062,-70.920438,33,42.628687,-70.847813
Boxford-Manchester,17.80328973,11.062451325444878,Boxford,Manchester,4,42.624813,-70.975813,16,42.582062,-70.766188
Middleton-Merrimac,17.8459646,11.088968260199872,Middleton,Merrimac,20,42.624813,-70.975813,18,42.782938,-71.013188
Newbury-Danvers,18.06915233,11.227650685583374,Newbury,Danvers,22,42.744187,-70.916438,5,42.582062,-70.931438
Lynnfield-Hamilton,18.14776653,11.276499284588269,Lynnfield,Hamilton,15,42.539063,-71.033062,10,42.628687,-70.847813
Andover-Groveland,18.1813666,11.297377400068253,Andover,Groveland,2,42.657187,-71.155438,34,42.782938,-71.013188
Newburyport-Haverhill,18.2408268,11.334324255299892,Newburyport,Haverhill,23,42.813187,-70.886188,11,42.787188,-71.106938
Saugus-Boxford,18.63170692,11.577205900611634,Saugus,Boxford,30,42.460813,-71.022437,4,42.624813,-70.975813
Lynn-Hamilton,18.63702611,11.58051109203177,Lynn,Hamilton,14,42.476687,-70.943687,33,42.628687,-70.847813
Lynn-Manchester,18.67733307,11.605556675732252,Lynn,Manchester,14,42.476687,-70.943687,6,42.582062,-70.766188
Ipswich-Peabody,18.92359937,11.758579459620151,Ipswich,Peabody,12,42.688563,-70.850938,25,42.544562,-70.974187
Lynnfield-North Andover,19.21381571,11.938911532163393,Lynnfield,North Andover,15,42.539063,-71.033062,24,42.700563,-71.116563
Lynnfield-Lawrence,19.23872238,11.95438781934023,Lynnfield,Lawrence,15,42.539063,-71.033062,13,42.691187,-71.145062
Andover-Peabody,19.41436528,12.063527257128282,Andover,Peabody,2,42.657187,-71.155438,25,42.544562,-70.974187
Ipswich-Amesbury,19.55181647,12.148935466625497,Ipswich,Amesbury,12,42.688563,-70.850938,1,42.851062,-70.942437
Lawrence-Rowley,19.58524787,12.169708775426864,Lawrence,Rowley,13,42.691187,-71.145062,27,42.744187,-70.916438
Hamilton-Rockport,19.66264629,12.217801923766386,Hamilton,Rockport,10,42.628687,-70.847813,26,42.652187,-70.609562
Beverly-Georgetown,19.68946448,12.234465974400331,Beverly,Georgetown,3,42.564813,-70.881187,7,42.724063,-70.986438
Georgetown-Peabody,19.98474532,12.41794498133533,Georgetown,Peabody,7,42.724063,-70.986438,25,42.544562,-70.974187
Methuen-Topsfield,20.02362113,12.442101289657243,Methuen,Topsfield,19,42.733063,-71.171563,32,42.624813,-70.975813
North Andover-Danvers,20.07286678,12.472701117800066,North Andover,Danvers,24,42.700563,-71.116563,5,42.582062,-70.931438
Andover-Danvers,20.14253039,12.515988078045464,Andover,Danvers,2,42.657187,-71.155438,5,42.582062,-70.931438
Rockport-Ipswich,20.14460863,12.51727943650737,Rockport,Ipswich,26,42.652187,-70.609562,12,42.688563,-70.850938
Newbury-Beverly,20.15272963,12.522325591941359,Newbury,Beverly,22,42.744187,-70.916438,3,42.564813,-70.881187
Newburyport-Hamilton,20.75359803,12.895687904682754,Newburyport,Hamilton,23,42.813187,-70.886188,10,42.628687,-70.847813
Gloucester-Marblehead,20.75935402,12.899264511038684,Gloucester,Marblehead,8,42.613438,-70.676187,17,42.492438,-70.869187
Ipswich-Salem,20.86410784,12.964355516829128,Ipswich,Salem,12,42.688563,-70.850938,28,42.506312,-70.911563
Newbury-Methuen,20.87220418,12.969386349249573,Newbury,Methuen,22,42.744187,-70.916438,19,42.733063,-71.171563
Peabody-North Andover,20.89515315,12.983646178047747,Peabody,North Andover,25,42.544562,-70.974187,24,42.700563,-71.116563
Lynnfield-Georgetown,20.92168847,13.000134461413179,Lynnfield,Georgetown,15,42.539063,-71.033062,7,42.724063,-70.986438
Middleton-Haverhill,20.99499361,13.045684163488096,Middleton,Haverhill,20,42.624813,-70.975813,11,42.787188,-71.106938
Gloucester-Danvers,21.18239826,13.162132013870128,Gloucester,Danvers,8,42.613438,-70.676187,5,42.582062,-70.931438
Danvers-Lawrence,21.27461202,13.219430987655702,Danvers,Lawrence,5,42.582062,-70.931438,13,42.691187,-71.145062
Lawrence-Peabody,21.47833968,13.346021486185819,Lawrence,Peabody,13,42.691187,-71.145062,25,42.544562,-70.974187
Ipswich-North Andover,21.74941087,13.514457314090834,Ipswich,North Andover,12,42.688563,-70.850938,24,42.700563,-71.116563
Rowley-Andover,21.79514084,13.542872599968398,Rowley,Andover,27,42.744187,-70.916438,2,42.657187,-71.155438
Newbury-Manchester,21.81568073,13.555635495860168,Newbury,Manchester,22,42.744187,-70.916438,6,42.582062,-70.766188
Hamilton-Groveland,21.83549305,13.56794630071523,Hamilton,Groveland,33,42.628687,-70.847813,34,42.782938,-71.013188
Ipswich-Marblehead,21.85921343,13.58268546146308,Ipswich,Marblehead,12,42.688563,-70.850938,17,42.492438,-70.869187
Amesbury-North Andover,21.95520056,13.642329098655866,Amesbury,North Andover,1,42.851062,-70.942437,24,42.700563,-71.116563
Boxford-Newburyport,22.18903586,13.787627617280872,Boxford,Newburyport,4,42.624813,-70.975813,23,42.813187,-70.886188
Ipswich-Lynnfield,22.3262621,13.872896049328899,Ipswich,Lynnfield,12,42.688563,-70.850938,15,42.539063,-71.033062
Manchester-Lynnfield,22.37435076,13.902776957218602,Manchester,Lynnfield,6,42.582062,-70.766188,15,42.539063,-71.033062
Newburyport-North Andover,22.59641296,14.04076001068662,Newburyport,North Andover,23,42.813187,-70.886188,24,42.700563,-71.116563
Salem-Gloucester,22.66126273,14.081055789442749,Salem,Gloucester,28,42.506312,-70.911563,8,42.613438,-70.676187
Peabody-Newbury,22.69427276,14.101567271065784,Peabody,Newbury,25,42.544562,-70.974187,22,42.744187,-70.916438
Amesbury-Methuen,22.84078854,14.192607955638161,Amesbury,Methuen,1,42.851062,-70.942437,19,42.733063,-71.171563
Danvers-Merrimac,23.31455797,14.486994630142883,Danvers,Merrimac,5,42.582062,-70.931438,18,42.782938,-71.013188
Hamilton-North Andover,23.38270505,14.529339262337508,Hamilton,North Andover,33,42.628687,-70.847813,24,42.700563,-71.116563
Hamilton-Saugus,23.51806059,14.613445295300401,Hamilton,Saugus,33,42.628687,-70.847813,30,42.460813,-71.022437
Haverhill-Ipswich,23.60886046,14.669865718574146,Haverhill,Ipswich,11,42.787188,-71.106938,12,42.688563,-70.850938
Georgetown-Manchester,23.95317577,14.883813332484067,Georgetown,Manchester,7,42.724063,-70.986438,6,42.582062,-70.766188
Ipswich-Swampscott,23.98029794,14.900666267532348,Ipswich,Swampscott,12,42.688563,-70.850938,21,42.479062,-70.920438
Lawrence-Ipswich,24.04113035,14.938465774524616,Lawrence,Ipswich,13,42.691187,-71.145062,12,42.688563,-70.850938
Rockport-Beverly,24.25991952,15.074415061446627,Rockport,Beverly,26,42.652187,-70.609562,3,42.564813,-70.881187
Lawrence-Amesbury,24.28125278,15.087670934599407,Lawrence,Amesbury,13,42.691187,-71.145062,1,42.851062,-70.942437
Lynnfield-Methuen,24.3660969,15.14039062640831,Lynnfield,Methuen,15,42.539063,-71.033062,19,42.733063,-71.171563
Andover-Saugus,24.40217155,15.162806374607642,Andover,Saugus,2,42.657187,-71.155438,30,42.460813,-71.022437
Gloucester-Salisbury,24.43540868,15.183458969627928,Gloucester,Salisbury,8,42.613438,-70.676187,29,42.744187,-70.916438
North Andover-Beverly,24.46677036,15.202946214049929,North Andover,Beverly,24,42.700563,-71.116563,3,42.564813,-70.881187
Gloucester-Boxford,24.54952973,15.254370502270477,Gloucester,Boxford,8,42.613438,-70.676187,4,42.624813,-70.975813
Andover-Beverly,24.68230867,15.336875510225218,Andover,Beverly,2,42.657187,-71.155438,3,42.564813,-70.881187
Lynnfield-Rowley,24.72321505,15.362293556244408,Lynnfield,Rowley,15,42.539063,-71.033062,27,42.744187,-70.916438
Ipswich-Lynn,24.75308019,15.380850893825725,Ipswich,Lynn,12,42.688563,-70.850938,14,42.476687,-70.943687
Newburyport-Methuen,24.93873785,15.49621321495254,Newburyport,Methuen,23,42.813187,-70.886188,19,42.733063,-71.171563
Manchester-Saugus,24.9557742,15.506799112025297,Manchester,Saugus,6,42.582062,-70.766188,30,42.460813,-71.022437
Swampscott-Gloucester,24.9725896,15.517247717133623,Swampscott,Gloucester,31,42.479062,-70.920438,8,42.613438,-70.676187
Salem-Georgetown,24.97599862,15.519365983947756,Salem,Georgetown,28,42.506312,-70.911563,7,42.724063,-70.986438
Newburyport-Lawrence,25.11584113,15.606260090799044,Newburyport,Lawrence,23,42.813187,-70.886188,13,42.691187,-71.145062
Ipswich-Andover,25.13750742,15.619722899199228,Ipswich,Andover,12,42.688563,-70.850938,2,42.657187,-71.155438
Hamilton-Lawrence,25.28048248,15.70856348237175,Hamilton,Lawrence,33,42.628687,-70.847813,13,42.691187,-71.145062
Amesbury-Middleton,25.30497511,15.72378249702108,Amesbury,Middleton,1,42.851062,-70.942437,20,42.624813,-70.975813
Hamilton-Andover,25.3605952,15.758343218532286,Hamilton,Andover,33,42.628687,-70.847813,2,42.657187,-71.155438
Gloucester-Peabody,25.57331745,15.890522696154266,Gloucester,Peabody,8,42.613438,-70.676187,25,42.544562,-70.974187
Beverly-Lawrence,25.75900643,16.00590447862675,Beverly,Lawrence,3,42.564813,-70.881187,13,42.691187,-71.145062
Danvers-Methuen,25.83599886,16.053745356476842,Danvers,Methuen,5,42.582062,-70.931438,19,42.733063,-71.171563
Hamilton-Amesbury,25.90634098,16.097453923288366,Hamilton,Amesbury,10,42.628687,-70.847813,1,42.851062,-70.942437
Danvers-Newburyport,25.96460641,16.133658382863327,Danvers,Newburyport,5,42.582062,-70.931438,23,42.813187,-70.886188
Andover-Salem,26.07940254,16.204989390768823,Andover,Salem,2,42.657187,-71.155438,28,42.506312,-70.911563
Salem-Newbury,26.45350027,16.43744294243522,Salem,Newbury,28,42.506312,-70.911563,22,42.744187,-70.916438
Peabody-Methuen,26.45757624,16.439975632764526,Peabody,Methuen,25,42.544562,-70.974187,19,42.733063,-71.171563
Lynn-Andover,26.52440378,16.481500340819096,Lynn,Andover,14,42.476687,-70.943687,2,42.657187,-71.155438
Groveland-Beverly,26.5467793,16.495403844308367,Groveland,Beverly,9,42.782938,-71.013188,3,42.564813,-70.881187
Methuen-Ipswich,26.6597276,16.565586663887842,Methuen,Ipswich,19,42.733063,-71.171563,12,42.688563,-70.850938
Lynn-Gloucester,26.67312622,16.5739121803416,Lynn,Gloucester,14,42.476687,-70.943687,8,42.613438,-70.676187
Groveland-Peabody,26.69734516,16.58896113190994,Groveland,Peabody,9,42.782938,-71.013188,25,42.544562,-70.974187
Haverhill-Danvers,26.94499808,16.742845521517314,Haverhill,Danvers,11,42.787188,-71.106938,5,42.582062,-70.931438
Rockport-Newbury,27.08449061,16.829522160879524,Rockport,Newbury,26,42.652187,-70.609562,22,42.744187,-70.916438
Groveland-Lynnfield,27.16631303,16.880364255363606,Groveland,Lynnfield,9,42.782938,-71.013188,15,42.539063,-71.033062
North Andover-Salem,27.35070426,16.994939653374267,North Andover,Salem,24,42.700563,-71.116563,28,42.506312,-70.911563
Rockport-Danvers,27.46837267,17.068055413321378,Rockport,Danvers,26,42.652187,-70.609562,5,42.582062,-70.931438
Georgetown-Marblehead,27.48499775,17.078385759064822,Georgetown,Marblehead,7,42.724063,-70.986438,17,42.492438,-70.869187
Newburyport-Manchester,27.50737618,17.092291070744253,Newburyport,Manchester,23,42.813187,-70.886188,16,42.582062,-70.766188
Lawrence-Saugus,27.51394569,17.09637317499067,Lawrence,Saugus,13,42.691187,-71.145062,30,42.460813,-71.022437
Haverhill-Hamilton,27.5482095,17.117663719384304,Haverhill,Hamilton,11,42.787188,-71.106938,10,42.628687,-70.847813
Swampscott-Andover,27.6162355,17.159933115955244,Swampscott,Andover,31,42.479062,-70.920438,2,42.657187,-71.155438
Newburyport-Beverly,27.62095328,17.162864608528,Newburyport,Beverly,23,42.813187,-70.886188,3,42.564813,-70.881187
Andover-Amesbury,27.69818497,17.210854155649013,Andover,Amesbury,2,42.657187,-71.155438,1,42.851062,-70.942437
Rockport-Marblehead,27.70401383,17.214476041323557,Rockport,Marblehead,26,42.652187,-70.609562,17,42.492438,-70.869187
Lynn-Georgetown,27.72862578,17.229769197983277,Lynn,Georgetown,14,42.476687,-70.943687,7,42.724063,-70.986438
Saugus-North Andover,27.75055258,17.24339387979217,Saugus,North Andover,30,42.460813,-71.022437,24,42.700563,-71.116563
Georgetown-Swampscott,27.77328064,17.25751644148076,Georgetown,Swampscott,7,42.724063,-70.986438,21,42.479062,-70.920438
Newburyport-Andover,28.00839182,17.403607755179664,Newburyport,Andover,23,42.813187,-70.886188,2,42.657187,-71.155438
Gloucester-Newburyport,28.06608503,17.439456653732286,Gloucester,Newburyport,8,42.613438,-70.676187,23,42.813187,-70.886188
Salem-Lawrence,28.06914704,17.441359298529775,Salem,Lawrence,28,42.506312,-70.911563,13,42.691187,-71.145062
Georgetown-Gloucester,28.19131195,17.51726905403272,Georgetown,Gloucester,7,42.724063,-70.986438,8,42.613438,-70.676187
Haverhill-Lynnfield,28.24376989,17.549864906635467,Haverhill,Lynnfield,11,42.787188,-71.106938,15,42.539063,-71.033062
Salisbury-Marblehead,28.25895655,17.559301459631794,Salisbury,Marblehead,29,42.744187,-70.916438,17,42.492438,-70.869187
Lynn-North Andover,28.63560951,17.793342757604016,Lynn,North Andover,14,42.476687,-70.943687,24,42.700563,-71.116563
Newburyport-Rockport,28.82648004,17.911944205966048,Newburyport,Rockport,23,42.813187,-70.886188,26,42.652187,-70.609562
Hamilton-Methuen,28.89765877,17.956172618128836,Hamilton,Methuen,10,42.628687,-70.847813,19,42.733063,-71.171563
